 frequency                ir                       ii                       vr                       vi                      
 1.00000000000000000e+00  2.80293366641815034e-15  1.33715299795259543e-14  1.39881538012642803e-03  6.56788520394536378e-07 
 1.02329299228075410e+00  2.78599300747306433e-15  1.36829929343994210e-14  1.39881538014541285e-03  6.72087090330163871e-07 
 1.04712854805089939e+00  2.79378571058780389e-15  1.40017107794056800e-14  1.39881538016561890e-03  6.87742009737207421e-07 
 1.07151930523760619e+00  2.79046534143456704e-15  1.43278525174700432e-14  1.39881538018693519e-03  7.03761579061153986e-07 
 1.09647819614318465e+00  2.80026381856840478e-15  1.46615910822800935e-14  1.39881538020858454e-03  7.20154292089703229e-07 
 1.12201845430196312e+00  2.78358065763928408e-15  1.50031034044601333e-14  1.39881538023167717e-03  7.36928840456287539e-07 
 1.14815362149688238e+00  2.79084481219493696e-15  1.53525705836247528e-14  1.39881538025599106e-03  7.54094118248485328e-07 
 1.17489755493952908e+00  2.78928627157198905e-15  1.57101778883788289e-14  1.39881538028086005e-03  7.71659226723793955e-07 
 1.20226443461741250e+00  2.77586926968748093e-15  1.60761149349885386e-14  1.39881538030706132e-03  7.89633479135226618e-07 
 1.23026877081238117e+00  2.78642668834205853e-15  1.64505757601732520e-14  1.39881538033459485e-03  8.08026405669330304e-07 
 1.25892541179416684e+00  2.78435315168718001e-15  1.68337588872799818e-14  1.39881538036368269e-03  8.26847758499211033e-07 
 1.28824955169313360e+00  2.77546269387279887e-15  1.72258675049543956e-14  1.39881538039465791e-03  8.46107516955278239e-07 
 1.31825673855640679e+00  2.78474617497470600e-15  1.76271095068454851e-14  1.39881538042663234e-03  8.65815892816382512e-07 
 1.34896288259165331e+00  2.78293013633579278e-15  1.80376976305719092e-14  1.39881538045960596e-03  8.85983335724285351e-07 
 1.38038426460288455e+00  2.79547977648231250e-15  1.84578495768360020e-14  1.39881538049468901e-03  9.06620538724161601e-07 
 1.41253754462275394e+00  2.78961153222373470e-15  1.88877881351552261e-14  1.39881538053110432e-03  9.27738443934208769e-07 
 1.44543977074592700e+00  2.78500367299067131e-15  1.93277412566540663e-14  1.39881538056896293e-03  9.49348248347296808e-07 
 1.47910838816820678e+00  2.78593879736444006e-15  1.97779421665605934e-14  1.39881538060937505e-03  9.71461409767765084e-07 
 1.51356124843620754e+00  2.77729228503886816e-15  2.02386296222868144e-14  1.39881538065045330e-03  9.94089652886502232e-07 
 1.54881661891248057e+00  2.78806654412794286e-15  2.07100478604891144e-14  1.39881538069408506e-03  1.01724497549752848e-06 
 1.58489319246111271e+00  2.78748378546023190e-15  2.11924468750009415e-14  1.39881538074104750e-03  1.04093965485938768e-06 
 1.62181009735892911e+00  2.77806477908676408e-15  2.16860823506583584e-14  1.39881538078845402e-03  1.06518625420471695e-06 
 1.65958690743755977e+00  2.78806654412794286e-15  2.21912161132862952e-14  1.39881538083863610e-03  1.08999762940142789e-06 
 1.69824365246174347e+00  2.78671129141233598e-15  2.27081159444100924e-14  1.39881538089181578e-03  1.11538693576906768e-06 
 1.73780082874937447e+00  2.78005700057870619e-15  2.32370558988928563e-14  1.39881538094654978e-03  1.14136763505393695e-06 
 1.77827941003892165e+00  2.78322829193322629e-15  2.37783164637541362e-14  1.39881538100472547e-03  1.16795350256669487e-06 
 1.81970085860998210e+00  2.78035515617613971e-15  2.43321846111094840e-14  1.39881538106445547e-03  1.19515863448620208e-06 
 1.86208713666286596e+00  2.77847135490144614e-15  2.48989540099286906e-14  1.39881538112807124e-03  1.22299745533350139e-06 
 1.90546071796324568e+00  2.76750736043218648e-15  2.54789251583846844e-14  1.39881538119424054e-03  1.25148472561989891e-06 
 1.94984459975804381e+00  2.77218298230103022e-15  2.60724055559070981e-14  1.39881538126407357e-03  1.28063554967317008e-06 
 1.99526231496887796e+00  2.78012476321448654e-15  2.66797098884707267e-14  1.39881538133712624e-03  1.31046538364608824e-06 
 2.04173794466952740e+00  2.77166798626909960e-15  2.73011601741793145e-14  1.39881538141284345e-03  1.34099004371146801e-06 
 2.08929613085403743e+00  2.77809188414107622e-15  2.79370859088493435e-14  1.39881538149233542e-03  1.37222571444811713e-06 
