 frequency              onoise_spectrum       
 1.000000000000000e+00  2.045086725349420e-05 
 1.047128548050900e+00  1.991568376127025e-05 
 1.096478196143185e+00  1.939450826675101e-05 
 1.148153621496883e+00  1.888697415266413e-05 
 1.202264434617413e+00  1.839272439845079e-05 
 1.258925411794168e+00  1.791141132908669e-05 
 1.318256738556407e+00  1.744269637047823e-05 
 1.380384264602885e+00  1.698624981126183e-05 
 1.445439770745928e+00  1.654175057083882e-05 
 1.513561248436209e+00  1.610888597348272e-05 
 1.584893192461114e+00  1.568735152835994e-05 
 1.659586907437562e+00  1.527685071530893e-05 
 1.737800828749376e+00  1.487709477622772e-05 
 1.819700858609985e+00  1.448780251192196e-05 
 1.905460717963249e+00  1.410870008427172e-05 
 1.995262314968881e+00  1.373952082357693e-05 
 2.089296130854041e+00  1.338000504094646e-05 
 2.187761623949555e+00  1.302989984559863e-05 
 2.290867652767775e+00  1.268895896694451e-05 
 2.398832919019493e+00  1.235694258132916e-05 
 2.511886431509583e+00  1.203361714330848e-05 
 2.630267991895385e+00  1.171875522134327e-05 
 2.754228703338170e+00  1.141213533779486e-05 
 2.884031503126609e+00  1.111354181310947e-05 
 3.019951720402020e+00  1.082276461408210e-05 
 3.162277660168384e+00  1.053959920609277e-05 
 3.311311214825916e+00  1.026384640921148e-05 
 3.467368504525322e+00  9.995312258070355e-06 
 3.630780547701019e+00  9.733807865404650e-06 
 3.801893963205618e+00  9.479149289166316e-06 
 3.981071705534979e+00  9.231157403117043e-06 
 4.168693834703362e+00  8.989657770809213e-06 
 4.365158322401668e+00  8.754480522866534e-06 
 4.570881896148760e+00  8.525460237477712e-06 
 4.786300923226394e+00  8.302435824019324e-06 
 5.011872336272734e+00  8.085250409725775e-06 
 5.248074602497739e+00  7.873751229326789e-06 
 5.495408738576259e+00  7.667789517574640e-06 
 5.754399373371584e+00  7.467220404585643e-06 
 6.025595860743593e+00  7.271902813922075e-06 
 6.309573444801949e+00  7.081699363343100e-06 
 6.606934480075978e+00  6.896476268154497e-06 
 6.918309709189384e+00  6.716103247089567e-06 
 7.244359600749922e+00  6.540453430654738e-06 
 7.585775750291861e+00  6.369403271875326e-06 
 7.943282347242840e+00  6.202832459379077e-06 
 8.317637711026737e+00  6.040623832755751e-06 
 8.709635899560835e+00  5.882663300133592e-06 
 9.120108393559129e+00  5.728839757914560e-06 
 9.549925860214392e+00  5.579045012611909e-06 
 1.000000000000004e+01  5.433173704734872e-06 
 1.047128548050903e+01  5.291123234667394e-06 
 1.096478196143189e+01  5.152793690488001e-06 
 1.148153621496887e+01  5.018087777680936e-06 
 1.202264434617418e+01  4.886910750688237e-06 
 1.258925411794172e+01  4.759170346255142e-06 
 1.318256738556412e+01  4.634776718521698e-06 
 1.380384264602890e+01  4.513642375814947e-06 
 1.445439770745934e+01  4.395682119097127e-06 
 1.513561248436215e+01  4.280812982026723e-06 
 1.584893192461120e+01  4.168954172590050e-06 
 1.659586907437568e+01  4.060027016262317e-06 
 1.737800828749383e+01  3.953954900658133e-06 
 1.819700858609992e+01  3.850663221632653e-06 
 1.905460717963256e+01  3.750079330795171e-06 
 1.995262314968889e+01  3.652132484398406e-06 
 2.089296130854050e+01  3.556753793567466e-06 
 2.187761623949564e+01  3.463876175833318e-06 
 2.290867652767785e+01  3.373434307936802e-06 
 2.398832919019503e+01  3.285364579869856e-06 
 2.511886431509593e+01  3.199605050121636e-06 
 2.630267991895396e+01  3.116095402097902e-06 
 2.754228703338181e+01  3.034776901683189e-06 
 2.884031503126622e+01  2.955592355915552e-06 
 3.019951720402033e+01  2.878486072745074e-06 
 3.162277660168397e+01  2.803403821847606e-06 
 3.311311214825930e+01  2.730292796466096e-06 
 3.467368504525336e+01  2.659101576252620e-06 
 3.630780547701035e+01  2.589780091085159e-06 
 3.801893963205634e+01  2.522279585833136e-06 
