Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L10_0,CTX_L30_0;CTX_L134_0;0.032;
C2;CTX_L10_0,CTX_L30_0;CTX_L30_1,CTX_L50_1;0.326;
C3;CTX_L10_0,CTX_L30_0;CTX_L30_3;0.021;
C4;CTX_L10_0,CTX_L30_0;CTX_L8_0;0.048;
C5;CTX_L10_0,CTX_L30_0;P,PSEG_L50_0;0.044;
C6;CTX_L10_0,CTX_L30_0;VSUBS;0.938;
C7;CTX_L134_0;CTX_L30_1,CTX_L50_1;0.039;
C8;CTX_L134_0;CTX_L8_0;0.022;
C9;CTX_L134_0;P,PSEG_L50_0;0.036;
C10;CTX_L134_0;VSUBS;0.927;
C11;CTX_L30_1,CTX_L50_1;CTX_L30_3;0.092;
C12;CTX_L30_1,CTX_L50_1;CTX_L8_0;0.05;
C13;CTX_L30_1,CTX_L50_1;P,PSEG_L50_0;1.144;
C14;CTX_L30_1,CTX_L50_1;VSUBS;0.628;
C15;CTX_L30_3;CTX_L8_0;0.032;
C16;CTX_L30_3;P,PSEG_L50_0;0.048;
C17;CTX_L30_3;VSUBS;0.466;
C18;CTX_L8_0;P,PSEG_L50_0;0.028;
C19;CTX_L8_0;VSUBS;1.08;
C20;P,PSEG_L50_0;VSUBS;0.451;
