adduser	3.152
apt	3.0.3
autoconf	2.72-3.1
automake	1:1.17-4
autotools-dev	20240727.1
base-files	13.8+deb13u6
base-passwd	3.6.7
bash	5.2.37-2+b9
binutils	2.44-3
binutils-aarch64-linux-gnu	2.44-3
binutils-common:arm64	2.44-3
bison	2:3.8.2+dfsg-1+b2
bsdutils	1:2.41.5-0+deb13u1
build-essential	12.12
bzip2	1.0.8-6
ca-certificates	20250419
clang-19	1:19.1.7-3+b1
coreutils	9.7-3
cpp	4:14.2.0-1
cpp-14	14.2.0-19
cpp-14-aarch64-linux-gnu	14.2.0-19
cpp-aarch64-linux-gnu	4:14.2.0-1
curl	8.14.1-2+deb13u5
dash	0.5.12-12
debconf	1.5.91
debian-archive-keyring	2025.1
debianutils	5.23.2
diffutils	1:3.10-4
dpkg	1.22.22
dpkg-dev	1.22.22
file	1:5.46-5
findutils	4.10.0-3
flex	2.6.4-8.2+b4
g++	4:14.2.0-1
g++-14	14.2.0-19
g++-14-aarch64-linux-gnu	14.2.0-19
g++-aarch64-linux-gnu	4:14.2.0-1
gcc	4:14.2.0-1
gcc-14	14.2.0-19
gcc-14-aarch64-linux-gnu	14.2.0-19
gcc-14-base:arm64	14.2.0-19
gcc-aarch64-linux-gnu	4:14.2.0-1
git	1:2.47.3-0+deb13u1
git-man	1:2.47.3-0+deb13u1
gperf	3.2.1-1
grep	3.11-4+b1
gzip	1.13-1
hostname	3.25
init-system-helpers	1.69~deb13u1
iverilog	12.0-2+b2
libacl1:arm64	2.3.2-2+b1
libamd3:arm64	1:7.10.1+dfsg-1
libapt-pkg7.0:arm64	3.0.3
libasan8:arm64	14.2.0-19
libatomic1:arm64	14.2.0-19
libattr1:arm64	1:2.5.2-3
libaudit-common	1:4.0.2-2
libaudit1:arm64	1:4.0.2-2+b2
libbinutils:arm64	2.44-3
libblas-dev:arm64	3.12.1-6
libblas3:arm64	3.12.1-6
libblkid1:arm64	2.41.5-0+deb13u1
libbrotli1:arm64	1.1.0-2+b7
libbsd-dev:arm64	0.12.2-2
libbsd0:arm64	0.12.2-2
libbtf2:arm64	1:7.10.1+dfsg-1
libbz2-1.0:arm64	1.0.8-6
libc-bin	2.41-12+deb13u4
libc-dev-bin	2.41-12+deb13u4
libc6:arm64	2.41-12+deb13u4
libc6-dev:arm64	2.41-12+deb13u4
libcamd3:arm64	1:7.10.1+dfsg-1
libcap-ng0:arm64	0.8.5-4+b1
libcap2:arm64	1:2.75-10+deb13u1+b1
libcc1-0:arm64	14.2.0-19
libccolamd3:arm64	1:7.10.1+dfsg-1
libcholmod5:arm64	1:7.10.1+dfsg-1
libclang-common-19-dev:arm64	1:19.1.7-3+b1
libclang-cpp19	1:19.1.7-3+b1
libclang1-19	1:19.1.7-3+b1
libcolamd3:arm64	1:7.10.1+dfsg-1
libcom-err2:arm64	1.47.2-3+b12
libcrypt-dev:arm64	1:4.4.38-1
libcrypt1:arm64	1:4.4.38-1
libctf-nobfd0:arm64	2.44-3
libctf0:arm64	2.44-3
libcurl3t64-gnutls:arm64	8.14.1-2+deb13u5
libcurl4t64:arm64	8.14.1-2+deb13u5
libcxsparse4:arm64	1:7.10.1+dfsg-1
libdb5.3t64:arm64	5.3.28+dfsg2-9
libdebconfclient0:arm64	0.280
libdpkg-perl	1.22.22
libedit-dev:arm64	3.1-20250104-1
libedit2:arm64	3.1-20250104-1
liberror-perl	0.17030-1
libexpat1:arm64	2.8.3-1~deb13u1
libffi-dev:arm64	3.4.8-2
libffi8:arm64	3.4.8-2
libgc1:arm64	1:8.2.8-1
libgcc-14-dev:arm64	14.2.0-19
libgcc-s1:arm64	14.2.0-19
libgdbm-compat4t64:arm64	1.24-2
libgdbm6t64:arm64	1.24-2
libgfortran5:arm64	14.2.0-19
libgmp10:arm64	2:6.3.0+dfsg-3
libgnutls30t64:arm64	3.8.9-3+deb13u4
libgomp1:arm64	14.2.0-19
libgprofng0:arm64	2.44-3
libgssapi-krb5-2:arm64	1.21.3-5+deb13u1
libhogweed6t64:arm64	3.10.1-1
libhwasan0:arm64	14.2.0-19
libidn2-0:arm64	2.3.8-2
libisl23:arm64	0.27-1
libitm1:arm64	14.2.0-19
libjansson4:arm64	2.14-2+b3
libk5crypto3:arm64	1.21.3-5+deb13u1
libkeyutils1:arm64	1.6.3-6
libklu2:arm64	1:7.10.1+dfsg-1
libkrb5-3:arm64	1.21.3-5+deb13u1
libkrb5support0:arm64	1.21.3-5+deb13u1
liblapack-dev:arm64	3.12.1-6
liblapack3:arm64	3.12.1-6
liblastlog2-2:arm64	2.41.5-0+deb13u1
libldap2:arm64	2.6.10+dfsg-1
libldl3:arm64	1:7.10.1+dfsg-1
libllvm19:arm64	1:19.1.7-3+b1
liblsan0:arm64	14.2.0-19
liblz4-1:arm64	1.10.0-4
liblzma5:arm64	5.8.1-1+deb13u1
libmagic-mgc	1:5.46-5
libmagic1t64:arm64	1:5.46-5
libmd-dev:arm64	1.1.0-2+b1
libmd0:arm64	1.1.0-2+b1
libmount1:arm64	2.41.5-0+deb13u1
libmpc3:arm64	1.3.1-1+b3
libmpfr6:arm64	4.2.2-1
libncurses-dev:arm64	6.5+20250216-2
libncurses6:arm64	6.5+20250216-2
libncursesw6:arm64	6.5+20250216-2
libnettle8t64:arm64	3.10.1-1
libnghttp2-14:arm64	1.64.0-1.1+deb13u1
libnghttp3-9:arm64	1.8.0-1
libngtcp2-16:arm64	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:arm64	1.11.0-1+deb13u1
libobjc-14-dev:arm64	14.2.0-19
libobjc4:arm64	14.2.0-19
libp11-kit0:arm64	0.25.5-3
libpam-modules:arm64	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam0g:arm64	1.7.0-5
libparu1:arm64	1:7.10.1+dfsg-1
libpcre2-8-0:arm64	10.46-1~deb13u1
libperl5.40:arm64	5.40.1-6+deb13u1
libpfm4:arm64	4.13.0+git99-gc5587f9-1
libpkgconf3:arm64	1.8.1-4
libpolly-19-dev:arm64	1:19.1.7-3+b1
libpsl5t64:arm64	0.21.2-1.1+b1
libpython3-stdlib:arm64	3.13.5-1
libpython3.13-minimal:arm64	3.13.5-2+deb13u5
libpython3.13-stdlib:arm64	3.13.5-2+deb13u5
librbio4:arm64	1:7.10.1+dfsg-1
libreadline-dev:arm64	8.2-6
libreadline8t64:arm64	8.2-6
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2+b5
libsasl2-2:arm64	2.1.28+dfsg1-9
libsasl2-modules-db:arm64	2.1.28+dfsg1-9
libseccomp2:arm64	2.6.0-2
libselinux1:arm64	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2:arm64	3.8.1-1
libsepol2:arm64	3.8.1-1
libsframe1:arm64	2.44-3
libsmartcols1:arm64	2.41.5-0+deb13u1
libspex3:arm64	1:7.10.1+dfsg-1
libspqr4:arm64	1:7.10.1+dfsg-1
libsqlite3-0:arm64	3.46.1-7+deb13u1
