 v-sweep         ic              ib              beta           
 3.88000000e-01  1.34996181e-14  2.84147705e-15  4.75091575e+00 
 3.89000000e-01  1.41622825e-14  2.89698820e-15  4.88862275e+00 
 3.90000000e-01  1.48561718e-14  2.95596880e-15  5.02582160e+00 
 3.91000000e-01  1.55916946e-14  3.01494940e-15  5.17146145e+00 
 3.92000000e-01  1.63549729e-14  3.07046055e-15  5.32655367e+00 
 3.93000000e-01  1.71633541e-14  3.13291060e-15  5.47840532e+00 
 3.94000000e-01  1.80098991e-14  3.19883009e-15  5.63015184e+00 
 3.95000000e-01  1.88998123e-14  3.25607596e-15  5.80447523e+00 
 3.96000000e-01  1.98330935e-14  3.32893435e-15  5.95779052e+00 
 3.97000000e-01  2.08166817e-14  3.38964967e-15  6.14124872e+00 
 3.98000000e-01  2.18436380e-14  3.45903861e-15  6.31494483e+00 
 3.99000000e-01  2.29261055e-14  3.52842755e-15  6.49754179e+00 
 4.00000000e-01  2.40675535e-14  3.60128594e-15  6.68304432e+00 
 4.01000000e-01  2.52627780e-14  3.67240960e-15  6.87907416e+00 
 4.02000000e-01  2.65187178e-14  3.75220688e-15  7.06749884e+00 
 4.03000000e-01  2.78371076e-14  3.82853471e-15  7.27095605e+00 
 4.04000000e-01  2.92162128e-14  3.91006671e-15  7.47204969e+00 
 4.05000000e-01  3.06733805e-14  3.98986399e-15  7.68782609e+00 
 4.06000000e-01  3.22034066e-14  4.06619183e-15  7.91979522e+00 
 4.07000000e-01  3.38045564e-14  4.15813217e-15  8.12974552e+00 
 4.08000000e-01  3.54907076e-14  4.24486835e-15  8.36085002e+00 
 4.09000000e-01  3.72618603e-14  4.33680869e-15  8.59200000e+00 
 4.10000000e-01  3.91232186e-14  4.42874903e-15  8.83392088e+00 
 4.11000000e-01  4.10765172e-14  4.51895465e-15  9.08982726e+00 
 4.12000000e-01  4.31234909e-14  4.61956862e-15  9.33496057e+00 
 4.13000000e-01  4.52814869e-14  4.71671313e-15  9.60022067e+00 
 4.14000000e-01  4.75470358e-14  4.81732709e-15  9.87000360e+00 
 4.15000000e-01  4.99270764e-14  4.92487995e-15  1.01377246e+01 
 4.16000000e-01  5.24233434e-14  5.03069808e-15  1.04206897e+01 
 4.17000000e-01  5.50462453e-14  5.14865928e-15  1.06913747e+01 
 4.18000000e-01  5.77992515e-14  5.25447741e-15  1.10000000e+01 
 4.19000000e-01  6.06979744e-14  5.36723443e-15  1.13089851e+01 
 4.20000000e-01  6.37389447e-14  5.48693035e-15  1.16165033e+01 
 4.21000000e-01  6.69325706e-14  5.61009572e-15  1.19307359e+01 
 4.22000000e-01  7.02909952e-14  5.73846526e-15  1.22490931e+01 
 4.23000000e-01  7.38124839e-14  5.86336535e-15  1.25887574e+01 
 4.24000000e-01  7.75161185e-14  5.99346961e-15  1.29334298e+01 
 4.25000000e-01  8.14088380e-14  6.13224749e-15  1.32755304e+01 
 4.26000000e-01  8.54889076e-14  6.27102537e-15  1.36323651e+01 
 4.27000000e-01  8.97771441e-14  6.40980324e-15  1.40062246e+01 
 4.28000000e-01  9.42856904e-14  6.56072419e-15  1.43712322e+01 
 4.29000000e-01  9.90266896e-14  6.71164513e-15  1.47544585e+01 
 4.30000000e-01  1.03996672e-13  6.85562718e-15  1.51695344e+01 
 4.31000000e-01  1.09218190e-13  7.01869118e-15  1.55610479e+01 
 4.32000000e-01  1.14712059e-13  7.17308157e-15  1.59920193e+01 
 4.33000000e-01  1.20473076e-13  7.34134975e-15  1.64102079e+01 
 4.34000000e-01  1.26530730e-13  7.52176099e-15  1.68219557e+01 
 4.35000000e-01  1.32891961e-13  7.69349862e-15  1.72732807e+01 
 4.36000000e-01  1.39574116e-13  7.86697096e-15  1.77417861e+01 
 4.37000000e-01  1.46584134e-13  8.05605582e-15  1.81955211e+01 
 4.38000000e-01  1.53956708e-13  8.24340596e-15  1.86763468e+01 
 4.39000000e-01  1.61707453e-13  8.43769499e-15  1.91648849e+01 
 4.40000000e-01  1.69838102e-13  8.63371874e-15  1.96714888e+01 
 4.41000000e-01  1.78379880e-13  8.83841611e-15  2.01823356e+01 
 4.42000000e-01  1.87362278e-13  9.04658293e-15  2.07108341e+01 
 4.43000000e-01  1.96785296e-13  9.26168864e-15  2.12472373e+01 
 4.44000000e-01  2.06688833e-13  9.48546797e-15  2.17900512e+01 
 4.45000000e-01  2.17095439e-13  9.71618619e-15  2.23436886e+01 
 4.46000000e-01  2.28024197e-13  9.94170024e-15  2.29361368e+01 
 4.47000000e-01  2.39497658e-13  1.01880310e-14  2.35077473e+01 
 4.48000000e-01  2.51557455e-13  1.04274228e-14  2.41246049e+01 
 4.49000000e-01  2.64219202e-13  1.06858966e-14  2.47259740e+01 
 4.50000000e-01  2.77522796e-13  1.09443704e-14  2.53575844e+01 
 4.51000000e-01  2.91495994e-13  1.12097831e-14  2.60037140e+01 
 4.52000000e-01  3.06176959e-13  1.14786652e-14  2.66735681e+01 
 4.53000000e-01  3.21596916e-13  1.17614252e-14  2.73433628e+01 
 4.54000000e-01  3.37792294e-13  1.20493893e-14  2.80339764e+01 
 4.55000000e-01  3.54806462e-13  1.23477617e-14  2.87344760e+01 
 4.56000000e-01  3.72681053e-13  1.26426647e-14  2.94780461e+01 
 4.57000000e-01  3.91450761e-13  1.29583844e-14  3.02082999e+01 
 4.58000000e-01  4.11174567e-13  1.32775735e-14  3.09675986e+01 
 4.59000000e-01  4.31890634e-13  1.36106404e-14  3.17318379e+01 
 4.60000000e-01  4.53647536e-13  1.39506462e-14  3.25180303e+01 
 4.61000000e-01  4.76505987e-13  1.42923867e-14  3.33398471e+01 
 4.62000000e-01  5.00511091e-13  1.46532092e-14  3.41570972e+01 
 4.63000000e-01  5.25733970e-13  1.50209706e-14  3.50000000e+01 
 4.64000000e-01  5.52228402e-13  1.53939361e-14  3.58731125e+01 
 4.65000000e-01  5.80055101e-13  1.57842489e-14  3.67489834e+01 
 4.66000000e-01  6.09283457e-13  1.61849700e-14  3.76450161e+01 
 4.67000000e-01  6.39988063e-13  1.65943648e-14  3.85665900e+01 
 4.68000000e-01  6.72241776e-13  1.70159026e-14  3.95066775e+01 
 4.69000000e-01  7.06122660e-13  1.74443793e-14  4.04785203e+01 
 4.70000000e-01  7.41715717e-13  1.78919379e-14  4.14553035e+01 
 4.71000000e-01  7.79093803e-13  1.83481702e-14  4.24616621e+01 
 4.72000000e-01  8.18367943e-13  1.88165455e-14  4.34919332e+01 
 4.73000000e-01  8.59616198e-13  1.92987987e-14  4.45424719e+01 
 4.74000000e-01  9.02944386e-13  1.97931949e-14  4.56189308e+01 
 4.75000000e-01  9.48461795e-13  2.03049383e-14  4.67108928e+01 
 4.76000000e-01  9.96269039e-13  2.08270901e-14  4.78352490e+01 
 4.77000000e-01  1.04648928e-12  2.13683238e-14  4.89738594e+01 
 4.78000000e-01  1.09924916e-12  2.19269047e-14  5.01324367e+01 
 4.79000000e-01  1.15465970e-12  2.24889551e-14  5.13434125e+01 
 4.80000000e-01  1.21287008e-12  2.30857000e-14  5.25377217e+01 
 4.81000000e-01  1.27401041e-12  2.36911185e-14  5.37758658e+01 
 4.82000000e-01  1.33823681e-12  2.43017412e-14  5.50675280e+01 
 4.83000000e-01  1.40570715e-12  2.49435889e-14  5.63554489e+01 
 4.84000000e-01  1.47657928e-12  2.56010491e-14  5.76765144e+01 
 4.85000000e-01  1.55102320e-12  2.62810607e-14  5.90167656e+01 
 4.86000000e-01  1.62921933e-12  2.69697459e-14  6.04091464e+01 
 4.87000000e-01  1.71135849e-12  2.76844520e-14  6.18165925e+01 
 4.88000000e-01  1.79764016e-12  2.84269136e-14  6.32372612e+01 
 4.89000000e-01  1.88828120e-12  2.91849878e-14  6.47004279e+01 
 4.90000000e-01  1.98348456e-12  2.99638786e-14  6.61958548e+01 
 4.91000000e-01  2.08349483e-12  3.07653209e-14  6.77221877e+01 
 4.92000000e-01  2.18854275e-12  3.15945187e-14  6.92696974e+01 
 4.93000000e-01  2.29889371e-12  3.24427985e-14  7.08599080e+01 
 4.94000000e-01  2.41480620e-12  3.33118949e-14  7.24908087e+01 
 4.95000000e-01  2.53656471e-12  3.42226248e-14  7.41195255e+01 
 4.96000000e-01  2.66446934e-12  3.51489671e-14  7.58050537e+01 
 4.97000000e-01  2.79882020e-12  3.61030650e-14  7.75230635e+01 
 4.98000000e-01  2.93994516e-12  3.70866532e-14  7.92723232e+01 
 4.99000000e-01  3.08818943e-12  3.81049359e-14  8.10443411e+01 
 5.00000000e-01  3.24391035e-12  3.91475047e-14  8.28637833e+01 
 5.01000000e-01  3.40747569e-12  4.02247680e-14  8.47108848e+01 
 5.02000000e-01  3.57930179e-12  4.13263174e-14  8.66107122e+01 
 5.03000000e-01  3.75979109e-12  4.24695002e-14  8.85292050e+01 
 5.04000000e-01  3.94938075e-12  4.36439080e-14  9.04909971e+01 
 5.05000000e-01  4.14852527e-12  4.48634186e-14  9.24701104e+01 
