 v-sweep         ic              ib              beta           
 3.00000000e-01  1.84122191e-10  8.19457427e-13  2.24687928e+02 
 3.01000000e-01  1.89935081e-10  8.36508897e-13  2.27056857e+02 
 3.02000000e-01  1.95933178e-10  8.53950677e-13  2.29443202e+02 
 3.03000000e-01  2.02122397e-10  8.71785375e-13  2.31848804e+02 
 3.04000000e-01  2.08508827e-10  8.90033805e-13  2.34270683e+02 
 3.05000000e-01  2.15098747e-10  9.08695967e-13  2.36711458e+02 
 3.06000000e-01  2.21898645e-10  9.27801351e-13  2.39166116e+02 
 3.07000000e-01  2.28915204e-10  9.47338681e-13  2.41640300e+02 
 3.08000000e-01  2.36155336e-10  9.67325306e-13  2.44132284e+02 
 3.09000000e-01  2.43626160e-10  9.87782041e-13  2.46639592e+02 
 3.10000000e-01  2.51335032e-10  1.00871322e-12  2.49164010e+02 
 3.11000000e-01  2.59289526e-10  1.03013013e-12  2.51705604e+02 
 3.12000000e-01  2.67497476e-10  1.05205184e-12  2.54262638e+02 
 3.13000000e-01  2.75966960e-10  1.07448356e-12  2.56836838e+02 
 3.14000000e-01  2.84706308e-10  1.09743917e-12  2.59427871e+02 
 3.15000000e-01  2.93724117e-10  1.12094122e-12  2.62033470e+02 
 3.16000000e-01  3.03029258e-10  1.14499751e-12  2.64654950e+02 
 3.17000000e-01  3.12630891e-10  1.16961498e-12  2.67293850e+02 
 3.18000000e-01  3.22538465e-10  1.19481793e-12  2.69947795e+02 
 3.19000000e-01  3.32761723e-10  1.22062022e-12  2.72616918e+02 
 3.20000000e-01  3.43310720e-10  1.24703054e-12  2.75302576e+02 
 3.21000000e-01  3.54195847e-10  1.27407576e-12  2.78002186e+02 
 3.22000000e-01  3.65427805e-10  1.30176544e-12  2.80717089e+02 
 3.23000000e-01  3.77017649e-10  1.33011691e-12  2.83447000e+02 
 3.24000000e-01  3.88976778e-10  1.35914927e-12  2.86191360e+02 
 3.25000000e-01  4.01316957e-10  1.38887899e-12  2.88950269e+02 
 3.26000000e-01  4.14050344e-10  1.41932514e-12  2.91723391e+02 
 3.27000000e-01  4.27189442e-10  1.45050596e-12  2.94510643e+02 
 3.28000000e-01  4.40747195e-10  1.48244138e-12  2.97311719e+02 
 3.29000000e-01  4.54736947e-10  1.51515136e-12  3.00126416e+02 
 3.30000000e-01  4.69172443e-10  1.54865237e-12  3.02955299e+02 
 3.31000000e-01  4.84067900e-10  1.58297391e-12  3.05796511e+02 
 3.32000000e-01  4.99437970e-10  1.61812552e-12  3.08652180e+02 
 3.33000000e-01  5.15297780e-10  1.65414363e-12  3.11519370e+02 
 3.34000000e-01  5.31662930e-10  1.69103343e-12  3.14401193e+02 
 3.35000000e-01  5.48549519e-10  1.72884178e-12  3.17293072e+02 
 3.36000000e-01  5.65974166e-10  1.76757127e-12  3.20198781e+02 
 3.37000000e-01  5.83954014e-10  1.80725486e-12  3.23116583e+02 
 3.38000000e-01  6.02506750e-10  1.84792030e-12  3.26045852e+02 
 3.39000000e-01  6.21650631e-10  1.88959710e-12  3.28985810e+02 
 3.40000000e-01  6.41404493e-10  1.93230085e-12  3.31938214e+02 
 3.41000000e-01  6.61787766e-10  1.97606453e-12  3.34901901e+02 
 3.42000000e-01  6.82820514e-10  2.02092281e-12  3.37875603e+02 
 3.43000000e-01  7.04523424e-10  2.06690174e-12  3.40859660e+02 
 3.44000000e-01  7.26917847e-10  2.11402386e-12  3.43855083e+02 
 3.45000000e-01  7.50025830e-10  2.16232732e-12  3.46860451e+02 
 3.46000000e-01  7.73870086e-10  2.21184857e-12  3.49874804e+02 
 3.47000000e-01  7.98474094e-10  2.26260495e-12  3.52900357e+02 
 3.48000000e-01  8.23862057e-10  2.31464850e-12  3.55933981e+02 
 3.49000000e-01  8.50058952e-10  2.36799657e-12  3.58978117e+02 
 3.50000000e-01  8.77090546e-10  2.42270641e-12  3.62029234e+02 
 3.51000000e-01  9.04983452e-10  2.47879363e-12  3.65090277e+02 
 3.52000000e-01  9.33765096e-10  2.53630679e-12  3.68159364e+02 
 3.53000000e-01  9.63463803e-10  2.59528061e-12  3.71236852e+02 
 3.54000000e-01  9.94108798e-10  2.65575844e-12  3.74321995e+02 
 3.55000000e-01  1.02573022e-09  2.71778192e-12  3.77414471e+02 
 3.56000000e-01  1.05835919e-09  2.78139268e-12  3.80514121e+02 
 3.57000000e-01  1.09202781e-09  2.84663236e-12  3.83620950e+02 
 3.58000000e-01  1.12676920e-09  2.91354780e-12  3.86734413e+02 
 3.59000000e-01  1.16261754e-09  2.98218237e-12  3.89854610e+02 
 3.60000000e-01  1.19960812e-09  3.05258983e-12  3.92980448e+02 
 3.61000000e-01  1.23777730e-09  3.12481010e-12  3.96112807e+02 
 3.62000000e-01  1.27716266e-09  3.19889695e-12  3.99250955e+02 
 3.63000000e-01  1.31780295e-09  3.27490763e-12  4.02393928e+02 
 3.64000000e-01  1.35973813e-09  3.35289418e-12  4.05541619e+02 
 3.65000000e-01  1.40300948e-09  3.43289996e-12  4.08695125e+02 
 3.66000000e-01  1.44765957e-09  3.51499612e-12  4.11852397e+02 
 3.67000000e-01  1.49373233e-09  3.59923294e-12  4.15014076e+02 
 3.68000000e-01  1.54127308e-09  3.68567116e-12  4.18179761e+02 
 3.69000000e-01  1.59032861e-09  3.77437148e-12  4.21349254e+02 
 3.70000000e-01  1.64094717e-09  3.86539983e-12  4.24521975e+02 
 3.71000000e-01  1.69317857e-09  3.95881866e-12  4.27697934e+02 
 3.72000000e-01  1.74707418e-09  4.05469563e-12  4.30876776e+02 
 3.73000000e-01  1.80268705e-09  4.15310013e-12  4.34058172e+02 
 3.74000000e-01  1.86007188e-09  4.25409981e-12  4.37242181e+02 
 3.75000000e-01  1.91928514e-09  4.35777969e-12  4.40427299e+02 
 3.76000000e-01  1.98038507e-09  4.46419873e-12  4.43614899e+02 
 3.77000000e-01  2.04343180e-09  4.57344195e-12  4.46803921e+02 
 3.78000000e-01  2.10848734e-09  4.68559089e-12  4.49993906e+02 
 3.79000000e-01  2.17561572e-09  4.80072360e-12  4.53184958e+02 
 3.80000000e-01  2.24488296e-09  4.91892683e-12  4.56376572e+02 
 3.81000000e-01  2.31635723e-09  5.04028731e-12  4.59568490e+02 
 3.82000000e-01  2.39010883e-09  5.16489527e-12  4.62760368e+02 
 3.83000000e-01  2.46621033e-09  5.29284437e-12  4.65951794e+02 
 3.84000000e-01  2.54473660e-09  5.42422483e-12  4.69142907e+02 
 3.85000000e-01  2.62576491e-09  5.55912859e-12  4.72333905e+02 
 3.86000000e-01  2.70937496e-09  5.69766668e-12  4.75523597e+02 
 3.87000000e-01  2.79564901e-09  5.83994320e-12  4.78711678e+02 
 3.88000000e-01  2.88467195e-09  5.98605875e-12  4.81898370e+02 
 3.89000000e-01  2.97653137e-09  6.13611743e-12  4.85083834e+02 
 3.90000000e-01  3.07131762e-09  6.29024241e-12  4.88266972e+02 
 3.91000000e-01  3.16912398e-09  6.44855340e-12  4.91447272e+02 
 3.92000000e-01  3.27004666e-09  6.61116315e-12  4.94625013e+02 
 3.93000000e-01  3.37418494e-09  6.77818965e-12  4.97800315e+02 
 3.94000000e-01  3.48164131e-09  6.94976647e-12  5.00972417e+02 
 3.95000000e-01  3.59252146e-09  7.12602026e-12  5.04141349e+02 
 3.96000000e-01  3.70693449e-09  7.30708459e-12  5.07306907e+02 
 3.97000000e-01  3.82499296e-09  7.49310521e-12  5.10468337e+02 
 3.98000000e-01  3.94681300e-09  7.68421916e-12  5.13625772e+02 
 3.99000000e-01  4.07251448e-09  7.88056870e-12  5.16779263e+02 
 4.00000000e-01  4.20222108e-09  8.08231344e-12  5.19928002e+02 
