 v-sweep         ic              ib              beta           
 3.00000000e-01  2.99239800e-16  5.95877514e-16  5.02183406e-01 
 3.01000000e-01  2.99239800e-16  5.95877514e-16  5.02183406e-01 
 3.02000000e-01  3.00107161e-16  6.08887940e-16  4.92877493e-01 
 3.03000000e-01  3.00974523e-16  5.94142791e-16  5.06569343e-01 
 3.04000000e-01  3.01841885e-16  5.93275429e-16  5.08771930e-01 
 3.05000000e-01  3.04443970e-16  6.11490025e-16  4.97872340e-01 
 3.06000000e-01  3.03576608e-16  6.12357387e-16  4.95750708e-01 
 3.07000000e-01  3.06178694e-16  6.16694196e-16  4.96483826e-01 
 3.08000000e-01  3.06178694e-16  6.16694196e-16  4.96483826e-01 
 3.09000000e-01  3.07046055e-16  6.22765728e-16  4.93036212e-01 
 3.10000000e-01  3.08780779e-16  6.14092110e-16  5.02824859e-01 
 3.11000000e-01  3.09648140e-16  6.20163643e-16  4.99300699e-01 
 3.12000000e-01  3.11382864e-16  6.25367813e-16  4.97919556e-01 
 3.13000000e-01  3.11382864e-16  6.25367813e-16  4.97919556e-01 
 3.14000000e-01  3.13117587e-16  6.30571984e-16  4.96561210e-01 
 3.15000000e-01  3.13984949e-16  6.36643516e-16  4.93188011e-01 
 3.16000000e-01  3.13984949e-16  6.22765728e-16  5.04178273e-01 
 3.17000000e-01  3.13984949e-16  6.29704622e-16  4.98622590e-01 
 3.18000000e-01  3.17454396e-16  6.26235175e-16  5.06925208e-01 
 3.19000000e-01  3.19189120e-16  6.38378239e-16  5.00000000e-01 
 3.20000000e-01  3.18321758e-16  6.39245601e-16  4.97964722e-01 
 3.21000000e-01  3.20056481e-16  6.44449771e-16  4.96635262e-01 
 3.22000000e-01  3.20056481e-16  6.51388665e-16  4.91344874e-01 
 3.23000000e-01  3.20923843e-16  6.36643516e-16  5.04087193e-01 
 3.24000000e-01  3.23525928e-16  6.47919218e-16  4.99330656e-01 
 3.25000000e-01  3.23525928e-16  6.54858112e-16  4.94039735e-01 
 3.26000000e-01  3.24393290e-16  6.47051857e-16  5.01340483e-01 
 3.27000000e-01  3.26128013e-16  6.52256027e-16  5.00000000e-01 
 3.28000000e-01  3.26128013e-16  6.66133815e-16  4.89583333e-01 
 3.29000000e-01  3.28730099e-16  6.49653942e-16  5.06008011e-01 
 3.30000000e-01  3.27862737e-16  6.50521303e-16  5.04000000e-01 
 3.31000000e-01  3.28730099e-16  6.56592836e-16  5.00660502e-01 
 3.32000000e-01  3.31332184e-16  6.60929644e-16  5.01312336e-01 
 3.33000000e-01  3.31332184e-16  6.67868538e-16  4.96103896e-01 
 3.34000000e-01  3.33066907e-16  6.73072709e-16  4.94845361e-01 
 3.35000000e-01  3.33934269e-16  6.79144241e-16  4.91698595e-01 
 3.36000000e-01  3.33934269e-16  6.65266453e-16  5.01955671e-01 
 3.37000000e-01  3.35668993e-16  6.56592836e-16  5.11228534e-01 
 3.38000000e-01  3.37403716e-16  6.82613688e-16  4.94282084e-01 
 3.39000000e-01  3.38271078e-16  6.81746326e-16  4.96183206e-01 
 3.40000000e-01  3.39138440e-16  6.80878964e-16  4.98089172e-01 
 3.41000000e-01  3.40005801e-16  6.86950496e-16  4.94949495e-01 
 3.42000000e-01  3.40873163e-16  6.79144241e-16  5.01915709e-01 
 3.43000000e-01  3.41740525e-16  6.78276879e-16  5.03836317e-01 
 3.44000000e-01  3.43475248e-16  6.76542156e-16  5.07692308e-01 
 3.45000000e-01  3.43475248e-16  6.97358837e-16  4.92537313e-01 
 3.46000000e-01  3.46077333e-16  6.87817858e-16  5.03152585e-01 
 3.47000000e-01  3.46077333e-16  6.94756752e-16  4.98127341e-01 
 3.48000000e-01  3.47812057e-16  7.06899816e-16  4.92024540e-01 
 3.49000000e-01  3.48679419e-16  6.92154667e-16  5.03759398e-01 
 3.50000000e-01  3.48679419e-16  6.92154667e-16  5.03759398e-01 
 3.51000000e-01  3.50414142e-16  6.97358837e-16  5.02487562e-01 
 3.52000000e-01  3.50414142e-16  7.11236625e-16  4.92682927e-01 
 3.53000000e-01  3.50414142e-16  7.11236625e-16  4.92682927e-01 
 3.54000000e-01  3.53883589e-16  7.00828284e-16  5.04950495e-01 
 3.55000000e-01  3.55618313e-16  7.06032455e-16  5.03685504e-01 
 3.56000000e-01  3.53883589e-16  7.07767178e-16  5.00000000e-01 
 3.57000000e-01  3.55618313e-16  7.06032455e-16  5.03685504e-01 
 3.58000000e-01  3.55618313e-16  7.12971349e-16  4.98783455e-01 
 3.59000000e-01  3.57353036e-16  7.11236625e-16  5.02439024e-01 
 3.60000000e-01  3.59087760e-16  7.23379689e-16  4.96402878e-01 
 3.61000000e-01  3.59087760e-16  7.30318583e-16  4.91686461e-01 
 3.62000000e-01  3.62557206e-16  7.19910243e-16  5.03614458e-01 
 3.63000000e-01  3.60822483e-16  7.21644966e-16  5.00000000e-01 
 3.64000000e-01  3.62557206e-16  7.26849136e-16  4.98806683e-01 
 3.65000000e-01  3.64291930e-16  7.32053307e-16  4.97630332e-01 
 3.66000000e-01  3.64291930e-16  7.32053307e-16  4.97630332e-01 
 3.67000000e-01  3.67761377e-16  7.35522754e-16  5.00000000e-01 
 3.68000000e-01  3.66026653e-16  7.30318583e-16  5.01187648e-01 
 3.69000000e-01  3.67761377e-16  7.35522754e-16  5.00000000e-01 
 3.70000000e-01  3.67761377e-16  7.35522754e-16  5.00000000e-01 
 3.71000000e-01  3.69496100e-16  7.26849136e-16  5.08353222e-01 
 3.72000000e-01  3.71230824e-16  7.52869989e-16  4.93087558e-01 
 3.73000000e-01  3.71230824e-16  7.45931095e-16  4.97674419e-01 
 3.74000000e-01  3.72965547e-16  7.58074159e-16  4.91990847e-01 
 3.75000000e-01  3.72965547e-16  7.44196371e-16  5.01165501e-01 
 3.76000000e-01  3.76434994e-16  7.40726924e-16  5.08196721e-01 
 3.77000000e-01  3.74700271e-16  7.56339436e-16  4.95412844e-01 
 3.78000000e-01  3.78169718e-16  7.59808882e-16  4.97716895e-01 
 3.79000000e-01  3.76434994e-16  7.61543606e-16  4.94305239e-01 
 3.80000000e-01  3.78169718e-16  7.59808882e-16  4.97716895e-01 
 3.81000000e-01  3.79904441e-16  7.58074159e-16  5.01144165e-01 
 3.82000000e-01  3.79904441e-16  7.58074159e-16  5.01144165e-01 
 3.83000000e-01  3.81639165e-16  7.63278329e-16  5.00000000e-01 
 3.84000000e-01  3.81639165e-16  7.70217223e-16  4.95495495e-01 
 3.85000000e-01  3.83373888e-16  7.68482500e-16  4.98871332e-01 
 3.86000000e-01  3.85108612e-16  7.73686670e-16  4.97757848e-01 
 3.87000000e-01  3.85108612e-16  7.80625564e-16  4.93333333e-01 
 3.88000000e-01  3.86843335e-16  7.71951947e-16  5.01123596e-01 
 3.89000000e-01  3.86843335e-16  7.78890841e-16  4.96659243e-01 
 3.90000000e-01  3.88578059e-16  7.84095011e-16  4.95575221e-01 
 3.91000000e-01  3.88578059e-16  7.70217223e-16  5.04504505e-01 
 3.92000000e-01  3.90312782e-16  7.82360288e-16  4.98891353e-01 
 3.93000000e-01  3.93782229e-16  7.92768629e-16  4.96717724e-01 
 3.94000000e-01  3.92047506e-16  7.80625564e-16  5.02222222e-01 
 3.95000000e-01  3.95516953e-16  7.84095011e-16  5.04424779e-01 
 3.96000000e-01  3.93782229e-16  7.92768629e-16  4.96717724e-01 
 3.97000000e-01  3.95516953e-16  7.84095011e-16  5.04424779e-01 
 3.98000000e-01  3.95516953e-16  7.91033905e-16  5.00000000e-01 
 3.99000000e-01  3.97251676e-16  7.96238075e-16  4.98910675e-01 
 4.00000000e-01  3.98986399e-16  8.15320034e-16  4.89361702e-01 
 4.01000000e-01  3.98986399e-16  8.01442246e-16  4.97835498e-01 
 4.02000000e-01  4.00721123e-16  7.99707522e-16  5.01084599e-01 
 4.03000000e-01  4.00721123e-16  8.06646416e-16  4.96774194e-01 
 4.04000000e-01  4.02455846e-16  8.11850587e-16  4.95726496e-01 
 4.05000000e-01  4.02455846e-16  8.11850587e-16  4.95726496e-01 
 4.06000000e-01  4.05925293e-16  8.08381140e-16  5.02145923e-01 
