 v-sweep         ic              ib              beta           
 3.00000000e-01  8.67289318e-09  2.68752629e-11  3.22709147e+02 
 3.01000000e-01  8.88512676e-09  2.75067786e-11  3.23015897e+02 
 3.02000000e-01  9.10300757e-09  2.81537671e-11  3.23331778e+02 
 3.03000000e-01  9.32668591e-09  2.88166152e-11  3.23656538e+02 
 3.04000000e-01  9.55631604e-09  2.94957241e-11  3.23989877e+02 
 3.05000000e-01  9.79205634e-09  3.01914999e-11  3.24331563e+02 
 3.06000000e-01  1.00340694e-08  3.09043650e-11  3.24681301e+02 
 3.07000000e-01  1.02825222e-08  3.16347521e-11  3.25038809e+02 
 3.08000000e-01  1.05375860e-08  3.23831004e-11  3.25403864e+02 
 3.09000000e-01  1.07994368e-08  3.31498642e-11  3.25776200e+02 
 3.10000000e-01  1.10682551e-08  3.39355137e-11  3.26155520e+02 
 3.11000000e-01  1.13442265e-08  3.47405164e-11  3.26541676e+02 
 3.12000000e-01  1.16275411e-08  3.55653643e-11  3.26934402e+02 
 3.13000000e-01  1.19183945e-08  3.64105612e-11  3.27333446e+02 
 3.14000000e-01  1.22169872e-08  3.72766172e-11  3.27738622e+02 
 3.15000000e-01  1.25235251e-08  3.81640684e-11  3.28149635e+02 
 3.16000000e-01  1.28382198e-08  3.90734483e-11  3.28566337e+02 
 3.17000000e-01  1.31612882e-08  4.00053181e-11  3.28988464e+02 
 3.18000000e-01  1.34929531e-08  4.09602356e-11  3.29415906e+02 
 3.19000000e-01  1.38334433e-08  4.19387975e-11  3.29848354e+02 
 3.20000000e-01  1.41829937e-08  4.29415981e-11  3.30285651e+02 
 3.21000000e-01  1.45418453e-08  4.39692472e-11  3.30727638e+02 
 3.22000000e-01  1.49102456e-08  4.50223806e-11  3.31174082e+02 
 3.23000000e-01  1.52884486e-08  4.61016454e-11  3.31624793e+02 
 3.24000000e-01  1.56767154e-08  4.72076958e-11  3.32079655e+02 
 3.25000000e-01  1.60753135e-08  4.83412178e-11  3.32538446e+02 
 3.26000000e-01  1.64845179e-08  4.95029116e-11  3.33000977e+02 
 3.27000000e-01  1.69046109e-08  5.06934823e-11  3.33467147e+02 
 3.28000000e-01  1.73358822e-08  5.19136761e-11  3.33936709e+02 
 3.29000000e-01  1.77786291e-08  5.31642388e-11  3.34409549e+02 
 3.30000000e-01  1.82331571e-08  5.44459366e-11  3.34885545e+02 
 3.31000000e-01  1.86997797e-08  5.57595691e-11  3.35364494e+02 
 3.32000000e-01  1.91788186e-08  5.71059459e-11  3.35846264e+02 
 3.33000000e-01  1.96706042e-08  5.84858961e-11  3.36330731e+02 
 3.34000000e-01  2.01754757e-08  5.99002795e-11  3.36817722e+02 
 3.35000000e-01  2.06937813e-08  6.13499732e-11  3.37307095e+02 
 3.36000000e-01  2.12258784e-08  6.28358680e-11  3.37798761e+02 
 3.37000000e-01  2.17721340e-08  6.43588861e-11  3.38292585e+02 
 3.38000000e-01  2.23329248e-08  6.59199852e-11  3.38788377e+02 
 3.39000000e-01  2.29086376e-08  6.75201187e-11  3.39286098e+02 
 3.40000000e-01  2.34996694e-08  6.91602973e-11  3.39785546e+02 
 3.41000000e-01  2.41064278e-08  7.08415325e-11  3.40286650e+02 
 3.42000000e-01  2.47293313e-08  7.25648679e-11  3.40789310e+02 
 3.43000000e-01  2.53688093e-08  7.43313837e-11  3.41293382e+02 
 3.44000000e-01  2.60253031e-08  7.61421763e-11  3.41798781e+02 
 3.45000000e-01  2.66992652e-08  7.79983823e-11  3.42305371e+02 
 3.46000000e-01  2.73911605e-08  7.99011485e-11  3.42813101e+02 
 3.47000000e-01  2.81014661e-08  8.18516792e-11  3.43321803e+02 
 3.48000000e-01  2.88306718e-08  8.38511819e-11  3.43831430e+02 
