 v-sweep         ic              ib              beta           
 3.00000000e-01  1.08838942e-10  1.06351649e-12  1.02338744e+02 
 3.01000000e-01  1.12252864e-10  1.08810446e-12  1.03163683e+02 
 3.02000000e-01  1.15775559e-10  1.11330913e-12  1.03992284e+02 
 3.03000000e-01  1.19410505e-10  1.13914870e-12  1.04824335e+02 
 3.04000000e-01  1.23161265e-10  1.16565181e-12  1.05658709e+02 
 3.05000000e-01  1.27031542e-10  1.19282279e-12  1.06496576e+02 
 3.06000000e-01  1.31025135e-10  1.22069025e-12  1.07336922e+02 
 3.07000000e-01  1.35145976e-10  1.24927156e-12  1.08179823e+02 
 3.08000000e-01  1.39398124e-10  1.27858058e-12  1.09025685e+02 
 3.09000000e-01  1.43785752e-10  1.30864421e-12  1.09873831e+02 
 3.10000000e-01  1.48313186e-10  1.33947719e-12  1.10724682e+02 
 3.11000000e-01  1.52984881e-10  1.37110554e-12  1.11577757e+02 
 3.12000000e-01  1.57805426e-10  1.40354661e-12  1.12433335e+02 
 3.13000000e-01  1.62779571e-10  1.43682815e-12  1.13290912e+02 
 3.14000000e-01  1.67912209e-10  1.47096838e-12  1.14150795e+02 
 3.15000000e-01  1.73208382e-10  1.50599765e-12  1.15012385e+02 
 3.16000000e-01  1.78673312e-10  1.54193506e-12  1.15876030e+02 
 3.17000000e-01  1.84312367e-10  1.57880661e-12  1.16741573e+02 
 3.18000000e-01  1.90131109e-10  1.61663746e-12  1.17608996e+02 
 3.19000000e-01  1.96135243e-10  1.65545885e-12  1.18477873e+02 
 3.20000000e-01  2.02330690e-10  1.69529331e-12  1.19348486e+02 
 3.21000000e-01  2.08723547e-10  1.73617381e-12  1.20220422e+02 
 3.22000000e-01  2.15320098e-10  1.77812377e-12  1.21093988e+02 
 3.23000000e-01  2.22126830e-10  1.82117961e-12  1.21968656e+02 
 3.24000000e-01  2.29150444e-10  1.86536476e-12  1.22844845e+02 
 3.25000000e-01  2.36397859e-10  1.91071738e-12  1.23722044e+02 
 3.26000000e-01  2.43876197e-10  1.95727129e-12  1.24600099e+02 
 3.27000000e-01  2.51592815e-10  2.00505513e-12  1.25479251e+02 
 3.28000000e-01  2.59555307e-10  2.05410098e-12  1.26359565e+02 
 3.29000000e-01  2.67771512e-10  2.10445481e-12  1.27240324e+02 
 3.30000000e-01  2.76249505e-10  2.15614611e-12  1.28121886e+02 
 3.31000000e-01  2.84997636e-10  2.20921391e-12  1.29004093e+02 
 3.32000000e-01  2.94024503e-10  2.26369378e-12  1.29887048e+02 
 3.33000000e-01  3.03339000e-10  2.31963603e-12  1.30770085e+02 
 3.34000000e-01  3.12950279e-10  2.37707361e-12  1.31653592e+02 
 3.35000000e-01  3.22867803e-10  2.43604208e-12  1.32537859e+02 
 3.36000000e-01  3.33101329e-10  2.49660389e-12  1.33421778e+02 
 3.37000000e-01  3.43660924e-10  2.55879201e-12  1.34305923e+02 
 3.38000000e-01  3.54556975e-10  2.62265241e-12  1.35190227e+02 
 3.39000000e-01  3.65800205e-10  2.68823452e-12  1.36074514e+02 
 3.40000000e-01  3.77401686e-10  2.75558952e-12  1.36958601e+02 
 3.41000000e-01  3.89372815e-10  2.82476684e-12  1.37842461e+02 
 3.42000000e-01  4.01725383e-10  2.89581247e-12  1.38726312e+02 
 3.43000000e-01  4.14471539e-10  2.96878971e-12  1.39609598e+02 
 3.44000000e-01  4.27623831e-10  3.04374714e-12  1.40492561e+02 
