 temp-sweep             v(vref)                i(vload)               i(vdd)                 v(vbe)                 v(dvbe)                v(pbias)               v(pcasc)               v(xbgr.c2)             v(xbgr.vbe3)           v(xbgr.vd1)            v(xbgr.vd2)           
-4.000000000000000e+01  1.041983326003844e+00  3.249919310539662e-06 -1.735396692289844e-05  7.806046830644209e-01  4.260007535641417e-02  2.310879330234884e+00  1.895995206196634e+00  8.466796934982311e-01  7.814520427599884e-01  1.562659167985317e+00  7.809057622907023e-01 
-3.500000000000000e+01  1.042183411767188e+00  3.320392864452100e-06 -1.771932767877230e-05  7.749469297943317e-01  4.355304334111554e-02  2.309977150728629e+00  1.885832787398957e+00  8.417717885463822e-01  7.758115223404216e-01  1.551365357154203e+00  7.752494048207009e-01 
-3.000000000000000e+01  1.042370172810593e+00  3.390824015502309e-06 -1.808466751611650e-05  7.692669125634412e-01  4.450752890150561e-02  2.309104379686260e+00  1.875686063360602e+00  8.368761733914643e-01  7.701487956412433e-01  1.540027053253592e+00  7.695707850289362e-01 
-2.500000000000000e+01  1.042543795161961e+00  3.461208971179783e-06 -1.844996907396308e-05  7.635648103331731e-01  4.546353313181634e-02  2.308260855231094e+00  1.865554838544076e+00  8.319922686250572e-01  7.644640419962339e-01  1.528644619073804e+00  7.638700843014542e-01 
-2.000000000000000e+01  1.042704458883436e+00  3.531543966975783e-06 -1.881521518878996e-05  7.578407934519225e-01  4.642105723555114e-02  2.307446435791192e+00  1.855438935092156e+00  8.271195473214484e-01  7.587574320307011e-01  1.517218399659365e+00  7.581474751130083e-01 
-1.500000000000000e+01  1.042852337951166e+00  3.601825262822131e-06 -1.918038886953997e-05  7.520950241415045e-01  4.738010249560941e-02  2.306660998672818e+00  1.845338191865739e+00  8.222575315948918e-01  7.530291280292873e-01  1.505748723114681e+00  7.524031214776600e-01 
-1.000000000000000e+01  1.042987602339670e+00  3.672049161032383e-06 -1.954547338411920e-05  7.463276572623017e-01  4.834067046522254e-02  2.305904437834535e+00  1.835252460470791e+00  8.174057907133958e-01  7.472792847254571e-01  1.494235902196138e+00  7.466371797603820e-01 
-5.000000000000000e+00  1.043110417876610e+00  3.742212000862184e-06 -1.991045222396869e-05  7.405388407245977e-01  4.930276294380272e-02  2.305176662806874e+00  1.825181604605035e+00  8.125639381076445e-01  7.415080497609203e-01  1.482680235240586e+00  7.408497991165042e-01 
 0.000000000000000e+00  1.043220946717138e+00  3.812310160975269e-06 -2.027530911393620e-05  7.347287158932332e-01  5.026638197081484e-02  2.304477597388559e+00  1.815125498836437e+00  8.077316287953105e-01  7.357155641053192e-01  1.471082007022424e+00  7.350411219205125e-01 
 5.000000000000000e+00  1.043319347290771e+00  3.882340056114399e-06 -2.064002798897929e-05  7.288974179290935e-01  5.123152979752028e-02  2.303807178691959e+00  1.805084028195486e+00  8.029085567074111e-01  7.299019624094135e-01  1.459441489479255e+00  7.292112841287751e-01 
 1.000000000000000e+01  1.043405774469836e+00  3.952298136515955e-06 -2.100459298637335e-05  7.230450761257446e-01  5.219820887419518e-02  2.303165356172714e+00  1.795057087329315e+00  7.980944522376875e-01  7.240673733487719e-01  1.447758942411226e+00  7.233604156287663e-01 
 1.500000000000000e+01  1.043480379768706e+00  4.022180887980087e-06 -2.136898844042404e-05  7.171718142124894e-01  5.316642183145413e-02  2.302552090721325e+00  1.785044579879401e+00  7.932890799544113e-01  7.182119199457050e-01  1.436034614140874e+00  7.174886405695649e-01 
 2.000000000000000e+01  1.043543311444168e+00  4.091984830838447e-06 -2.173319887426585e-05  7.112777506462264e-01  5.413617146974242e-02  2.301967353870859e+00  1.775046417918512e+00  7.884922364049415e-01  7.123357198632251e-01  1.424268742112283e+00  7.115960776612523e-01 
 2.500000000000000e+01  1.043594714788761e+00  4.161706521423888e-06 -2.209720899869511e-05  7.053629988839891e-01  5.510746074978978e-02  2.301411126983959e+00  1.765062521272437e+00  7.837037481224832e-01  7.064388856930595e-01  1.412461553478479e+00  7.056828404677111e-01 
 3.000000000000000e+01  1.043634732353817e+00  4.231342552805519e-06 -2.246100371347066e-05  6.994276676444927e-01  5.608029278867962e-02  2.300883400521689e+00  1.755092816739294e+00  7.789234697396658e-01  7.005215252202608e-01  1.400613265643272e+00  6.997490376786512e-01 
 3.500000000000000e+01  1.043663504376278e+00  4.300889557945015e-06 -2.282456811536844e-05  6.934718611577060e-01  5.705467085960678e-02  2.300384173275224e+00  1.745137237488322e+00  7.741512823084395e-01  6.945837416860221e-01  1.388724086790354e+00  6.937947733724716e-01 
 4.000000000000000e+01  1.043681169326678e+00  4.370344214580627e-06 -2.318788751775638e-05  6.874956794169840e-01  5.803059840450437e-02  2.299913451574803e+00  1.735195721834566e+00  7.693870918098585e-01  6.886256340445954e-01  1.376794216414293e+00  6.878201472824513e-01 
 4.500000000000000e+01  1.043687864738655e+00  4.439703252938972e-06 -2.355094748159307e-05  6.814992184275628e-01  5.900807905398022e-02  2.299471248420653e+00  1.725268212023101e+00  7.646308278876188e-01  6.826472972238540e-01  1.364823845839104e+00  6.818252550538484e-01 
 5.000000000000000e+01  1.043683728681693e+00  4.508963471479673e-06 -2.391373388579795e-05  6.754825704921827e-01  5.998711668182959e-02  2.299057582308750e+00  1.715354651812786e+00  7.598824430301403e-01  6.766488224217635e-01  1.352813158819401e+00  6.758101885434480e-01 
 5.500000000000000e+01  1.043668901616853e+00  4.578121756249962e-06 -2.427623301520149e-05  6.694458245100974e-01  6.096771547719236e-02  2.298672475929003e+00  1.705454983744580e+00  7.551419119998050e-01  6.706302974134409e-01  1.340762332152432e+00  6.697750361224009e-01 
 6.000000000000000e+01  1.043643529667611e+00  4.647175117042339e-06 -2.463843172679124e-05  6.633890663522222e-01  6.194988007599890e-02  2.298315954169779e+00  1.695569144017588e+00  7.504092320719092e-01  6.645918069482906e-01  1.328671536471923e+00  6.637198830680080e-01 
 6.500000000000000e+01  1.043607769477152e+00  4.716120740868015e-06 -2.500031770032841e-05  6.573123793336473e-01  6.293361576561091e-02  2.297988041373572e+00  1.685697055142199e+00  7.456844240922941e-01  6.585334332462928e-01  1.316540937225618e+00  6.576448120445201e-01 
 7.000000000000000e+01  1.043561795914945e+00  4.784956077979197e-06 -2.536187984412577e-05  6.512158448691220e-01  6.391892882054293e-02  2.297688757177834e+00  1.675838613976968e+00  7.409675349908159e-01  6.524552566820905e-01  1.304370696021172e+00  6.515499037620737e-01 
 7.500000000000000e+01  1.043505813662303e+00  4.853678970984541e-06 -2.572310890569757e-05  6.450995433542305e-01  6.490582699708146e-02  2.297418110451432e+00  1.665993673621882e+00  7.362586421662366e-01  6.463573567273513e-01  1.292160972469780e+00  6.454352378772200e-01 
 8.000000000000000e+01  1.043440074611882e+00  4.922287849561913e-06 -2.608399839922016e-05  6.389635554206343e-01  6.589432028706373e-02  2.297176090305428e+00  1.656162015681028e+00  7.315578606778536e-01  6.402398132850222e-01  1.279911926789064e+00  6.393008942599704e-01 
 8.500000000000000e+01  1.043364903728974e+00  4.990782019357275e-06 -2.644454598771893e-05  6.328079637216156e-01  6.688442203702215e-02  2.296962652870704e+00  1.646343308224267e+00  7.268653543447686e-01  6.341027085957136e-01  1.267623723499477e+00  6.331469547877717e-01 
 9.000000000000000e+01  1.043280735392853e+00  5.059162068167460e-06 -2.680475544303391e-05  6.266328553479642e-01  6.787615049904268e-02  2.296777702765492e+00  1.636537044521203e+00  7.221813516241571e-01  6.279461298445463e-01  1.255296536479715e+00  6.269735057907820e-01 
 9.500000000000000e+01  1.043188163447548e+00  5.127430424139385e-06 -2.716463936745490e-05  6.204383250604453e-01  6.886953094007890e-02  2.296621067633709e+00  1.626742454946047e+00  7.175061674167347e-01  6.217701726808065e-01  1.242930555737771e+00  6.207806413105456e-01 
 1.000000000000000e+02  1.043088006035996e+00  5.195592077697221e-06 -2.752422277552750e-05  6.142244793343576e-01  6.986459830642466e-02  2.296492465140178e+00  1.616958384782286e+00  7.128402307987197e-01  6.155749456870626e-01  1.230525995964168e+00  6.145684671865393e-01 
 1.050000000000000e+02  1.042981387648089e+00  5.263655493851276e-06 -2.788354771664063e-05  6.079914412657246e-01  7.086140047626763e-02  2.296391461164347e+00  1.607183126531625e+00  7.081841190869982e-01  6.093605759276498e-01  1.218083107059978e+00  6.083371060374977e-01 
 1.100000000000000e+02  1.042869844350433e+00  5.331633780070302e-06 -2.824267931701778e-05  6.017393566258771e-01  7.186000229502469e-02  2.296317416144067e+00  1.597414188605248e+00  7.035386001103713e-01  6.031272159316299e-01  1.205602187254894e+00  6.020867034051183e-01 
 1.150000000000000e+02  1.042755470080080e+00  5.399546309744167e-06 -2.860171423068916e-05  5.954684021144265e-01  7.286049110524742e-02  2.296269410455130e+00  1.587647965688301e+00  6.989046905088127e-01  5.968750533103317e-01  1.193083601125446e+00  5.958174361592501e-01 
 1.200000000000000e+02  1.042641139454816e+00  5.467421195279440e-06 -2.896079338019765e-05  5.891787981014684e-01  7.386298532358440e-02  2.296246130763941e+00  1.577879252265682e+00  6.942837463591431e-01  5.906043254389771e-01  1.180527807200678e+00  5.895295254332034e-01 
