 time                   v(in)                  v(out)                 i(vdd)                 i(vdda)               
 0.000000000000000e+00  0.000000000000000e+00  4.357375073153488e-13 -7.067609518462969e-12 -3.510212953639068e-15 
 1.000000000000000e-12  0.000000000000000e+00  4.358866162106133e-13 -7.067607333647361e-12 -3.473963660796245e-15 
 2.000000000000000e-12  0.000000000000000e+00  4.358863214444702e-13 -7.067609068370837e-12 -3.491558329067053e-15 
 4.000000000000001e-12  0.000000000000000e+00  4.362329364544814e-13 -7.067606829239241e-12 -3.463715269177518e-15 
 8.000000000000001e-12  0.000000000000000e+00  4.361855978902371e-13 -7.067606656021003e-12 -3.483846015850193e-15 
 1.600000000000000e-11  0.000000000000000e+00  4.366351609025379e-13 -7.067605918162662e-12 -3.475440845287938e-15 
 3.200000000000001e-11  0.000000000000000e+00  4.373691460192411e-13 -7.067606958808812e-12 -3.476074676166773e-15 
 6.400000000000001e-11  0.000000000000000e+00  4.377879857983069e-13 -7.067606503584851e-12 -3.482736603543430e-15 
 1.280000000000000e-10  0.000000000000000e+00  4.395568333869372e-13 -7.067605191512618e-12 -3.456113332214308e-15 
 2.280000000000000e-10  0.000000000000000e+00  4.392911582724565e-13 -7.067604454974457e-12 -3.459354391643309e-15 
 3.280000000000001e-10  0.000000000000000e+00  4.384330744844436e-13 -7.067607372468602e-12 -3.452444508137197e-15 
 4.280000000000001e-10  0.000000000000000e+00  4.350391922708451e-13 -7.067612143146758e-12 -3.475892762696943e-15 
 5.280000000000000e-10  0.000000000000000e+00  4.331657764000637e-13 -7.067609758217961e-12 -3.477816954652095e-15 
 6.280000000000000e-10  0.000000000000000e+00  4.352897659707631e-13 -7.067611709714043e-12 -3.467298045351345e-15 
 7.280000000000000e-10  0.000000000000000e+00  4.368372518990605e-13 -7.067611059027303e-12 -3.456347251881082e-15 
 8.279999999999999e-10  0.000000000000000e+00  4.375380947780604e-13 -7.067609757781210e-12 -3.456618256855738e-15 
 9.279999999999999e-10  0.000000000000000e+00  4.372256360565955e-13 -7.067612142882060e-12 -3.455290760172516e-15 
 1.028000000000000e-09  0.000000000000000e+00  4.376977477166712e-13 -7.067609106884366e-12 -3.444176854652607e-15 
 1.128000000000000e-09  0.000000000000000e+00  4.357402770049603e-13 -7.067612142733167e-12 -3.457568945278909e-15 
 1.228000000000000e-09  0.000000000000000e+00  4.344981983164977e-13 -7.067611709219389e-12 -3.462014226264345e-15 
 1.328000000000000e-09  0.000000000000000e+00  4.362961161675766e-13 -7.067609106980319e-12 -3.452741973697873e-15 
 1.428000000000000e-09  0.000000000000000e+00  4.352614995804643e-13 -7.067612142855590e-12 -3.458598917813427e-15 
 1.528000000000000e-09  0.000000000000000e+00  4.343247217989843e-13 -7.067611709360010e-12 -3.460821616894172e-15 
 1.628000000000000e-09  0.000000000000000e+00  4.356020266212284e-13 -7.067609107228474e-12 -3.455398893959413e-15 
