 frequency              real(ifout)            imag(ifout)            real(ve)               imag(ve)              
 1.000000000000000e+00 -8.000000000000351e-01 -8.377580409571313e-08  6.666666666665498e+01 -2.792526803190437e-05 
 1.023292992280754e+00 -8.000000000000369e-01 -8.572719325382787e-08  6.666666666665442e+01 -2.857573108460928e-05 
 1.047128548050899e+00 -8.000000000000386e-01 -8.772403610453914e-08  6.666666666665385e+01 -2.924134536817973e-05 
 1.071519305237606e+00 -8.000000000000403e-01 -8.976739140035791e-08  6.666666666665324e+01 -2.992246380011934e-05 
 1.096478196143185e+00 -8.000000000000422e-01 -9.185834255530908e-08  6.666666666665260e+01 -3.061944751843637e-05 
 1.122018454301963e+00 -8.000000000000442e-01 -9.399799821937180e-08  6.666666666665195e+01 -3.133266607312395e-05 
 1.148153621496882e+00 -8.000000000000463e-01 -9.618749286630091e-08  6.666666666665125e+01 -3.206249762210034e-05 
 1.174897554939529e+00 -8.000000000000486e-01 -9.842798739513972e-08  6.666666666665053e+01 -3.280932913171326e-05 
 1.202264434617413e+00 -8.000000000000508e-01 -1.007206697457436e-07  6.666666666664976e+01 -3.357355658191460e-05 
 1.230268770812381e+00 -8.000000000000531e-01 -1.030667555286425e-07  6.666666666664896e+01 -3.435558517621419e-05 
 1.258925411794167e+00 -8.000000000000556e-01 -1.054674886695722e-07  6.666666666664813e+01 -3.515582955652409e-05 
 1.288249551693134e+00 -8.000000000000582e-01 -1.079241420690217e-07  6.666666666664726e+01 -3.597471402300726e-05 
 1.318256738556407e+00 -8.000000000000611e-01 -1.104380182771408e-07  6.666666666664635e+01 -3.681267275904698e-05 
 1.348962882591653e+00 -8.000000000000639e-01 -1.130104501843706e-07  6.666666666664538e+01 -3.767015006145686e-05 
 1.380384264602885e+00 -8.000000000000669e-01 -1.156428017281578e-07  6.666666666664437e+01 -3.854760057605265e-05 
 1.412537544622754e+00 -8.000000000000701e-01 -1.183364686161347e-07  6.666666666664334e+01 -3.944548953871161e-05 
 1.445439770745927e+00 -8.000000000000735e-01 -1.210928790661401e-07  6.666666666664224e+01 -4.036429302204672e-05 
 1.479108388168207e+00 -8.000000000000769e-01 -1.239134945634799e-07  6.666666666664108e+01 -4.130449818782664e-05 
 1.513561248436208e+00 -8.000000000000805e-01 -1.267998106358259e-07  6.666666666663988e+01 -4.226660354527533e-05 
 1.548816618912481e+00 -8.000000000000842e-01 -1.297533576461649e-07  6.666666666663860e+01 -4.325111921538830e-05 
 1.584893192461113e+00 -8.000000000000883e-01 -1.327757016042163e-07  6.666666666663730e+01 -4.425856720140544e-05 
 1.621810097358929e+00 -8.000000000000924e-01 -1.358684449967521e-07  6.666666666663590e+01 -4.528948166558408e-05 
 1.659586907437560e+00 -8.000000000000967e-01 -1.390332276372565e-07  6.666666666663446e+01 -4.634440921241888e-05 
 1.698243652461743e+00 -8.000000000001013e-01 -1.422717275353762e-07  6.666666666663293e+01 -4.742390917845879e-05 
 1.737800828749374e+00 -8.000000000001061e-01 -1.455856617866237e-07  6.666666666663134e+01 -4.852855392887464e-05 
 1.778279410038922e+00 -8.000000000001111e-01 -1.489767874828045e-07  6.666666666662968e+01 -4.965892916093484e-05 
 1.819700858609982e+00 -8.000000000001164e-01 -1.524469026436490e-07  6.666666666662795e+01 -5.081563421454967e-05 
 1.862087136662866e+00 -8.000000000001217e-01 -1.559978471701482e-07  6.666666666662611e+01 -5.199928239004937e-05 
 1.905460717963246e+00 -8.000000000001275e-01 -1.596315038200920e-07  6.666666666662421e+01 -5.321050127336403e-05 
 1.949844599758044e+00 -8.000000000001335e-01 -1.633497992063337e-07  6.666666666662221e+01 -5.444993306877792e-05 
 1.995262314968878e+00 -8.000000000001397e-01 -1.671547048183042e-07  6.666666666662010e+01 -5.571823493943479e-05 
 2.041737944669527e+00 -8.000000000001464e-01 -1.710482380673231e-07  6.666666666661791e+01 -5.701607935577438e-05 
 2.089296130854037e+00 -8.000000000001533e-01 -1.750324633562557e-07  6.666666666661561e+01 -5.834415445208530e-05 
 2.137962089502230e+00 -8.000000000001604e-01 -1.791094931740882e-07  6.666666666661320e+01 -5.970316439136270e-05 
 2.187761623949550e+00 -8.000000000001681e-01 -1.832814892159949e-07  6.666666666661069e+01 -6.109382973866499e-05 
 2.238721138568337e+00 -8.000000000001760e-01 -1.875506635295007e-07  6.666666666660805e+01 -6.251688784316694e-05 
 2.290867652767770e+00 -8.000000000001841e-01 -1.919192796873359e-07  6.666666666660528e+01 -6.397309322911195e-05 
 2.344228815319919e+00 -8.000000000001929e-01 -1.963896539876123e-07  6.666666666660240e+01 -6.546321799587078e-05 
 2.398832919019488e+00 -8.000000000002020e-01 -2.009641566819567e-07  6.666666666659935e+01 -6.698805222731887e-05 
 2.454708915685027e+00 -8.000000000002114e-01 -2.056452132322478e-07  6.666666666659619e+01 -6.854840441074931e-05 
 2.511886431509577e+00 -8.000000000002216e-01 -2.104353055966301e-07  6.666666666659287e+01 -7.014510186554341e-05 
 2.570395782768860e+00 -8.000000000002319e-01 -2.153369735454793e-07  6.666666666658938e+01 -7.177899118182648e-05 
 2.630267991895378e+00 -8.000000000002427e-01 -2.203528160080233e-07  6.666666666658574e+01 -7.345093866934105e-05 
 2.691534803926912e+00 -8.000000000002543e-01 -2.254854924503274e-07  6.666666666658193e+01 -7.516183081677588e-05 
 2.754228703338163e+00 -8.000000000002663e-01 -2.307377242853811e-07  6.666666666657794e+01 -7.691257476179377e-05 
 2.818382931264450e+00 -8.000000000002787e-01 -2.361122963160247e-07  6.666666666657375e+01 -7.870409877200822e-05 
 2.884031503126602e+00 -8.000000000002920e-01 -2.416120582114889e-07  6.666666666656938e+01 -8.053735273716300e-05 
 2.951209226666381e+00 -8.000000000003058e-01 -2.472399260183292e-07  6.666666666656479e+01 -8.241330867277645e-05 
 3.019951720402012e+00 -8.000000000003201e-01 -2.529988837065502e-07  6.666666666655999e+01 -8.433296123551678e-05 
 3.090295432513586e+00 -8.000000000003352e-01 -2.588919847517467e-07  6.666666666655496e+01 -8.629732825058229e-05 
 3.162277660168374e+00 -8.000000000003510e-01 -2.649223537540972e-07  6.666666666654970e+01 -8.830745125136584e-05 
 3.235936569296277e+00 -8.000000000003676e-01 -2.710931880950683e-07  6.666666666654419e+01 -9.036439603168950e-05 
 3.311311214825905e+00 -8.000000000003848e-01 -2.774077596327076e-07  6.666666666653842e+01 -9.246925321090264e-05 
 3.388441561392020e+00 -8.000000000004031e-01 -2.838694164364282e-07  6.666666666653236e+01 -9.462313881214269e-05 
 3.467368504525310e+00 -8.000000000004219e-01 -2.904815845621962e-07  6.666666666652604e+01 -9.682719485406547e-05 
 3.548133892335748e+00 -8.000000000004418e-01 -2.972477698690751e-07  6.666666666651940e+01 -9.908258995635846e-05 
 3.630780547701007e+00 -8.000000000004627e-01 -3.041715598780751e-07  6.666666666651247e+01 -1.013905199593585e-04 
 3.715352290971718e+00 -8.000000000004845e-01 -3.112566256743064e-07  6.666666666650521e+01 -1.037522085581021e-04 
 3.801893963205605e+00 -8.000000000005072e-01 -3.185067238534352e-07  6.666666666649759e+01 -1.061689079511451e-04 
 3.890451449942799e+00 -8.000000000005312e-01 -3.259256985134824e-07  6.666666666648962e+01 -1.086418995044942e-04 
 3.981071705534965e+00 -8.000000000005563e-01 -3.335174832930146e-07  6.666666666648129e+01 -1.111724944310049e-04 
 4.073802778041119e+00 -8.000000000005825e-01 -3.412861034568107e-07  6.666666666647255e+01 -1.137620344856036e-04 
