 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 0.000000000000000e+00  6.219455482276596e-10  6.219455482276596e-10  2.368422176564509e-08  3.681023877531443e-09  1.199999999935049e+00  3.299999999878247e+00 -2.435065482586651e-10 -1.299027552192911e-10 
 5.000000000000001e-12  6.219457449052612e-10  6.219455482473253e-10  2.368436383820560e-08  3.681026636281892e-09  1.199999999935049e+00  3.299999999878247e+00 -2.435065482586651e-10 -1.299018670408714e-10 
 1.000000000000000e-11  6.219458420497759e-10  6.219455482767026e-10  2.368442032080198e-08  3.681029002444713e-09  1.199999999935050e+00  3.299999999878247e+00 -2.435065482586651e-10 -1.299009788624517e-10 
 2.000000000000000e-11  6.219457171496856e-10  6.219455483204641e-10  2.368443877132087e-08  3.681018045931239e-09  1.199999999935049e+00  3.299999999878251e+00 -2.434976664744681e-10 -1.299023111300812e-10 
 4.000000000000000e-11  6.219459669498661e-10  6.219455484559118e-10  2.368434305621836e-08  3.681021570889342e-09  1.199999999935049e+00  3.299999999878260e+00 -2.434799029060741e-10 -1.299027552192911e-10 
 8.000000000000001e-11  6.219458004164125e-10  6.219455486851011e-10  2.368416354703307e-08  3.681018882067955e-09  1.199999999935048e+00  3.299999999878265e+00 -2.434710211218771e-10 -1.299049756653403e-10 
 1.600000000000000e-10  6.219455714329136e-10  6.219455488900937e-10  2.368412591567670e-08  3.681030013788500e-09  1.199999999935044e+00  3.299999999878259e+00 -2.434834556197529e-10 -1.299125251819078e-10 
 3.200000000000000e-10  6.219456026579362e-10  6.219455491568101e-10  2.368421346782106e-08  3.681022551008106e-09  1.199999999935040e+00  3.299999999878265e+00 -2.434710211218771e-10 -1.299196306092654e-10 
 6.400000000000001e-10  6.219454447980999e-10  6.219455489701624e-10  2.368423781639976e-08  3.681024880308054e-09  1.199999999935040e+00  3.299999999878255e+00 -2.434896728686908e-10 -1.299196306092654e-10 
 1.140000000000000e-09  6.219454291855886e-10  6.219455481208536e-10  2.368422249456308e-08  3.681024768418389e-09  1.199999999935044e+00  3.299999999878231e+00 -2.435394108601940e-10 -1.299120810926979e-10 
 1.640000000000000e-09  6.219455809738927e-10  6.219455480571952e-10  2.368422101023610e-08  3.681024053278636e-09  1.199999999935045e+00  3.299999999878225e+00 -2.435509571796501e-10 -1.299103047358585e-10 
 2.140000000000000e-09  6.219455922495953e-10  6.219455483287814e-10  2.368422241530790e-08  3.681022571391107e-09  1.199999999935044e+00  3.299999999878227e+00 -2.435474044659713e-10 -1.299116370034881e-10 
 2.640000000000000e-09  6.219455679634667e-10  6.219455485487416e-10  2.368422061152075e-08  3.681024213306877e-09  1.199999999935044e+00  3.299999999878228e+00 -2.435447399307122e-10 -1.299116370034881e-10 
 3.140000000000000e-09  6.219455428099763e-10  6.219455485835710e-10  2.368422199040907e-08  3.681023302143371e-09  1.199999999935044e+00  3.299999999878228e+00 -2.435438517522925e-10 -1.299116370034881e-10 
 3.640000000000000e-09  6.219455115849537e-10  6.219455483500799e-10  2.368422193641580e-08  3.681023594444277e-09  1.199999999935044e+00  3.299999999878229e+00 -2.435429635738728e-10 -1.299116370034881e-10 
 4.140000000000000e-09  6.219456043926597e-10  6.219455486439079e-10  2.368422145324111e-08  3.681024028125146e-09  1.199999999935044e+00  3.299999999878228e+00 -2.435438517522925e-10 -1.299116370034881e-10 
 4.640000000000001e-09  6.219455592898493e-10  6.219455488117049e-10  2.368422199225222e-08  3.681022948693463e-09  1.199999999935044e+00  3.299999999878229e+00 -2.435429635738728e-10 -1.299116370034881e-10 
 5.140000000000001e-09  6.219455003092511e-10  6.219455485460585e-10  2.368422141345089e-08  3.681025207303429e-09  1.199999999935044e+00  3.299999999878229e+00 -2.435429635738728e-10 -1.299116370034881e-10 
 5.640000000000001e-09  6.219455341363589e-10  6.219455483626676e-10  2.368422213894477e-08  3.681023524621657e-09  1.199999999935044e+00  3.299999999878228e+00 -2.435438517522925e-10 -1.299116370034881e-10 
