 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 0.000000000000000e+00  1.238258747667368e-07  1.238258747667368e-07  5.475400050835181e-07  5.918282066667111e-07  1.199999996639151e+00  3.299999996573773e+00 -6.852453715566753e-09 -6.721698309064550e-09 
 5.000000000000000e-10  1.238258746875248e-07  1.238258747659526e-07  5.475400047352569e-07  5.918282065841326e-07  1.199999996639156e+00  3.299999996573762e+00 -6.852475920027246e-09 -6.721688539101933e-09 
 1.000000000000000e-09  1.238258746988005e-07  1.238258747652877e-07  5.475400061694395e-07  5.918282065364277e-07  1.199999996639157e+00  3.299999996573753e+00 -6.852495459952479e-09 -6.721685430477464e-09 
 2.000000000000000e-09  1.238258748124249e-07  1.238258747653210e-07  5.475400051597763e-07  5.918282083823903e-07  1.199999996639156e+00  3.299999996573753e+00 -6.852495459952479e-09 -6.721687650923514e-09 
 4.000000000000000e-09  1.238258747738273e-07  1.238258747655465e-07  5.475400053629015e-07  5.918282063598112e-07  1.199999996639156e+00  3.299999996573750e+00 -6.852500789022997e-09 -6.721688983191143e-09 
 8.000000000000000e-09  1.238258748171954e-07  1.238258747680841e-07  5.475400047036321e-07  5.918282066348190e-07  1.199999996639155e+00  3.299999996573752e+00 -6.852496348130899e-09 -6.721690759547982e-09 
 1.600000000000000e-08  1.238258747598411e-07  1.238258747692144e-07  5.475400050216591e-07  5.918282064607775e-07  1.199999996639153e+00  3.299999996573763e+00 -6.852475031848826e-09 -6.721695200440081e-09 
 3.200000000000000e-08  1.238258747881930e-07  1.238258747730300e-07  5.475400052446049e-07  5.918282065929417e-07  1.199999996639153e+00  3.299999996573758e+00 -6.852483913633023e-09 -6.721693424083242e-09 
 6.400000000000000e-08  1.238258747748573e-07  1.238258747757425e-07  5.475400050612841e-07  5.918282066720546e-07  1.199999996639153e+00  3.299999996573757e+00 -6.852486578168282e-09 -6.721695200440081e-09 
 1.140000000000000e-07  1.238258747728786e-07  1.238258747756354e-07  5.475400052021402e-07  5.918282067652181e-07  1.199999996639152e+00  3.299999996573753e+00 -6.852493683595640e-09 -6.721696088618501e-09 
 1.640000000000000e-07  1.238258748046187e-07  1.238258747872073e-07  5.475400050753686e-07  5.918282066157676e-07  1.199999996639153e+00  3.299999996573764e+00 -6.852472367313567e-09 -6.721693868172451e-09 
 2.140000000000000e-07  1.238258747885182e-07  1.238258747900460e-07  5.475400051054471e-07  5.918282066682701e-07  1.199999996639153e+00  3.299999996573766e+00 -6.852468814599888e-09 -6.721693868172451e-09 
 2.640000000000000e-07  1.238258748196620e-07  1.238258748024601e-07  5.475400051129324e-07  5.918282065712441e-07  1.199999996639153e+00  3.299999996573766e+00 -6.852468814599888e-09 -6.721693868172451e-09 
 3.140000000000000e-07  1.238258748040494e-07  1.238258748055787e-07  5.475400051211321e-07  5.918282067841916e-07  1.199999996639153e+00  3.299999996573767e+00 -6.852466150064629e-09 -6.721693424083242e-09 
 3.640000000000000e-07  1.238258748007697e-07  1.238258748042788e-07  5.475400051337579e-07  5.918282066780685e-07  1.199999996639153e+00  3.299999996573768e+00 -6.852464373707789e-09 -6.721693868172451e-09 
 4.140000000000000e-07  1.238258747973274e-07  1.238258748012383e-07  5.475400050312606e-07  5.918282065727383e-07  1.199999996639153e+00  3.299999996573768e+00 -6.852465261886209e-09 -6.721693424083242e-09 
 4.640000000000000e-07  1.238258748284440e-07  1.238258748115125e-07  5.475400051690415e-07  5.918282066317087e-07  1.199999996639153e+00  3.299999996573765e+00 -6.852470590956727e-09 -6.721693868172451e-09 
 5.140000000000001e-07  1.238258748139157e-07  1.238258748145286e-07  5.475400051771802e-07  5.918282066717937e-07  1.199999996639153e+00  3.299999996573765e+00 -6.852470590956727e-09 -6.721693868172451e-09 
 5.640000000000001e-07  1.238258748083049e-07  1.238258748126424e-07  5.475400050620922e-07  5.918282067145113e-07  1.199999996639153e+00  3.299999996573766e+00 -6.852468814599888e-09 -6.721693424083242e-09 
 6.140000000000002e-07  1.238258748411563e-07  1.238258748236707e-07  5.475400052228315e-07  5.918282066275718e-07  1.199999996639153e+00  3.299999996573765e+00 -6.852470590956727e-09 -6.721693424083242e-09 
 6.640000000000002e-07  1.238258748258148e-07  1.238258748267340e-07  5.475400050970120e-07  5.918282066757578e-07  1.199999996639154e+00  3.299999996573768e+00 -6.852465261886209e-09 -6.721692979994032e-09 
 7.140000000000003e-07  1.238258748214238e-07  1.238258748252226e-07  5.475400051075304e-07  5.918282067365274e-07  1.199999996639153e+00  3.299999996573766e+00 -6.852467926421468e-09 -6.721693424083242e-09 
 7.640000000000003e-07  1.238258748181441e-07  1.238258748220889e-07  5.475400051184842e-07  5.918282065979629e-07  1.199999996639153e+00  3.299999996573769e+00 -6.852463485529370e-09 -6.721693868172451e-09 
