 v-sweep                v(g)                   v(dh)                  v(dl)                  i(vm_g)                i(vm_dh)               i(vm_dl)               i(vg)                  i(vdh)                 i(vdl)                 i(vdd)                 i(vdda)               
-3.000000000000000e-01 -2.999999994985728e-01  1.199999999994863e+00  1.199999998170434e+00 -1.849981452750615e-11  3.612961870874028e-14  2.185784203664413e-11  5.055450313089833e-07 -5.852148889606045e-10 -6.070366033397398e-10  0.000000000000000e+00 -1.887274182329934e-09 
-2.900000000000000e-01 -2.899999995130506e-01  1.199999999994014e+00  1.199999998180326e+00 -1.796566628103902e-11  4.210432195984989e-14  2.173966747101210e-11  3.671614991731721e-07 -5.852208633482558e-10 -6.069184270376624e-10  0.000000000000000e+00 -1.881521950305897e-09 
-2.800000000000000e-01 -2.799999995271914e-01  1.199999999993002e+00  1.199999998176927e+00 -1.744395166508594e-11  4.921920664995262e-14  2.178026640727831e-11  2.665369011056437e-07 -5.852279774492307e-10 -6.069590282406176e-10  0.000000000000000e+00 -1.875860256969518e-09 
-2.700000000000000e-01 -2.699999995410003e-01  1.199999999991803e+00  1.199999998157469e+00 -1.693447725797936e-11  5.765238506633374e-14  2.201273177752554e-11  1.934481245236459e-07 -5.852364099400475e-10 -6.071914933294628e-10  0.000000000000000e+00 -1.870287922708835e-09 
-2.600000000000000e-01 -2.599999995544828e-01  1.199999999990385e+00  1.199999998118423e+00 -1.643704790332823e-11  6.762412315697967e-14  2.247922441566274e-11  1.404032688410882e-07 -5.852463828653109e-10 -6.076579847582817e-10  0.000000000000000e+00 -1.864803767911881e-09 
-2.500000000000000e-01 -2.499999995676441e-01  1.199999999988711e+00  1.199999998055302e+00 -1.595147451627366e-11  7.940515931765710e-14  2.323332702663643e-11  1.019290080148495e-07 -5.852581633724362e-10 -6.084120881352470e-10  0.000000000000000e+00 -1.859406571333332e-09 
-2.400000000000000e-01 -2.399999995804892e-01  1.199999999986731e+00  1.199999997962417e+00 -1.547756107306286e-11  9.332664571903918e-14  2.434302519329370e-11  7.403589562397907e-08 -5.852720862630544e-10 -6.095217872733824e-10  0.000000000000000e+00 -1.854095986028491e-09 
-2.300000000000000e-01 -2.299999995930236e-01  1.199999999984390e+00  1.199999997832556e+00 -1.501511501939001e-11  1.097922269335625e-13  2.589448138739226e-11  5.382100034078652e-08 -5.852885505235649e-10 -6.110732424182927e-10  0.000000000000000e+00 -1.848870457685125e-09 
-2.200000000000000e-01 -2.199999996052523e-01  1.199999999981617e+00  1.199999997656584e+00 -1.456394466831101e-11  1.292929227239561e-13  2.799681609149843e-11  3.917464502386689e-08 -5.853080522848818e-10 -6.131755780849577e-10  0.000000000000000e+00 -1.843728931591359e-09 
-2.100000000000000e-01 -2.099999996171804e-01  1.199999999978328e+00  1.199999997422940e+00 -1.412386180232872e-11  1.524254974753247e-13  3.078816491346257e-11  2.856506694773226e-08 -5.853311848224340e-10 -6.159669250995989e-10  0.000000000000000e+00 -1.838670505690986e-09 
-2.000000000000000e-01 -1.999999996288135e-01  1.199999999974420e+00  1.199999997116990e+00 -1.369467126505208e-11  1.799151066291570e-13  3.444335374244762e-11  2.088087632355149e-08 -5.853586749853578e-10 -6.196221158330193e-10  0.000000000000000e+00 -1.833693958738679e-09 
-1.899999999999999e-01 -1.899999996401564e-01  1.199999999969767e+00  1.199999996720215e+00 -1.327618050217527e-11  2.126432681957879e-13  3.918362712866184e-11  1.531610871853941e-08 -5.853914022784556e-10 -6.243623882437274e-10  0.000000000000000e+00 -1.828798610722836e-09 
-1.799999999999999e-01 -1.799999996512145e-01  1.199999999964216e+00  1.199999996209179e+00 -1.286820042883940e-11  2.516823626799342e-13  4.528898233005675e-11  1.128651983667602e-08 -5.854304404955590e-10 -6.304677440479809e-10  0.000000000000000e+00 -1.823983184886978e-09 
-1.699999999999999e-01 -1.699999996619928e-01  1.199999999957582e+00  1.199999995554218e+00 -1.247054152650473e-11  2.983381951616736e-13  5.311380943953369e-11  8.368718613310708e-09 -5.854770976181688e-10 -6.382925716394103e-10  0.000000000000000e+00 -1.819246806930474e-09 
-1.599999999999999e-01 -1.599999996724965e-01  1.199999999949639e+00  1.199999994717780e+00 -1.208301254190802e-11  3.542025096898319e-13  6.310673130683309e-11  6.255954092336597e-09 -5.855329626529892e-10 -6.482854930603085e-10  0.000000000000000e+00 -1.814588311119147e-09 
-1.499999999999999e-01 -1.499999996827308e-01  1.199999999940111e+00  1.199999993652322e+00 -1.170542569123301e-11  4.212178314325965e-13  7.583577415394431e-11  4.726024417270641e-09 -5.855999767555896e-10 -6.610145348392668e-10  0.000000000000000e+00 -1.810007086830333e-09 
-1.399999999999999e-01 -1.399999996927006e-01  1.199999999928660e+00  1.199999992297628e+00 -1.133759405802515e-11  5.017575476188565e-13  9.202031182769149e-11  3.617997860931291e-09 -5.856805164971323e-10 -6.771990746587084e-10  0.000000000000000e+00 -1.805501663018526e-09 
