 v-sweep                v(g)                   v(dh)                  v(dl)                  i(vm_g)                i(vm_dh)               i(vm_dl)               i(vg)                  i(vdh)                 i(vdl)                 i(vdd)                 i(vdda)               
-3.000000000000000e-01 -2.999999998612968e-01  1.199999999996989e+00  1.199999999492870e+00 -5.117364865192542e-12  2.117687805845003e-14  6.058684893155374e-12  1.610769998087871e-07 -8.636360802915144e-10 -8.696735965688198e-10  0.000000000000000e+00 -7.001997531619041e-10 
-2.900000000000000e-01 -2.899999998654937e-01  1.199999999996799e+00  1.199999999508846e+00 -4.962521713003376e-12  2.252005708173817e-14  5.867819492561766e-12  1.168131811093568e-07 -8.636374229736184e-10 -8.694827301550621e-10  0.000000000000000e+00 -6.996496098945596e-10 
-2.800000000000000e-01 -2.799999998695875e-01  1.199999999996571e+00  1.199999999523126e+00 -4.811483676758765e-12  2.411735850134337e-14  5.697226402327856e-12  8.470983098989931e-08 -8.636390206539397e-10 -8.693121374484345e-10  0.000000000000000e+00 -6.991077516696035e-10 
-2.700000000000000e-01 -2.699999998735795e-01  1.199999999996303e+00  1.199999999535564e+00 -4.664194377945741e-12  2.600735108138930e-14  5.548618226725902e-12  6.143541339342075e-08 -8.636409097678051e-10 -8.691635306271415e-10  0.000000000000000e+00 -6.985740397060905e-10 
-2.600000000000000e-01 -2.599999998774720e-01  1.199999999995986e+00  1.199999999545955e+00 -4.520587897072215e-12  2.823765536330942e-14  5.424481630334579e-12  4.456700730814262e-08 -8.636431406221952e-10 -8.690393903457536e-10  0.000000000000000e+00 -6.980481825704768e-10 
-2.500000000000000e-01 -2.499999998812663e-01  1.199999999995612e+00  1.199999999554008e+00 -4.380597447284362e-12  3.086671726753611e-14  5.328277168922692e-12  3.234437456934711e-08 -8.636457704629848e-10 -8.689431877859464e-10  0.000000000000000e+00 -6.975300276070965e-10 
-2.400000000000000e-01 -2.399999998849644e-01  1.199999999995171e+00  1.199999999559329e+00 -4.244162313260524e-12  3.396591934447529e-14  5.264697708083169e-12  2.348972130439327e-08 -8.636488686791129e-10 -8.688796084358284e-10  0.000000000000000e+00 -6.970197274716153e-10 
-2.300000000000000e-01 -2.299999998885678e-01  1.199999999994651e+00  1.199999999561396e+00 -4.111212238699924e-12  3.762211906583308e-14  5.240003253879094e-12  1.707601529949743e-08 -8.636525254762002e-10 -8.688549146471478e-10  0.000000000000000e+00 -6.965165882746430e-10 
-2.200000000000000e-01 -2.199999998920785e-01  1.199999999994037e+00  1.199999999559517e+00 -3.981689977727854e-12  4.194077938984321e-14  5.262454402592195e-12  1.243099656989254e-08 -8.636568449376554e-10 -8.688773654383739e-10  0.000000000000000e+00 -6.960207765496332e-10 
-2.100000000000000e-01 -2.099999998954979e-01  1.199999999993311e+00  1.199999999552786e+00 -3.855531345575702e-12  4.704980367544457e-14  5.342872564407944e-12  9.067322469559907e-09 -8.636619536982921e-10 -8.689577837492733e-10  0.000000000000000e+00 -6.955320841297688e-10 
-2.000000000000000e-01 -1.999999998988280e-01  1.199999999992450e+00  1.199999999540022e+00 -3.732672591155728e-12  5.310426690861627e-14  5.495363946543795e-12  6.631793715502699e-09 -8.636680078832233e-10 -8.691102763511525e-10  0.000000000000000e+00 -6.950503306038084e-10 
-1.899999999999999e-01 -1.899999999020702e-01  1.199999999991428e+00  1.199999999519691e+00 -3.613050397061057e-12  6.029223444097870e-14  5.738255964049926e-12  4.868482443835146e-09 -8.636751965773078e-10 -8.693531653933648e-10  0.000000000000000e+00 -6.945754465828128e-10 
-1.799999999999999e-01 -1.799999999052265e-01  1.199999999990212e+00  1.199999999489805e+00 -3.496602746927424e-12  6.884194923020436e-14  6.095307099577164e-12  3.591973571559598e-09 -8.636837452945974e-10 -8.697102183222547e-10  0.000000000000000e+00 -6.941071822666015e-10 
