role	private_artifact	private_bytes	private_sha256	public_artifact	public_bytes	public_sha256	publication_transform
candidate_v3	p1_cml_div2_front_nobleed.spice	4890	d5900dae655f376e6c2aeeebe18d7753f3c36c73283ca859586e57f25dcedd52	p1_cml_div2_front_nobleed.spice	4890	d5900dae655f376e6c2aeeebe18d7753f3c36c73283ca859586e57f25dcedd52	verbatim
deck	tb_p1_cml_div2_front_dc_op_nobleed.cir	1771	3f9db89a2a49257b0b07ba23d72adfd90b7cb972825eb076727d73c84853fc60	tb_p1_cml_div2_front_dc_op_nobleed.public.cir	1480	e308cb64f30fdbb8a6897833c57b703874e2b49aaeac7f346e0983e2581b7ade	paths_only
native_log	evidence/tb_p1_cml_div2_front_dc_op_nobleed.log	1030	e0c836029bf8cfccff5e82be572c27a08235c4b8de6abee7ef929b427e24cd84	evidence/tb_p1_cml_div2_front_dc_op_nobleed.log	1030	e0c836029bf8cfccff5e82be572c27a08235c4b8de6abee7ef929b427e24cd84	verbatim
native_raw	raw_tb_p1_cml_div2_front_dc_op_nobleed.raw	18682	514ce90fd56e265b553a366ae995f7c78e70f146c63e554ac21fc6be586b5a4c	raw_tb_p1_cml_div2_front_dc_op_nobleed.raw	18682	514ce90fd56e265b553a366ae995f7c78e70f146c63e554ac21fc6be586b5a4c	verbatim
openada_result	openada-result.json	7831	befe8f52eb848c7243a65d8d665654dbbca5030392978d983abc2f2e0d6b7076	openada-result.public.json	6735	47aecc94ac3cb1059c1acb5c494eaaabd8dae11ae7fa936356017d92f0b7428c	paths_only
preflight	preflight.json	2241	14683eb79e3bdedf0b3e2ea4dd36f1cf9a2663f0145246dff255e712cb72642f	preflight.public.json	2155	35932de42b6cfd30793226562fcec9ba31e482ee0d4a66af6caf07be6223c5e0	paths_only
control	evidence/tb_p1_cml_div2_front_dc_op_nobleed.openada-control.sp	184	6a9b95aeae49968f6777bd2d81302bfee014c6d7ccc045aadd7b54d91ea1e833	evidence/tb_p1_cml_div2_front_dc_op_nobleed.openada-control.public.sp	95	93382ac696a7d59ff06c35f2fd07adb0251ed1722e7081a20fe6dd717ef6a153	paths_only
two_source_manifest	TWO-SOURCE-NETLIST-MANIFEST.tsv	11360	6a6d387f4b199a525047e90c6e89039e14e8d77863c2e961bb03da488052c117	TWO-SOURCE-NETLIST-MANIFEST.tsv	11360	6a6d387f4b199a525047e90c6e89039e14e8d77863c2e961bb03da488052c117	verbatim
clock_tail_audit	CLOCK-TAIL-HBT-AUDIT.tsv	2146	434743abdc93dd1089a66341e7bfde0a901e081e5cd2dfb1e661273415bae36c	CLOCK-TAIL-HBT-AUDIT.tsv	2146	434743abdc93dd1089a66341e7bfde0a901e081e5cd2dfb1e661273415bae36c	verbatim
baseline_candidate_v2	../../candidate/custom-cml-div2-v2/p1_cml_div2_front.spice	5194	64226d8548e664d3a26247817926b1f5bfc5a0cf0552d342861b21c03ef78652	../../candidate/custom-cml-div2-v2/p1_cml_div2_front.spice	5194	64226d8548e664d3a26247817926b1f5bfc5a0cf0552d342861b21c03ef78652	retained_external_reference
baseline_savecurrents_raw	../custom-cml-div2-op-savecurrents-v1/raw_tb_p1_cml_div2_front_dc_op_savecurr.raw	19819	3fa949247867fc037c1c2819241f87edff0be22c57e0a8c1aedfa42c96a9458b	../custom-cml-div2-op-savecurrents-v1/raw_tb_p1_cml_div2_front_dc_op_savecurr.raw	19819	3fa949247867fc037c1c2819241f87edff0be22c57e0a8c1aedfa42c96a9458b	retained_external_reference
