 time                   v(vdd)                 v(vdda)                i(vcored)              i(vcorea)              i(vpadd)               i(vpada)              
 0.000000000000000e+00  1.199999999233949e+00  3.299999999165389e+00  8.259911655915645e-10  9.564822695163627e-11  7.061121674990530e-10  1.573574755107546e-09 
 1.000000000000000e-11  1.199999999233948e+00  3.299999999165388e+00  8.259886253711883e-10  9.568855905340251e-11  7.061830974577461e-10  1.573632122631946e-09 
 2.000000000000000e-11  1.199999999233948e+00  3.299999999165387e+00  8.259882487470915e-10  9.570886422766740e-11  7.061834740818430e-10  1.573611817457682e-09 
 4.000000000000000e-11  1.199999999233947e+00  3.299999999165391e+00  8.259890725325820e-10  9.573518936688312e-11  7.061258068774916e-10  1.573187588386440e-09 
 8.000000000000001e-11  1.199999999233947e+00  3.299999999165393e+00  8.259908381923187e-10  9.576277699673995e-11  7.061240412177550e-10  1.573529482979179e-09 
 1.600000000000000e-10  1.199999999233947e+00  3.299999999165385e+00  8.259926138079492e-10  9.578678573272960e-11  7.061045020337304e-10  1.573633371935626e-09 
 3.200000000000000e-10  1.199999999233948e+00  3.299999999165364e+00  8.259917952021686e-10  9.579867510678646e-11  7.061106497100292e-10  1.573621482561569e-09 
 6.400000000000001e-10  1.199999999233948e+00  3.299999999165338e+00  8.259911685901557e-10  9.579898261894229e-11  7.061130526788815e-10  1.573578542485267e-09 
 1.280000000000000e-09  1.199999999233949e+00  3.299999999165322e+00  8.259906462714773e-10  9.579643120829712e-11  7.061117986407205e-10  1.573549119472803e-09 
 2.280000000000000e-09  1.199999999233949e+00  3.299999999165316e+00  8.259908169913560e-10  9.579535760246607e-11  7.061116279208418e-10  1.573567956647029e-09 
 3.280000000000000e-09  1.199999999233949e+00  3.299999999165318e+00  8.259915529444022e-10  9.579504621524704e-11  7.061100037893760e-10  1.573562938963729e-09 
 4.280000000000000e-09  1.199999999233949e+00  3.299999999165320e+00  8.259915559814286e-10  9.579504340653640e-11  7.061100007523496e-10  1.573562941772440e-09 
