artifact	source_sha256	source_bytes	publication
p1_noise_amp.sch	8bc1d588bced233fa8c57d9ab8623456d09a981471761f50b558268c8d915107	8432	exact
p1_noise_amp.sym	72b8c8eca3bba0d22907d216b49055df189e4f3dc576a7bd60b63d54e1866132	911	exact
p1_noise_amp_hier.sch	892d5bfcd3901a81148657becced931963b5db103fd7de5bf7ee9c5db549e63e	510	exact
p1_noise_amp_hier.spice	186d52fd57d734dabd150514be417a5d408f6c10d89bf10c48694043aff8a934	2623	path_comments_sanitized
openada-netlist-result.json	5f2c837d59be379081053502483d54b0afc13bef916cbd3da5adbffc7657c925	2231	public_projection
xschemrc	d6d8fa5157ad2072e6d1ce63bda5f5d593ef4eb84631f23eed5e9ae3886f18b5	19794	reused_from_comparator_package
