 frequency                ac_re                    ac_im                   
 1.00000000000000000e+00  9.49543452942075031e-11  1.56483114528824126e-12 
 1.02329299228075410e+00  9.49543437687900353e-11  1.60128074507728889e-12 
 1.04712854805089939e+00  9.49543421714720641e-11  1.63857936511269248e-12 
 1.07151930523760619e+00  9.49543404988636483e-11  1.67674678161682397e-12 
 1.09647819614318465e+00  9.49543387474487532e-11  1.71580323145910268e-12 
 1.12201845430196312e+00  9.49543369134793719e-11  1.75576942288600784e-12 
 1.14815362149688238e+00  9.49543349930910198e-11  1.79666654650176220e-12 
 1.17489755493952908e+00  9.49543329821898251e-11  1.83851628650227680e-12 
 1.20226443461741250e+00  9.49543308765121369e-11  1.88134083217321678e-12 
 1.23026877081238117e+00  9.49543286715915419e-11  1.92516288965606878e-12 
 1.25892541179416684e+00  9.49543263627638271e-11  1.97000569398589041e-12 
 1.28824955169313360e+00  9.49543239451351851e-11  2.01589302141142710e-12 
 1.31825673855640679e+00  9.49543214135608111e-11  2.06284920200000860e-12 
 1.34896288259165331e+00  9.49543187626731301e-11  2.11089913254097198e-12 
 1.38038426460288455e+00  9.49543159868586359e-11  2.16006828974317319e-12 
 1.41253754462275394e+00  9.49543130802108971e-11  2.21038274374452991e-12 
 1.44543977074592700e+00  9.49543100365880975e-11  2.26186917193482354e-12 
 1.47910838816820678e+00  9.49543068495158430e-11  2.31455487310011765e-12 
 1.51356124843620754e+00  9.49543035122647089e-11  2.36846778189635081e-12 
 1.54881661891248057e+00  9.49543000177142730e-11  2.42363648366044000e-12 
 1.58489319246111271e+00  9.49542963584703159e-11  2.48009022956993894e-12 
 1.62181009735892911e+00  9.49542925267730563e-11  2.53785895214689563e-12 
 1.65958690743755977e+00  9.49542885145000460e-11  2.59697328113336598e-12 
 1.69824365246174347e+00  9.49542843131271370e-11  2.65746455972891594e-12 
 1.73780082874937447e+00  9.49542799137412515e-11  2.71936486120999671e-12 
 1.77827941003892165e+00  9.49542753070431215e-11  2.78270700593654061e-12 
 1.81970085860998210e+00  9.49542704832126657e-11  2.84752457875082644e-12 
 1.86208713666286596e+00  9.49542654320663084e-11  2.91385194678945200e-12 
 1.90546071796324568e+00  9.49542601428540103e-11  2.98172427769983996e-12 
 1.94984459975804381e+00  9.49542546043745570e-11  3.05117755829101680e-12 
 1.99526231496887796e+00  9.49542488048655952e-11  3.12224861361126379e-12 
 2.04173794466952740e+00  9.49542427320285519e-11  3.19497512647419680e-12 
 2.08929613085403743e+00  9.49542363730084716e-11  3.26939565744190537e-12 
 2.13796208950222999e+00  9.49542297142891198e-11  3.34554966526287637e-12 
 2.18776162394955032e+00  9.49542227417456637e-11  3.42347752780091075e-12 
 2.23872113856833721e+00  9.49542154405880105e-11  3.50322056343983713e-12 
 2.29086765276777049e+00  9.49542077953669080e-11  3.58482105299391062e-12 
 2.34422881531991933e+00  9.49541997898193132e-11  3.66832226212168357e-12 
 2.39883291901948770e+00  9.49541914069793382e-11  3.75376846426973393e-12 
 2.45470891568502747e+00  9.49541826290651847e-11  3.84120496414587643e-12 
 2.51188643150957702e+00  9.49541734374766627e-11  3.93067812173983816e-12 
 2.57039578276886038e+00  9.49541638126816081e-11  4.02223537690418733e-12 
 2.63026799189537819e+00  9.49541537343097677e-11  4.11592527450757420e-12 
 2.69153480392691202e+00  9.49541431809412479e-11  4.21179749017404879e-12 
 2.75422870333816272e+00  9.49541321302118767e-11  4.30990285662065959e-12 
 2.81838293126444972e+00  9.49541205586810614e-11  4.41029339061219690e-12 
 2.88403150312660150e+00  9.49541084417887242e-11  4.51302232053926842e-12 
 2.95120922666638119e+00  9.49540957538540088e-11  4.61814411463901344e-12 
 3.01995172040201165e+00  9.49540824679532203e-11  4.72571450987983296e-12 
 3.09029543251358563e+00  9.49540685559062799e-11  4.83579054150779008e-12 
 3.16227766016837419e+00  9.49540539882147377e-11  4.94843057329354829e-12 
 3.23593656929627738e+00  9.49540387339477258e-11  5.06369432847122697e-12 
 3.31131121482590540e+00  9.49540227607859534e-11  5.18164292141205501e-12 
 3.38844156139201980e+00  9.49540060348254070e-11  5.30233889001941642e-12 
 3.46736850452531042e+00  9.49539885206208284e-11  5.42584622889595262e-12 
 3.54813389233574838e+00  9.49539701809734404e-11  5.55223042326582262e-12 
 3.63078054770100689e+00  9.49539509769968102e-11  5.68155848370153837e-12 
 3.71535229097171849e+00  9.49539308679710077e-11  5.81389898165449668e-12 
 3.80189396320560480e+00  9.49539098112493921e-11  5.94932208580880130e-12 
 3.89045144994279868e+00  9.49538877621344836e-11  6.08789959928603096e-12 
 3.98107170553496470e+00  9.49538646738809617e-11  6.22970499771851799e-12 
 4.07380277804111923e+00  9.49538404975224223e-11  6.37481346820779417e-12 
 4.16869383470334576e+00  9.49538151817680841e-11  6.52330194918458914e-12 
 4.26579518801591817e+00  9.49537886729271527e-11  6.67524917120804068e-12 
 4.36515832240165125e+00  9.49537609147373879e-11  6.83073569870524785e-12 
 4.46683592150962205e+00  9.49537318483633971e-11  6.98984397269412853e-12 
 4.57088189614874096e+00  9.49537014121178761e-11  7.15265835448539393e-12 
 4.67735141287197198e+00  9.49536695414679674e-11  7.31926517042227931e-12 
 4.78630092322637335e+00  9.49536361687994108e-11  7.48975275764542930e-12 
 4.89778819368445184e+00  9.49536012233356346e-11  7.66421151092862036e-12 
 5.01187233627271223e+00  9.49535646309236708e-11  7.84273393061162830e-12 
 5.12861383991363784e+00  9.49535263139529883e-11  8.02541467164697220e-12 
 5.24807460249771474e+00  9.49534861911965189e-11  8.21235059378465190e-12 
 5.37031796370251602e+00  9.49534441774896078e-11  8.40364081292317154e-12 
 5.49540873857623335e+00  9.49534001837491424e-11  8.59938675367006903e-12 
 5.62341325190347785e+00  9.49533541166327537e-11  8.79969220311413598e-12 
 5.75439937337155616e+00  9.49533058784619919e-11  9.00466336586076177e-12 
 5.88843655355587625e+00  9.49532553668683963e-11  9.21440892032912868e-12 
 6.02559586074356357e+00  9.49532024747545668e-11  9.42904007639380178e-12 
 6.16595001861480707e+00  9.49531470898804177e-11  9.64867063433339983e-12 
 6.30957344480191740e+00  9.49530890948499949e-11  9.87341704518429711e-12 
 6.45654229034653948e+00  9.49530283665863712e-11  1.01033984724640911e-11 
 6.60693448007594419e+00  9.49529647762572003e-11  1.03387368553707151e-11 
 6.76082975391980145e+00  9.49528981890272343e-11  1.05795569734355923e-11 
 6.91830970918934796e+00  9.49528284636368238e-11  1.08259865126738251e-11 
