 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 0.000000000000000e+00  6.190214247339968e-01  6.225625131388383e-01  7.500000009310882e-01  7.500000009298147e-01  0.000000000000000e+00 
 2.000000000000000e-12  6.190214247339899e-01  6.225625131388324e-01  7.500000009310881e-01  7.500000009298150e-01  0.000000000000000e+00 
 4.000000000000001e-12  6.190214247339767e-01  6.225625131388252e-01  7.500000009310880e-01  7.500000009298153e-01  0.000000000000000e+00 
 8.000000000000001e-12  6.190214247339509e-01  6.225625131388220e-01  7.500000009310881e-01  7.500000009298156e-01  0.000000000000000e+00 
 1.600000000000000e-11  6.190214247338873e-01  6.225625131388014e-01  7.500000009310884e-01  7.500000009298157e-01  0.000000000000000e+00 
 3.200000000000001e-11  6.190214247337849e-01  6.225625131387508e-01  7.500000009310893e-01  7.500000009298158e-01  0.000000000000000e+00 
 6.400000000000001e-11  6.190214247336614e-01  6.225625131388312e-01  7.500000009310895e-01  7.500000009298164e-01  0.000000000000000e+00 
 1.280000000000000e-10  6.190214247331534e-01  6.225625131390756e-01  7.500000009310911e-01  7.500000009298171e-01  0.000000000000000e+00 
 2.560000000000000e-10  6.190214246998822e-01  6.225625131727301e-01  7.500000009310949e-01  7.500000009298216e-01  0.000000000000000e+00 
 4.560000000000001e-10  6.190214248281392e-01  6.225625130434576e-01  7.500000009310834e-01  7.500000009298083e-01  0.000000000000000e+00 
 6.560000000000001e-10  6.190214245345591e-01  6.225625133400160e-01  7.500000009311091e-01  7.500000009298389e-01  0.000000000000000e+00 
 8.560000000000001e-10  6.190214251661892e-01  6.225625127016359e-01  7.500000009310647e-01  7.500000009297735e-01  0.000000000000000e+00 
 1.056000000000000e-09  6.190214237988302e-01  6.225625140831518e-01  7.500000009311737e-01  7.500000009299148e-01  0.000000000000000e+00 
 1.256000000000000e-09  6.190214267569774e-01  6.225625110945463e-01  7.500000009309506e-01  7.500000009296076e-01  0.000000000000000e+00 
 1.456000000000000e-09  6.190214203579695e-01  6.225625175594203e-01  7.500000009314404e-01  7.500000009302727e-01  0.000000000000000e+00 
