 time                   v(gate_core)           v(xg.n_34)             v(xg.n_35)             v(trip_d)             
 0.000000000000000e+00  1.673331652751182e-07  1.862210952877804e-09  3.299999989536859e+00  0.000000000000000e+00 
 1.000000000000000e-11  1.673331576717250e-07  1.862207721359255e-09  3.299999989536857e+00  0.000000000000000e+00 
 1.125000000000000e-11  1.673331680236874e-07  1.862208720559977e-09  3.299999989536861e+00  0.000000000000000e+00 
 1.375000000000000e-11  1.673331720942160e-07  1.862203419245034e-09  3.299999989536860e+00  0.000000000000000e+00 
 1.875000000000000e-11  1.673331757275943e-07  1.862197555879685e-09  3.299999989536861e+00  0.000000000000000e+00 
 2.000000000000000e-11  1.673331921944569e-07  1.862198353852484e-09  3.299999989536861e+00  0.000000000000000e+00 
 2.250000000000000e-11  1.673331765420470e-07  1.862197493429640e-09  3.299999989536858e+00  0.000000000000000e+00 
 2.750000000000000e-11  1.673331555098259e-07  1.862196355451040e-09  3.299999989536853e+00  0.000000000000000e+00 
 3.750000000000000e-11  1.673331619417469e-07  1.862208290348555e-09  3.299999989536856e+00  0.000000000000000e+00 
 5.750000000000000e-11  1.673331659962293e-07  1.862211350400766e-09  3.299999989536850e+00  0.000000000000000e+00 
 9.750000000000000e-11  1.673331679170019e-07  1.862222008541803e-09  3.299999989536865e+00  0.000000000000000e+00 
 1.775000000000000e-10  1.673331656239143e-07  1.862205976227438e-09  3.299999989536820e+00  0.000000000000000e+00 
 2.775000000000000e-10  1.673331687074937e-07  1.862220117693214e-09  3.299999989536807e+00  0.000000000000000e+00 
 3.775000000000000e-10  1.673331612052483e-07  1.862211176928419e-09  3.299999989536820e+00  0.000000000000000e+00 
 3.900000000000000e-10  1.673331625194098e-07  1.862203106994809e-09  3.299999989536820e+00  0.000000000000000e+00 
 4.150000000000001e-10  1.673331652539845e-07  1.862217581527492e-09  3.299999989536850e+00  0.000000000000000e+00 
 4.212500000000001e-10  1.673331645516384e-07  1.862207062164334e-09  3.299999989536840e+00  0.000000000000000e+00 
 4.337500000000001e-10  1.673331699431589e-07  1.862208449943115e-09  3.299999989536842e+00  0.000000000000000e+00 
 4.587500000000001e-10  1.673331655824978e-07  1.862224138782231e-09  3.299999989536877e+00  0.000000000000000e+00 
 4.650000000000002e-10  1.673331670067058e-07  1.862220613824128e-09  3.299999989536871e+00  0.000000000000000e+00 
 4.775000000000002e-10  1.673331719511013e-07  1.862216610082346e-09  3.299999989536863e+00  0.000000000000000e+00 
 5.025000000000002e-10  1.673331619599615e-07  1.862224478788033e-09  3.299999989536884e+00  0.000000000000000e+00 
 5.087500000000001e-10  1.673331609759396e-07  1.862217879899930e-09  3.299999989536876e+00  0.000000000000000e+00 
 5.212500000000001e-10  1.673331711236382e-07  1.862214986381172e-09  3.299999989536869e+00  0.000000000000000e+00 
 5.462500000000002e-10  1.673331692043836e-07  1.862224076332186e-09  3.299999989536887e+00  0.000000000000000e+00 
 5.962500000000002e-10  1.673331627106631e-07  1.862219170534196e-09  3.299999989536911e+00  0.000000000000000e+00 
 6.962500000000002e-10  1.673331665625081e-07  1.862210382425067e-09  3.299999989536933e+00  0.000000000000000e+00 
 7.962500000000001e-10  1.673331656093860e-07  1.862211312236850e-09  3.299999989536948e+00  0.000000000000000e+00 
 8.087500000000001e-10  1.673331649159303e-07  1.862207305025620e-09  3.299999989536940e+00  0.000000000000000e+00 
 8.337500000000001e-10  1.673331695372336e-07  1.862217796633203e-09  3.299999989536950e+00  0.000000000000000e+00 
 8.837500000000002e-10  1.673331676561429e-07  1.862213737380269e-09  3.299999989536957e+00  0.000000000000000e+00 
 9.837500000000002e-10  1.673331642250767e-07  1.862213138900670e-09  3.299999989536952e+00  0.000000000000000e+00 
 9.962500000000002e-10  1.673331664572321e-07  1.862202315960904e-09  3.299999989536938e+00  0.000000000000000e+00 
 1.021250000000000e-09  1.673331642129336e-07  1.862216221504287e-09  3.299999989536953e+00  0.000000000000000e+00 
 1.071250000000000e-09  1.673331685824852e-07  1.862217956227763e-09  3.299999989536964e+00  0.000000000000000e+00 
 1.083750000000000e-09  1.673331705750319e-07  1.862210441405665e-09  3.299999989536939e+00  0.000000000000000e+00 
 1.108750000000000e-09  1.673331638787825e-07  1.862219822790223e-09  3.299999989536948e+00  0.000000000000000e+00 
 1.158750000000000e-09  1.673331676476861e-07  1.862217050702109e-09  3.299999989536962e+00  0.000000000000000e+00 
 1.258750000000000e-09  1.673331650657670e-07  1.862214509332216e-09  3.299999989536968e+00  0.000000000000000e+00 
 1.271250000000000e-09  1.673331654777638e-07  1.862198159563455e-09  3.299999989536940e+00  0.000000000000000e+00 
 1.296250000000000e-09  1.673331656516699e-07  1.862213473702301e-09  3.299999989536955e+00  0.000000000000000e+00 
 1.346250000000000e-09  1.673331646117032e-07  1.862214951686703e-09  3.299999989536965e+00  0.000000000000000e+00 
 1.358750000000000e-09  1.673331646656964e-07  1.862201587377044e-09  3.299999989536940e+00  0.000000000000000e+00 
 1.383750000000000e-09  1.673331634630994e-07  1.862214799031037e-09  3.299999989536955e+00  0.000000000000000e+00 
 1.433750000000000e-09  1.673331662909155e-07  1.862215149445179e-09  3.299999989536965e+00  0.000000000000000e+00 
 1.533750000000000e-09  1.673331666029489e-07  1.862214242184801e-09  3.299999989536960e+00  0.000000000000000e+00 
 1.633750000000000e-09  1.673331617855133e-07  1.862208274736044e-09  3.299999989536955e+00  0.000000000000000e+00 
 1.733750000000000e-09  1.673331614709863e-07  1.862207272065874e-09  3.299999989536941e+00  0.000000000000000e+00 
 1.746250000000000e-09  1.673331653717289e-07  1.862210108338758e-09  3.299999989536933e+00  0.000000000000000e+00 
 1.771250000000000e-09  1.673331710841733e-07  1.862221966908439e-09  3.299999989536947e+00  0.000000000000000e+00 
 1.821250000000000e-09  1.673331655764262e-07  1.862217109682707e-09  3.299999989536957e+00  0.000000000000000e+00 
