arm	signal	kind	ordinal	direction	i	j	t_i	t_j	v_i	v_j	t_cross
LOADED	IN	CROSS	9	NEG	1863	1864	3.7111186111768473e-09	3.7131186111768475e-09	0.004032649396865207	-0.013874033292510468	3.7115690183758602e-09
LOADED	IN	CROSS	10	POS	1963	1964	3.911118611176829e-09	3.913118611176829e-09	-0.003299784225508917	0.014614112276725821	3.9114870161438995e-09
LOADED	OUT	CROSS	1	NEG	1066	1067	2.117118611176688e-09	2.1191186111766882e-09	0.06540726815177855	-0.10138534896800899	2.1179029057010053e-09
LOADED	OUT	CROSS	2	POS	1075	1076	2.13511861117669e-09	2.13711861117669e-09	-0.06472962005169713	0.1270499998954211	2.1357936528737124e-09
LOADED	OUT	CROSS	3	NEG	1084	1085	2.1531186111766916e-09	2.155118611176692e-09	0.051108358622259376	-0.14723983141031982	2.153633950980033e-09
LOADED	OUT	CROSS	4	POS	1170	1171	2.325118611176709e-09	2.327118611176709e-09	-0.07820787481161884	0.12565383647549422	2.32588587516481e-09
LOADED	OUT	CROSS	5	NEG	1179	1180	2.3431186111767106e-09	2.345118611176711e-09	0.10468367624072283	-0.11134243241746211	2.3440877873276026e-09
LOADED	OUT	CROSS	6	POS	1266	1267	2.517118611176728e-09	2.5191186111767282e-09	-0.06486394285061836	0.10206011087779765	2.51789577829437e-09
LOADED	OUT	CROSS	7	NEG	1275	1276	2.53511861117673e-09	2.53711861117673e-09	0.06422430515267519	-0.12758942407841167	2.5357882640259824e-09
LOADED	OUT	CROSS	8	POS	1284	1285	2.5531186111767316e-09	2.555118611176732e-09	-0.051073211930200424	0.14740518840999628	2.5536332587337722e-09
LOADED	OUT	CROSS	9	NEG	1370	1371	2.725118611176749e-09	2.727118611176749e-09	0.077778583163304	-0.12629633573268384	2.7258808663679707e-09
LOADED	OUT	CROSS	10	POS	1379	1380	2.7431186111767506e-09	2.745118611176751e-09	-0.10413109288792843	0.11218330391820341	2.7440813866038645e-09
LOADED	OUT	CROSS	11	NEG	1466	1467	2.917118611176768e-09	2.919118611176768e-09	0.06411009491904096	-0.1029257779416668	2.9178862318539443e-09
LOADED	OUT	CROSS	12	POS	1475	1476	2.9351186111767698e-09	2.93711861117677e-09	-0.06343792349171973	0.1285309777749568	2.9357795299305174e-09
LOADED	OUT	CROSS	13	NEG	1484	1485	2.9531186111767716e-09	2.9551186111767718e-09	0.05136767372287143	-0.14742649353321857	2.953635403740979e-09
LOADED	OUT	CROSS	14	POS	1493	1494	2.9711186111767734e-09	2.9731186111767736e-09	-0.034129123153679775	0.04132733462650551	2.972023215611111e-09
LOADED	OUT	CROSS	15	NEG	1570	1571	3.1251186111767888e-09	3.127118611176789e-09	0.07735083546520016	-0.12691989935144	3.125875947615948e-09
LOADED	OUT	CROSS	16	POS	1579	1580	3.1431186111767906e-09	3.1451186111767908e-09	-0.10375226317233954	0.11281140399418566	3.1440767798717505e-09
LOADED	OUT	CROSS	17	NEG	1589	1590	3.1631186111767926e-09	3.1651186111767928e-09	0.03572293442571195	-0.007265897983125935	3.164780574641442e-09
LOADED	OUT	CROSS	18	POS	1666	1667	3.317118611176808e-09	3.319118611176808e-09	-0.06463693120191483	0.10221326861114077	3.317893401153378e-09
LOADED	OUT	CROSS	19	NEG	1675	1676	3.3351186111768098e-09	3.33711861117681e-09	0.06414502343514306	-0.12745075273316453	3.335788198207568e-09
LOADED	OUT	CROSS	20	POS	1684	1685	3.3531186111768116e-09	3.3551186111768118e-09	-0.05138686954636884	0.14678435539411572	3.353637221984832e-09
LOADED	OUT	CROSS	21	NEG	1692	1693	3.369118611176813e-09	3.3711186111768134e-09	0.02422022074277619	-0.13446848497676345	3.3694238656765956e-09
LOADED	OUT	CROSS	22	POS	1770	1771	3.5251186111768288e-09	3.527118611176829e-09	-0.07705862099968508	0.12666148974494962	3.525875125796009e-09
LOADED	OUT	CROSS	23	NEG	1779	1780	3.5431186111768306e-09	3.5451186111768308e-09	0.1033937648449863	-0.11237237985891757	3.5440769984621657e-09
LOADED	OUT	CROSS	24	POS	1789	1790	3.5631186111768326e-09	3.5651186111768328e-09	-0.03807303208224022	0.0033653089617564635	3.564956186288337e-09
LOADED	OUT	CROSS	25	NEG	1866	1867	3.717118611176848e-09	3.719118611176848e-09	0.06411089519684898	-0.10258293109449235	3.7178878165712314e-09
LOADED	OUT	CROSS	26	POS	1875	1876	3.735118611176848e-09	3.7371186111768475e-09	-0.06300942650312824	0.12842007965604418	3.735776915403477e-09
LOADED	OUT	CROSS	27	NEG	1884	1885	3.753118611176846e-09	3.7551186111768455e-09	0.050810363056727814	-0.14714463499917474	3.753631963843419e-09
LOADED	OUT	CROSS	28	POS	1891	1892	3.767118611176844e-09	3.769118611176844e-09	-0.17047599121306	0.029569218931273955	3.768822985813858e-09
LOADED	OUT	CROSS	29	NEG	1970	1971	3.925118611176827e-09	3.927118611176827e-09	0.07792487185070951	-0.12591068987010057	3.925883196818242e-09
LOADED	OUT	CROSS	30	POS	1979	1980	3.9431186111768255e-09	3.945118611176825e-09	-0.10370163522033016	0.11210101009506523	3.944079689620222e-09
