arm	signal	kind	ordinal	direction	i	j	t_i	t_j	v_i	v_j	t_cross
UNLOADED	IN	CROSS	1	POS	1091	1092	2.105680765834781e-09	2.107680765834781e-09	-0.27052606810626756	0.006265810851625364	2.1076354913066756e-09
UNLOADED	IN	CROSS	2	NEG	1194	1195	2.3057090533818684e-09	2.3077090533818686e-09	0.2667357329402458	-0.010411674726684694	2.3076339188185374e-09
UNLOADED	IN	CROSS	3	POS	1297	1298	2.5057161601652105e-09	2.5077161601652107e-09	-0.2659222468445708	0.011299287396109747	2.5076346420578454e-09
UNLOADED	IN	CROSS	4	NEG	1401	1402	2.7074766965793902e-09	2.7094766965793904e-09	0.021825711720222074	-0.1902618322053915	2.7076825145290563e-09
UNLOADED	IN	CROSS	5	POS	1503	1504	2.9057885687574504e-09	2.9077885687574506e-09	-0.256533867626624	0.021480688605886922	2.9076340395205864e-09
UNLOADED	IN	CROSS	6	NEG	1606	1607	3.105756920165151e-09	3.107756920165151e-09	0.2604943985697832	-0.01726539956365203	3.107632601241537e-09
UNLOADED	IN	CROSS	7	POS	1710	1711	3.307490683018426e-09	3.3094906830184264e-09	-0.019880412604248443	0.19164580475588866	3.307678654163113e-09
UNLOADED	IN	CROSS	8	NEG	1812	1813	3.5059386681140986e-09	3.5079386681140988e-09	0.2357796503780749	-0.03787140197705319	3.5076618820272108e-09
UNLOADED	IN	CROSS	9	POS	1915	1916	3.7064298180673624e-09	3.7084298180673626e-09	-0.1674840173352814	0.08650922060281241	3.707748624967065e-09
UNLOADED	IN	CROSS	10	NEG	2018	2019	3.90581014856489e-09	3.90781014856489e-09	0.2535508490742473	-0.024853398707502805	3.907631606758106e-09
UNLOADED	OUT	CROSS	1	POS	1201	1202	2.318467170846757e-09	2.320467170846757e-09	-0.15771955814733185	0.0346146900345623	2.3201072277751328e-09
UNLOADED	OUT	CROSS	2	NEG	1407	1408	2.7185372912090805e-09	2.7205372912090807e-09	0.1609765060173396	-0.033457061365046226	2.720193142183627e-09
UNLOADED	OUT	CROSS	3	POS	1613	1614	3.118507919423618e-09	3.1205079194236183e-09	-0.15253044755011036	0.039978942604248724	3.1200925740467282e-09
UNLOADED	OUT	CROSS	4	NEG	1819	1820	3.518831199049247e-09	3.5208311990492474e-09	0.12185500976856622	-0.07387798917975452	3.5200763136739992e-09
UNLOADED	OUT	CROSS	5	POS	2025	2026	3.9185972066407946e-09	3.920597206640794e-09	-0.14316470804933523	0.05006693548982932	3.920079000258311e-09
LOADED	IN	CROSS	1	NEG	1063	1064	2.1111186111766874e-09	2.1131186111766876e-09	0.003528998442189124	-0.01436964459329615	2.1115129425721112e-09
LOADED	IN	CROSS	2	POS	1163	1164	2.3111186111767074e-09	2.3131186111767076e-09	-0.0034856543548222874	0.0144168674468661	2.3115080149035606e-09
LOADED	IN	CROSS	3	NEG	1263	1264	2.5111186111767274e-09	2.5131186111767276e-09	0.0035479491675536323	-0.0143579094586328	2.511514900373646e-09
LOADED	IN	CROSS	4	POS	1363	1364	2.7111186111767474e-09	2.7131186111767476e-09	-0.0035511244671884157	0.014349571025512375	2.711515369444451e-09
LOADED	IN	CROSS	5	NEG	1463	1464	2.9111186111767674e-09	2.9131186111767676e-09	0.0035834992129066823	-0.01432339891726242	2.9115188479108862e-09
LOADED	IN	CROSS	6	POS	1563	1564	3.1111186111767874e-09	3.1131186111767876e-09	-0.003613952281694699	0.014295310773972059	3.1115221958771138e-09
LOADED	IN	CROSS	7	NEG	1663	1664	3.3111186111768074e-09	3.3131186111768076e-09	0.0038658563317504058	-0.014044027313220742	3.3115503120642484e-09
LOADED	IN	CROSS	8	POS	1763	1764	3.5111186111768274e-09	3.5131186111768276e-09	-0.0036162930851675323	0.014294240883218734	3.5115224286276695e-09
