corner,sample_phase_ps,N,P1,rho1,se,z
27C,0,650,0.5031,-0.00773,0.0392,-0.20
27C,10,650,0.5031,-0.00773,0.0392,-0.20
27C,20,650,0.5031,-0.00773,0.0392,-0.20
27C,30,650,0.5031,-0.00773,0.0392,-0.20
27C,40,650,0.5031,-0.00773,0.0392,-0.20
27C,50,650,0.5031,-0.00773,0.0392,-0.20
27C,60,650,0.5000,+0.00462,0.0392,+0.12
27C,70,650,0.5000,+0.04154,0.0392,+1.06
27C,80,650,0.4862,+0.09623,0.0392,+2.45
27C,90,650,0.4769,+0.15666,0.0392,+3.99
27C,100,649,0.4792,+0.29474,0.0392,+7.51
27C,110,649,0.4792,+0.41822,0.0392,+10.66
27C,120,649,0.4792,+0.51084,0.0392,+13.02
27C,130,649,0.4730,+0.55974,0.0392,+14.27
27C,140,649,0.4777,+0.52307,0.0392,+13.34
27C,150,649,0.4669,+0.41674,0.0392,+10.62
27C,160,649,0.4530,+0.24631,0.0392,+6.28
27C,170,649,0.4730,+0.12998,0.0392,+3.31
27C,180,649,0.4900,+0.05817,0.0392,+1.48
27C,190,649,0.5008,+0.00308,0.0392,+0.08
-40C,0,650,0.5000,-0.00154,0.0392,-0.04
-40C,10,650,0.5000,-0.00154,0.0392,-0.04
-40C,20,650,0.5000,-0.00154,0.0392,-0.04
-40C,30,650,0.4985,+0.00461,0.0392,+0.12
-40C,40,650,0.4569,+0.23896,0.0392,+6.09
-40C,50,650,0.4538,+0.28156,0.0392,+7.18
-40C,60,650,0.4985,+0.02307,0.0392,+0.59
-40C,70,650,0.5015,-0.00155,0.0392,-0.04
-40C,80,650,0.5015,-0.00155,0.0392,-0.04
-40C,90,650,0.5015,-0.00155,0.0392,-0.04
-40C,100,649,0.5008,-0.00308,0.0392,-0.08
-40C,110,649,0.5008,-0.00308,0.0392,-0.08
-40C,120,649,0.5008,-0.00308,0.0392,-0.08
-40C,130,649,0.5008,-0.00308,0.0392,-0.08
-40C,140,649,0.5008,-0.00308,0.0392,-0.08
-40C,150,649,0.5008,-0.00308,0.0392,-0.08
-40C,160,649,0.5008,-0.00308,0.0392,-0.08
-40C,170,649,0.5008,-0.00308,0.0392,-0.08
-40C,180,649,0.5008,-0.00308,0.0392,-0.08
-40C,190,649,0.5008,-0.00308,0.0392,-0.08
