l_rbias,r_bias_ohm,sample_phase_ps,N,P1,rho1
192u,49.99k,0,291,0.4261,+0.23861
192u,49.99k,10,290,0.4310,+0.30842
192u,49.99k,20,290,0.4207,+0.38908
192u,49.99k,30,290,0.4172,+0.47281
192u,49.99k,40,290,0.4103,+0.47030
192u,49.99k,50,290,0.3966,+0.45016
192u,49.99k,60,290,0.4138,+0.30100
192u,49.99k,70,290,0.4207,+0.24759
192u,49.99k,80,290,0.4517,+0.17571
192u,49.99k,90,290,0.4586,+0.09434
192u,49.99k,100,290,0.4552,+0.05159
192u,49.99k,110,290,0.4621,+0.02593
192u,49.99k,120,290,0.4690,+0.00001
192u,49.99k,130,290,0.4655,+0.01301
192u,49.99k,140,290,0.4621,+0.02593
192u,49.99k,150,290,0.4552,+0.05159
192u,49.99k,160,290,0.4483,+0.07701
192u,49.99k,170,290,0.4448,+0.08963
192u,49.99k,180,290,0.4483,+0.16066
192u,49.99k,190,290,0.4345,+0.21144
100u,26.04k,0,291,0.4364,+0.25685
100u,26.04k,10,290,0.4483,+0.32797
100u,26.04k,20,290,0.4379,+0.38092
100u,26.04k,30,290,0.4414,+0.43786
100u,26.04k,40,290,0.4241,+0.48921
100u,26.04k,50,290,0.4103,+0.45605
100u,26.04k,60,290,0.4241,+0.30567
100u,26.04k,70,290,0.4276,+0.23664
100u,26.04k,80,290,0.4621,+0.13692
100u,26.04k,90,290,0.4586,+0.09434
100u,26.04k,100,290,0.4655,+0.05458
100u,26.04k,110,290,0.4724,+0.00078
100u,26.04k,120,290,0.4759,+0.00145
100u,26.04k,130,290,0.4724,+0.01461
100u,26.04k,140,290,0.4724,+0.04228
100u,26.04k,150,290,0.4690,+0.05540
100u,26.04k,160,290,0.4690,+0.05540
100u,26.04k,170,290,0.4621,+0.10917
100u,26.04k,180,290,0.4621,+0.16466
100u,26.04k,190,290,0.4586,+0.17767
50u,13.02k,0,291,0.4399,+0.21624
50u,13.02k,10,290,0.4379,+0.28286
50u,13.02k,20,290,0.4310,+0.39278
50u,13.02k,30,290,0.4414,+0.42388
50u,13.02k,40,290,0.4207,+0.48813
50u,13.02k,50,290,0.4172,+0.47281
50u,13.02k,60,290,0.4207,+0.30419
50u,13.02k,70,290,0.4310,+0.23811
50u,13.02k,80,290,0.4621,+0.10917
50u,13.02k,90,290,0.4655,+0.06844
50u,13.02k,100,290,0.4724,+0.04228
50u,13.02k,110,290,0.4759,+0.01527
50u,13.02k,120,290,0.4793,+0.00202
50u,13.02k,130,290,0.4759,+0.00145
50u,13.02k,140,290,0.4759,+0.00145
50u,13.02k,150,290,0.4690,+0.02770
50u,13.02k,160,290,0.4655,+0.04072
50u,13.02k,170,290,0.4655,+0.06844
50u,13.02k,180,290,0.4552,+0.13502
50u,13.02k,190,290,0.4552,+0.16283
30u,7.81k,0,291,0.4570,+0.20778
30u,7.81k,10,290,0.4448,+0.31304
30u,7.81k,20,290,0.4345,+0.40792
30u,7.81k,30,290,0.4414,+0.42388
30u,7.81k,40,290,0.4138,+0.47159
30u,7.81k,50,290,0.4276,+0.46206
30u,7.81k,60,290,0.4241,+0.31979
30u,7.81k,70,290,0.4379,+0.26885
30u,7.81k,80,290,0.4655,+0.13774
30u,7.81k,90,290,0.4621,+0.08142
30u,7.81k,100,290,0.4759,+0.02910
30u,7.81k,110,290,0.4724,-0.01306
30u,7.81k,120,290,0.4759,-0.02620
30u,7.81k,130,290,0.4759,-0.02620
30u,7.81k,140,290,0.4759,-0.02620
30u,7.81k,150,290,0.4759,-0.02620
30u,7.81k,160,290,0.4655,+0.01301
30u,7.81k,170,290,0.4724,+0.06995
30u,7.81k,180,290,0.4586,+0.12212
30u,7.81k,190,290,0.4621,+0.19241
19u,4.95k,0,291,0.4639,+0.19560
19u,4.95k,10,290,0.4448,+0.28512
19u,4.95k,20,290,0.4379,+0.36691
19u,4.95k,30,290,0.4414,+0.42388
19u,4.95k,40,290,0.4241,+0.44685
19u,4.95k,50,290,0.4241,+0.44685
19u,4.95k,60,290,0.4310,+0.33654
19u,4.95k,70,290,0.4483,+0.24431
19u,4.95k,80,290,0.4724,+0.13913
19u,4.95k,90,290,0.4621,+0.06755
19u,4.95k,100,290,0.4793,+0.01584
19u,4.95k,110,290,0.4793,-0.01180
19u,4.95k,120,290,0.4828,-0.01131
19u,4.95k,130,290,0.4828,-0.01131
19u,4.95k,140,290,0.4828,-0.01131
19u,4.95k,150,290,0.4793,+0.00202
19u,4.95k,160,290,0.4759,+0.01527
19u,4.95k,170,290,0.4724,+0.05612
19u,4.95k,180,290,0.4690,+0.09694
19u,4.95k,190,290,0.4655,+0.16546
