corner,sample_phase_ps,N,P1,rho1,se,z
27C,0,190,0.4737,+0.02415,0.0725,+0.33
27C,10,190,0.4737,+0.02415,0.0725,+0.33
27C,20,190,0.4684,+0.02306,0.0725,+0.32
27C,30,190,0.4684,+0.02306,0.0725,+0.32
27C,40,190,0.4632,+0.04292,0.0725,+0.59
27C,50,190,0.4632,+0.04292,0.0725,+0.59
27C,60,190,0.4579,+0.06262,0.0725,+0.86
27C,70,190,0.4526,+0.12467,0.0725,+1.72
27C,80,190,0.4474,+0.14420,0.0725,+1.99
27C,90,190,0.4368,+0.18295,0.0725,+2.52
27C,100,189,0.4233,+0.28086,0.0727,+3.86
27C,110,189,0.4286,+0.34788,0.0727,+4.78
27C,120,189,0.4339,+0.37126,0.0727,+5.10
27C,130,189,0.4127,+0.45054,0.0727,+6.19
27C,140,189,0.4127,+0.42871,0.0727,+5.89
27C,150,189,0.4180,+0.25673,0.0727,+3.53
27C,160,189,0.4286,+0.19665,0.0727,+2.70
27C,170,189,0.4550,+0.09944,0.0727,+1.37
27C,180,189,0.4709,+0.03967,0.0727,+0.55
27C,190,189,0.4709,+0.01844,0.0727,+0.25
-40C,0,190,0.4789,-0.08043,0.0725,-1.11
-40C,10,190,0.4789,-0.08043,0.0725,-1.11
-40C,20,190,0.4632,-0.04175,0.0725,-0.58
-40C,30,190,0.4421,+0.14228,0.0725,+1.96
-40C,40,190,0.4158,+0.23790,0.0725,+3.28
-40C,50,190,0.4105,+0.16987,0.0725,+2.34
-40C,60,190,0.4737,+0.02415,0.0725,+0.33
-40C,70,190,0.4842,-0.05862,0.0725,-0.81
-40C,80,190,0.4789,-0.08043,0.0725,-1.11
-40C,90,190,0.4789,-0.08043,0.0725,-1.11
-40C,100,189,0.4815,-0.08576,0.0727,-1.18
-40C,110,189,0.4815,-0.08576,0.0727,-1.18
-40C,120,189,0.4815,-0.08576,0.0727,-1.18
-40C,130,189,0.4815,-0.08576,0.0727,-1.18
-40C,140,189,0.4815,-0.08576,0.0727,-1.18
-40C,150,189,0.4815,-0.08576,0.0727,-1.18
-40C,160,189,0.4815,-0.08576,0.0727,-1.18
-40C,170,189,0.4815,-0.08576,0.0727,-1.18
-40C,180,189,0.4815,-0.08576,0.0727,-1.18
-40C,190,189,0.4815,-0.08576,0.0727,-1.18
