metric	control	experiment	delta	delta_pct
STAGE1 diff pp_V	1.310150092812e+00	1.153711330606e+00	1.564387622059e-01	11.940522
STAGE1 CM mid_V	1.393359033092e+00	1.418804545458e+00	2.544551236566e-02	1.826199
STAGE1 crossings	10	10	NA	NA
STAGE1 same_dir_period_s	3.999993209634e-10	4.000042625680e-10	NA	NA
STAGE1 mean_abs_crossing_slope_Vs	1.391745e+11	9.123610e+09	1.300509e+11	93.444480
