artifact	source_sha256	source_bytes	publication
p1_comparator.sch	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	13194	exact
p1_comparator.sym	c6b0bd8cf7d9329b8c48f0d87639baf2f209d8d81214ea32b163deb4bcaa701d	1489	exact
p1_comparator_hier.sch	9cc163e6b29e58a54bfa96caf7e399088ecb4d572805a3125c181904b41f8ea7	817	exact
p1_comparator_hier.spice	71642f010562713aaef6f9fe7bc0f933b7f53b0cae16e9c6f8c3cd38053cbeeb	4098	path_comments_sanitized
openada-netlist-result.json	509654fec231edcf44561627868adb263e01e030ad5779ea4a7f72f11430d497	2150	public_projection
xschemrc	d6d8fa5157ad2072e6d1ce63bda5f5d593ef4eb84631f23eed5e9ae3886f18b5	19794	exact
