kind	signal	ordinal	direction	i	j	t_i	t_j	v_i	v_j	t_cross	cm_in_at	cm_out_at	n_samples	min	max	p2p
CROSS	OUT	21	NEG	1591	1592	3.162979669103516e-09	3.164979669103516e-09	0.05430466598148587	-0.044775928589070535	3.164075840684174e-09	1.359293207909367	1.4106135581997616	NA	NA	NA	NA
CROSS	OUT	22	POS	1668	1669	3.3168425772920516e-09	3.318842577292052e-09	-0.12410950782264552	0.04549112721609627	3.3183061273288107e-09	1.5329487735773961	1.375280314640249	NA	NA	NA	NA
CROSS	OUT	23	NEG	1677	1678	3.3348425772920534e-09	3.3368425772920536e-09	0.158882429943229	-0.04446692358488469	3.3364052321732873e-09	1.5214986027287947	1.3524680859616656	NA	NA	NA	NA
CROSS	OUT	24	POS	1686	1687	3.352842577292055e-09	3.3548425772920554e-09	-0.1872717127566228	0.026617064941837798	3.3545936903216564e-09	1.4934499616042916	1.3415740805903182	NA	NA	NA	NA
CROSS	OUT	25	NEG	1694	1695	3.3686675058568347e-09	3.370667505856835e-09	0.049868190288628655	-0.14885298205682185	3.3691693969205804e-09	1.2973732354741154	1.4759557085751744	NA	NA	NA	NA
CROSS	OUT	26	POS	1772	1773	3.5246675058568503e-09	3.5266675058568505e-09	-0.17008016078061172	0.04161290919533189	3.526274362054835e-09	1.5341050956320015	1.3579070396315454	NA	NA	NA	NA
CROSS	OUT	27	NEG	1781	1782	3.542667505856852e-09	3.5446675058568523e-09	0.22314042299591286	-0.0030051800657642236	3.5446409284657815e-09	1.5208845635240906	1.3461337058909313	NA	NA	NA	NA
CROSS	OUT	28	POS	1791	1792	3.562667505856854e-09	3.5646675058568543e-09	-0.0815476188572839	0.03416190831416377	3.56407702883825e-09	1.360323085351706	1.409868137985836	NA	NA	NA	NA
CROSS	OUT	29	NEG	1868	1869	3.716492143672591e-09	3.718492143672591e-09	0.1531405349418602	-0.01675443706009916	3.718294910795565e-09	1.5326482341925396	1.3753299438827862	NA	NA	NA	NA
CROSS	OUT	30	POS	1877	1878	3.7344921436725905e-09	3.73649214367259e-09	-0.1927904272609442	0.011135694294402754	3.736382930647702e-09	1.5210974737761813	1.3529684484725435	NA	NA	NA	NA
CROSS	OUT	31	NEG	1887	1888	3.754492143672588e-09	3.756492143672588e-09	0.0064703936083114755	-0.18977439162039555	3.754558085741834e-09	1.4943057675493385	1.3418966570767024	NA	NA	NA	NA
CROSS	OUT	32	POS	1894	1895	3.768355609249869e-09	3.770355609249869e-09	-0.07662622396789387	0.13028705647079142	3.769096269528469e-09	1.305427531412653	1.4753716167179247	NA	NA	NA	NA
CROSS	OUT	33	NEG	1972	1973	3.924355609249852e-09	3.926355609249852e-09	0.19398086529077907	-0.016422211754504756	3.926199506858336e-09	1.5333372208349145	1.3570623748055506	NA	NA	NA	NA
CROSS	OUT	34	POS	1982	1983	3.94435560924985e-09	3.94635560924985e-09	-0.021315172714550412	0.19692217437865644	3.944550948617731e-09	1.5202700747932951	1.3454360796883782	NA	NA	NA	NA
CROSS	OUT	35	NEG	1991	1992	3.962355609249848e-09	3.964153771364372e-09	0.10044633725208874	-0.008420270679597941	3.964014692798247e-09	1.3533076451512736	1.4158368163909458	NA	NA	NA	NA
STAT	IN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1002	-0.6527201182530706	0.6540131470287651	1.3067332652818358
STAT	OUT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1002	-0.612920518600971	0.6157705101546038	1.2286910287555748
STAT	CM_IN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1002	1.2879141750537229	1.5495658107946064	0.26165163574088357
STAT	CM_OUT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1002	1.2982009815664295	1.4909063857950424	0.19270540422861293
