kind	signal	ordinal	direction	i	j	t_i	t_j	v_i	v_j	t_cross	cm_in_at	cm_out_at	n_samples	min	max	p2p
CROSS	IN	1	NEG	1064	1065	2.1105377583896286e-09	2.112537758389629e-09	0.010020941171990039	-0.010474498568125323	2.111515628715814e-09	1.5374422222687083	1.3722230404318694	NA	NA	NA	NA
CROSS	IN	2	POS	1164	1165	2.310157721839375e-09	2.3121577218393752e-09	-0.013910221011024237	0.006703703903236047	2.3115073164526166e-09	1.538389071970357	1.3429244744194515	NA	NA	NA	NA
CROSS	IN	3	NEG	1264	1265	2.509863478357356e-09	2.511863478357356e-09	0.01703011390283149	-0.003673400285929773	2.5115086206986572e-09	1.5401056716530135	1.3715987136856942	NA	NA	NA	NA
CROSS	IN	4	POS	1365	1366	2.7114985790896256e-09	2.7134985790896258e-09	-9.74445969708082e-05	0.020117874589569595	2.711508219758276e-09	1.5403583289763088	1.33833182592028	NA	NA	NA	NA
CROSS	IN	5	NEG	1465	1466	2.911112306451364e-09	2.9131123064513644e-09	0.004134723234447746	-0.016202145298259474	2.911518929843535e-09	1.5382266788071564	1.372301822230458	NA	NA	NA	NA
CROSS	IN	6	POS	1565	1566	3.1109796691035107e-09	3.112979669103511e-09	-0.0055439583305882945	0.014835396508413812	3.1115237450445193e-09	1.5378349403114937	1.3407610336492322	NA	NA	NA	NA
CROSS	IN	7	NEG	1665	1666	3.310842577292051e-09	3.312842577292051e-09	0.007251172821553631	-0.013170394487427295	3.311552725804341e-09	1.5378898913981704	1.3729297677387649	NA	NA	NA	NA
CROSS	IN	8	POS	1765	1766	3.510667505856849e-09	3.512667505856849e-09	-0.008782333242782103	0.011692341890683133	3.5115253786372992e-09	1.5374373280830933	1.34246467190002	NA	NA	NA	NA
CROSS	IN	9	NEG	1865	1866	3.71049214367259e-09	3.7124921436725904e-09	0.011072635326606628	-0.009452240781443244	3.7115710915082136e-09	1.538167049537337	1.3730707512768752	NA	NA	NA	NA
CROSS	IN	10	POS	1965	1966	3.910355609249854e-09	3.9123556092498535e-09	-0.011655169689527956	0.008913926098213398	3.911488879259367e-09	1.5373641352630096	1.3431658475275003	NA	NA	NA	NA
CROSS	OUT	1	NEG	1067	1068	2.1165377583896292e-09	2.1185377583896294e-09	0.14992058048068269	-0.020589204749022372	2.1182962566515178e-09	1.5324976043088039	1.374601425341819	NA	NA	NA	NA
CROSS	OUT	2	POS	1076	1077	2.134537758389631e-09	2.1365377583896312e-09	-0.1905377507748034	0.014305696984221017	2.1363980839490698e-09	1.520416449738276	1.3516401059533742	NA	NA	NA	NA
CROSS	OUT	3	NEG	1086	1087	2.154537758389633e-09	2.1565377583896332e-09	0.0060408012914556775	-0.19125336586397546	2.154598994881097e-09	1.4893575286355722	1.3387176934363192	NA	NA	NA	NA
CROSS	OUT	4	POS	1093	1094	2.168157721839361e-09	2.170157721839361e-09	-0.15767927442210872	0.01662515847041024	2.169966961820301e-09	1.295930804561355	1.4720483429505478	NA	NA	NA	NA
CROSS	OUT	5	NEG	1171	1172	2.3241577218393764e-09	2.3261577218393766e-09	0.20753543709908961	-0.001626748540944245	2.3261421669384184e-09	1.5332259682979477	1.3564654217789618	NA	NA	NA	NA
CROSS	OUT	6	POS	1181	1182	2.3441577218393784e-09	2.3461577218393786e-09	-0.035328275156337074	0.18512251026888138	2.3444782312454866e-09	1.5202057713270913	1.345041365466868	NA	NA	NA	NA
CROSS	OUT	7	NEG	1190	1191	2.3621577218393802e-09	2.3640271422566912e-09	0.10606418412127905	-0.012723955900974637	2.3638268998507927e-09	1.3546249752341624	1.4114380090937024	NA	NA	NA	NA
CROSS	OUT	8	POS	1268	1269	2.5178634783573566e-09	2.519863478357357e-09	-0.019020786128752354	0.14511980274703418	2.5180952404858955e-09	1.5325672318796884	1.3751909603886374	NA	NA	NA	NA
CROSS	OUT	9	NEG	1277	1278	2.5358634783573584e-09	2.5378634783573586e-09	0.02438530423449614	-0.16603409709975958	2.5361196004128173e-09	1.520525462286445	1.3520666000505797	NA	NA	NA	NA
CROSS	OUT	10	POS	1286	1287	2.5538634783573602e-09	2.5558634783573604e-09	-0.03730978980751942	0.16372992791921415	2.554234646703888e-09	1.491722545542486	1.340180779190318	NA	NA	NA	NA
CROSS	OUT	11	NEG	1293	1294	2.567498579089611e-09	2.5694985790896114e-09	0.14126442768832925	-0.06303494390043518	2.568881495019208e-09	1.2965001447252995	1.4744868477428672	NA	NA	NA	NA
CROSS	OUT	12	POS	1372	1373	2.725498579089627e-09	2.727498579089627e-09	-0.056225525794070474	0.15321653408120484	2.7260354867750037e-09	1.533529070378216	1.3569299671726605	NA	NA	NA	NA
CROSS	OUT	13	NEG	1381	1382	2.7434985790896288e-09	2.745498579089629e-09	0.09350179960605565	-0.13270065547141097	2.7443252880621202e-09	1.5206593029390514	1.3455593692769559	NA	NA	NA	NA
CROSS	OUT	14	POS	1391	1392	2.7631123064513494e-09	2.7651123064513496e-09	-0.021937193507433284	0.05212252412693541	2.7637047254939316e-09	1.3607957067401517	1.412470394583899	NA	NA	NA	NA
CROSS	OUT	15	NEG	1468	1469	2.917112306451365e-09	2.919112306451365e-09	0.0943197304139598	-0.07433081770741667	2.9182308291180815e-09	1.5330985194332651	1.3751634469544403	NA	NA	NA	NA
CROSS	OUT	16	POS	1477	1478	2.9351123064513666e-09	2.937112306451367e-09	-0.12102781704369203	0.08041577065179495	2.936313911510413e-09	1.5216022155705031	1.3518318258805124	NA	NA	NA	NA
CROSS	OUT	17	NEG	1486	1487	2.9531123064513684e-09	2.9551123064513686e-09	0.14586758302731195	-0.0669743055725105	2.954482972573408e-09	1.4921601185119269	1.3404585377348412	NA	NA	NA	NA
CROSS	OUT	18	POS	1494	1495	2.9689796691034965e-09	2.9709796691034967e-09	-0.0508807215769167	0.12386472131530346	2.969562010144668e-09	1.2936740623711762	1.4719935628200214	NA	NA	NA	NA
CROSS	OUT	19	NEG	1572	1573	3.124979669103512e-09	3.1269796691035123e-09	0.13152680018263618	-0.08119862290731894	3.1262162566093415e-09	1.5342748043352343	1.3578087894338673	NA	NA	NA	NA
CROSS	OUT	20	POS	1581	1582	3.142979669103514e-09	3.144979669103514e-09	-0.1825097627999721	0.04601743850834428	3.144576938590517e-09	1.5211065759353222	1.3462308708911785	NA	NA	NA	NA
