 time                   v(clk)                 v(xt.icmp)             v(xt.vth_soft)         v(xt.vth_hard)         v(cmp_soft)            v(cmp_hard)            v(isense)              v(shp)                
 0.000000000000000e+00  0.000000000000000e+00  7.494389495975774e-01  8.005235440827058e-01  9.986912474658541e-01  6.169513002889310e-01  6.166595165668876e-01  1.498887966028249e+00  2.500000000000000e-02 
 2.000000000000000e-12  0.000000000000000e+00  7.494389495975780e-01  8.005235440827027e-01  9.986912474658521e-01  6.169513002889240e-01  6.166595165668890e-01  1.498887966028293e+00  2.500000000000000e-02 
 4.000000000000001e-12  0.000000000000000e+00  7.494389495975784e-01  8.005235440827000e-01  9.986912474658501e-01  6.169513002889148e-01  6.166595165668932e-01  1.498887966028334e+00  2.500000000000000e-02 
 8.000000000000001e-12  0.000000000000000e+00  7.494389495975796e-01  8.005235440826944e-01  9.986912474658465e-01  6.169513002888914e-01  6.166595165669015e-01  1.498887966028418e+00  2.500000000000000e-02 
 1.600000000000000e-11  0.000000000000000e+00  7.494389495975839e-01  8.005235440826841e-01  9.986912474658348e-01  6.169513002888684e-01  6.166595165669140e-01  1.498887966028516e+00  2.500000000000000e-02 
 3.200000000000001e-11  0.000000000000000e+00  7.494389495975902e-01  8.005235440826592e-01  9.986912474658303e-01  6.169513002888208e-01  6.166595165669673e-01  1.498887966028559e+00  2.500000000000000e-02 
 6.400000000000001e-11  0.000000000000000e+00  7.494389495975549e-01  8.005235440825988e-01  9.986912474658018e-01  6.169513002884633e-01  6.166595165672533e-01  1.498887966028358e+00  2.500000000000000e-02 
 1.280000000000000e-10  0.000000000000000e+00  7.494389495975057e-01  8.005235440826196e-01  9.986912474656576e-01  6.169513002848813e-01  6.166595165717499e-01  1.498887966027753e+00  2.500000000000000e-02 
 2.560000000000000e-10  0.000000000000000e+00  7.494389495974816e-01  8.005235440827645e-01  9.986912474653408e-01  6.169513003060944e-01  6.166595165448922e-01  1.498887966026921e+00  2.500000000000000e-02 
 5.120000000000001e-10  0.000000000000000e+00  7.494389495974736e-01  8.005235440827940e-01  9.986912474651247e-01  6.169513002565097e-01  6.166595166082993e-01  1.498887966026668e+00  2.500000000000000e-02 
 1.024000000000000e-09  0.000000000000000e+00  7.494389495984669e-01  8.005235440839183e-01  9.986912474659448e-01  6.169513003330040e-01  6.166595165099286e-01  1.498887966029983e+00  2.500000000000000e-02 
 2.024000000000000e-09  0.000000000000000e+00  7.494389496006600e-01  8.005235440866646e-01  9.986912474683106e-01  6.169513002370728e-01  6.166595166333153e-01  1.498887966030305e+00  2.500000000000000e-02 
 3.024000000000000e-09  0.000000000000000e+00  7.494389496024484e-01  8.005235440876951e-01  9.986912474706845e-01  6.169513003498123e-01  6.166595164886687e-01  1.498887966026815e+00  2.500000000000000e-02 
 4.024000000000000e-09  0.000000000000000e+00  7.494389496040873e-01  8.005235440880322e-01  9.986912474732378e-01  6.169513002176971e-01  6.166595166580988e-01  1.498887966026193e+00  2.500000000000000e-02 
 5.024000000000000e-09  0.000000000000000e+00  7.494389496057321e-01  8.005235440881762e-01  9.986912474759145e-01  6.169513003724837e-01  6.166595164593209e-01  1.498887966025944e+00  2.500000000000000e-02 
 6.024000000000000e-09  0.000000000000000e+00  7.494389496072353e-01  8.005235440882320e-01  9.986912474772259e-01  6.169513001910992e-01  6.166595166926232e-01  1.498887966025679e+00  2.500000000000000e-02 
 7.024000000000000e-09  0.000000000000000e+00  7.494389496087173e-01  8.005235440882273e-01  9.986912474790025e-01  6.169513004036538e-01  6.166595164192464e-01  1.498887966025406e+00  2.500000000000000e-02 
 8.024000000000000e-09  0.000000000000000e+00  7.494389496099494e-01  8.005235440882240e-01  9.986912474815085e-01  6.169513001546243e-01  6.166595167396908e-01  1.498887966025115e+00  2.500000000000000e-02 
 9.024000000000000e-09  0.000000000000000e+00  7.494389496112922e-01  8.005235440882520e-01  9.986912474827876e-01  6.169513004466005e-01  6.166595163639166e-01  1.498887966024848e+00  2.500000000000000e-02 
 1.002400000000000e-08  0.000000000000000e+00  7.494389496124252e-01  8.005235440883138e-01  9.986912474832330e-01  6.169513001041060e-01  6.166595168044929e-01  1.498887966024580e+00  2.500000000000000e-02 
