 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 0.000000000000000e+00  8.155401867390540e-08  8.155401867390540e-08  3.829572301337421e-06  3.955393791490663e-06  1.199999972143466e+00  3.299999997139606e+00 -5.720788287533196e-09 -5.571306882501403e-08 
 5.000000000000000e-10  8.155401865720530e-08  8.155401867374007e-08  3.829572300929852e-06  3.955393792210793e-06  1.199999972143467e+00  3.299999997139601e+00 -5.720798057495813e-09 -5.571306616047877e-08 
 1.000000000000000e-09  8.155401866067474e-08  8.155401867361072e-08  3.829572302064199e-06  3.955393791337143e-06  1.199999972143467e+00  3.299999997139599e+00 -5.720803386566331e-09 -5.571306571638956e-08 
 2.000000000000000e-09  8.155401866848100e-08  8.155401867344767e-08  3.829572300257565e-06  3.955393791984412e-06  1.199999972143465e+00  3.299999997139595e+00 -5.720810491993689e-09 -5.571306971319245e-08 
 4.000000000000000e-09  8.155401863595493e-08  8.155401867244154e-08  3.829572301556860e-06  3.955393791749790e-06  1.199999972143467e+00  3.299999997139591e+00 -5.720818485599466e-09 -5.571306571638956e-08 
 8.000000000000000e-09  8.155401868756296e-08  8.155401867236609e-08  3.829572301086174e-06  3.955393791264718e-06  1.199999972143467e+00  3.299999997139583e+00 -5.720835360989440e-09 -5.571306704865719e-08 
 1.600000000000000e-08  8.155401868257563e-08  8.155401867320527e-08  3.829572301389943e-06  3.955393791616976e-06  1.199999972143465e+00  3.299999997139583e+00 -5.720833584632601e-09 -5.571307015728166e-08 
 3.200000000000000e-08  8.155401868496087e-08  8.155401867566202e-08  3.829572301239671e-06  3.955393791627167e-06  1.199999972143470e+00  3.299999997139599e+00 -5.720801610209492e-09 -5.571306083140826e-08 
 6.400000000000000e-08  8.155401868355141e-08  8.155401867927107e-08  3.829572301226876e-06  3.955393791634154e-06  1.199999972143470e+00  3.299999997139587e+00 -5.720825591026824e-09 -5.571306038731905e-08 
 1.140000000000000e-07  8.155401868824058e-08  8.155401868402554e-08  3.829572301220029e-06  3.955393791449134e-06  1.199999972143468e+00  3.299999997139587e+00 -5.720825591026824e-09 -5.571306438412194e-08 
 1.640000000000000e-07  8.155401869200819e-08  8.155401868816949e-08  3.829572301195723e-06  3.955393791562051e-06  1.199999972143467e+00  3.299999997139586e+00 -5.720828255562083e-09 -5.571306571638956e-08 
 2.140000000000000e-07  8.155401869688710e-08  8.155401869248532e-08  3.829572301302848e-06  3.955393791549389e-06  1.199999972143468e+00  3.299999997139587e+00 -5.720825591026824e-09 -5.571306438412194e-08 
 2.640000000000000e-07  8.155401870116969e-08  8.155401869682224e-08  3.829572301289932e-06  3.955393791507749e-06  1.199999972143468e+00  3.299999997139587e+00 -5.720825591026824e-09 -5.571306438412194e-08 
 3.140000000000000e-07  8.155401866745101e-08  8.155401868594113e-08  3.829572301278121e-06  3.955393791495152e-06  1.199999972143468e+00  3.299999997139587e+00 -5.720825591026824e-09 -5.571306394003273e-08 
 3.640000000000000e-07  8.155401868355141e-08  8.155401868280901e-08  3.829572301259925e-06  3.955393791614025e-06  1.199999972143468e+00  3.299999997139588e+00 -5.720823814669984e-09 -5.571306394003273e-08 
 4.140000000000000e-07  8.155401868843032e-08  8.155401868443111e-08  3.829572301369515e-06  3.955393791428491e-06  1.199999972143468e+00  3.299999997139589e+00 -5.720822926491564e-09 -5.571306438412194e-08 
 4.640000000000000e-07  8.155401865376295e-08  8.155401867248826e-08  3.829572301231622e-06  3.955393791550772e-06  1.199999972143468e+00  3.299999997139587e+00 -5.720825591026824e-09 -5.571306394003273e-08 
 5.140000000000001e-07  8.155401867018862e-08  8.155401866917983e-08  3.829572301342733e-06  3.955393791533631e-06  1.199999972143468e+00  3.299999997139588e+00 -5.720824702848404e-09 -5.571306438412194e-08 
 5.640000000000001e-07  8.155401867463385e-08  8.155401867069975e-08  3.829572301213671e-06  3.955393791507227e-06  1.199999972143468e+00  3.299999997139588e+00 -5.720823814669984e-09 -5.571306482821115e-08 
 6.140000000000002e-07  8.155401867888934e-08  8.155401867427957e-08  3.829572301313473e-06  3.955393791472431e-06  1.199999972143468e+00  3.299999997139590e+00 -5.720821150134725e-09 -5.571306438412194e-08 
