Index   time            v(clk_p)        vin_diff        vcml_diff       
--------------------------------------------------------------------------------
33	2.350000e-11	1.500000e+00	1.336043e-02	4.014903e-02	
34	2.450000e-11	1.500000e+00	1.392207e-02	4.259597e-02	
35	2.550000e-11	1.500000e+00	1.448286e-02	4.502418e-02	
36	2.650000e-11	1.500000e+00	1.504275e-02	4.743671e-02	
37	2.750000e-11	1.500000e+00	1.560171e-02	4.983603e-02	
38	2.850000e-11	1.500000e+00	1.615970e-02	5.222410e-02	
39	2.950000e-11	1.500000e+00	1.671671e-02	5.460248e-02	
40	3.050000e-11	1.500000e+00	1.727268e-02	5.697238e-02	
41	3.150000e-11	1.500000e+00	1.782758e-02	5.933475e-02	
42	3.250000e-11	1.500000e+00	1.838139e-02	6.169028e-02	
43	3.350000e-11	1.500000e+00	1.893406e-02	6.403952e-02	
44	3.450000e-11	1.500000e+00	1.948556e-02	6.638284e-02	
45	3.550000e-11	1.500000e+00	2.003586e-02	6.872049e-02	
46	3.650000e-11	1.500000e+00	2.058493e-02	7.105262e-02	
47	3.750000e-11	1.500000e+00	2.113272e-02	7.337931e-02	
48	3.850000e-11	1.500000e+00	2.167922e-02	7.570055e-02	
49	3.950000e-11	1.500000e+00	2.222437e-02	7.801632e-02	
50	4.050000e-11	1.500000e+00	2.276816e-02	8.032652e-02	
51	4.150000e-11	1.500000e+00	2.331054e-02	8.263104e-02	
52	4.250000e-11	1.500000e+00	2.385148e-02	8.492972e-02	
53	4.350000e-11	1.500000e+00	2.439095e-02	8.722241e-02	
54	4.450000e-11	1.500000e+00	2.492891e-02	8.950892e-02	

Index   time            v(clk_p)        vin_diff        vcml_diff       
--------------------------------------------------------------------------------
55	4.550000e-11	1.500000e+00	2.546534e-02	9.178908e-02	
56	4.650000e-11	1.500000e+00	2.600020e-02	9.406265e-02	
57	4.750000e-11	1.500000e+00	2.653345e-02	9.632947e-02	
58	4.850000e-11	1.500000e+00	2.706507e-02	9.858929e-02	
59	4.950000e-11	1.500000e+00	2.759502e-02	1.008419e-01	
60	5.050000e-11	1.500000e+00	2.812326e-02	1.030871e-01	
61	5.150000e-11	1.500000e+00	2.864977e-02	1.053247e-01	
62	5.250000e-11	1.500000e+00	2.917452e-02	1.075545e-01	
63	5.350000e-11	1.500000e+00	2.969746e-02	1.097762e-01	
64	5.450000e-11	1.500000e+00	3.021857e-02	1.119896e-01	
65	5.550000e-11	1.500000e+00	3.073782e-02	1.141946e-01	
66	5.650000e-11	1.500000e+00	3.125517e-02	1.163909e-01	
67	5.750000e-11	1.500000e+00	3.177059e-02	1.185784e-01	
68	5.850000e-11	1.500000e+00	3.228406e-02	1.207567e-01	
69	5.950000e-11	1.500000e+00	3.279553e-02	1.229258e-01	
70	6.050000e-11	1.500000e+00	3.330498e-02	1.250854e-01	
71	6.150000e-11	1.500000e+00	3.381237e-02	1.272354e-01	
72	6.250000e-11	1.500000e+00	3.431768e-02	1.293755e-01	
73	6.350000e-11	1.500000e+00	3.482087e-02	1.315056e-01	
74	6.450000e-11	1.500000e+00	3.532192e-02	1.336255e-01	
75	6.550000e-11	1.500000e+00	3.582078e-02	1.357350e-01	
76	6.650000e-11	1.500000e+00	3.631744e-02	1.378340e-01	
77	6.750000e-11	1.500000e+00	3.681186e-02	1.399222e-01	
78	6.850000e-11	1.500000e+00	3.730400e-02	1.419996e-01	
79	6.950000e-11	1.500000e+00	3.779385e-02	1.440659e-01	
80	7.050000e-11	1.500000e+00	3.828136e-02	1.461211e-01	
81	7.150000e-11	1.500000e+00	3.876651e-02	1.481648e-01	
82	7.250000e-11	1.500000e+00	3.924927e-02	1.501971e-01	
83	7.350000e-11	1.500000e+00	3.972961e-02	1.522176e-01	
84	7.450000e-11	1.500000e+00	4.020750e-02	1.542264e-01	
85	7.550000e-11	1.500000e+00	4.068291e-02	1.562232e-01	
86	7.650000e-11	1.500000e+00	4.115580e-02	1.582080e-01	
87	7.750000e-11	1.500000e+00	4.162616e-02	1.601805e-01	
88	7.850000e-11	1.500000e+00	4.209396e-02	1.621406e-01	
89	7.950000e-11	1.500000e+00	4.255915e-02	1.640883e-01	
90	8.050000e-11	1.500000e+00	4.302172e-02	1.660234e-01	
91	8.150000e-11	1.500000e+00	4.348164e-02	1.679457e-01	
92	8.250000e-11	1.500000e+00	4.393887e-02	1.698551e-01	
93	8.350000e-11	1.500000e+00	4.439340e-02	1.717515e-01	
94	8.450000e-11	1.500000e+00	4.484518e-02	1.736349e-01	
95	8.550000e-11	1.500000e+00	4.529420e-02	1.755050e-01	
96	8.650000e-11	1.500000e+00	4.574043e-02	1.773619e-01	
97	8.750000e-11	1.500000e+00	4.618383e-02	1.792052e-01	
98	8.850000e-11	1.500000e+00	4.662439e-02	1.810351e-01	
99	8.950000e-11	1.500000e+00	4.706207e-02	1.828513e-01	
100	9.050000e-11	1.500000e+00	4.749684e-02	1.846538e-01	
101	9.150000e-11	1.500000e+00	4.792869e-02	1.864424e-01	
102	9.250000e-11	1.500000e+00	4.835758e-02	1.882174e-01	
103	9.350000e-11	1.500000e+00	4.878348e-02	1.899786e-01	
104	9.450000e-11	1.500000e+00	4.920638e-02	1.917256e-01	
105	9.550000e-11	1.500000e+00	4.962624e-02	1.934584e-01	
106	9.650000e-11	1.500000e+00	5.004305e-02	1.951768e-01	
107	9.750000e-11	1.500000e+00	5.045676e-02	1.968809e-01	
108	9.850000e-11	1.500000e+00	5.086736e-02	1.985705e-01	
109	9.925000e-11	1.500000e+00	5.117326e-02	1.998116e-01	
110	1.000000e-10	1.500000e+00	5.147737e-02	2.010066e-01	
111	1.001000e-10	1.495000e+00	5.151779e-02	2.011583e-01	
112	1.003000e-10	1.485000e+00	5.159852e-02	2.014651e-01	

Index   time            v(clk_p)        vin_diff        vcml_diff       
--------------------------------------------------------------------------------
113	1.007000e-10	1.465000e+00	5.175961e-02	2.022642e-01	
114	1.015000e-10	1.425000e+00	5.208024e-02	2.054925e-01	
115	1.025000e-10	1.375000e+00	5.247814e-02	2.127520e-01	
116	1.035000e-10	1.325000e+00	5.287281e-02	2.225387e-01	
117	1.045000e-10	1.275000e+00	5.326421e-02	2.334282e-01	
118	1.055000e-10	1.225000e+00	5.365232e-02	2.443333e-01	
119	1.065000e-10	1.175000e+00	5.403713e-02	2.622439e-01	
120	1.075000e-10	1.125000e+00	5.441861e-02	3.137773e-01	
121	1.085000e-10	1.075000e+00	5.479672e-02	4.145144e-01	
122	1.092500e-10	1.037500e+00	5.507809e-02	5.046161e-01	
123	1.100000e-10	1.000000e+00	5.535755e-02	5.770769e-01	
124	1.101000e-10	1.000000e+00	5.539467e-02	5.843398e-01	
125	1.103000e-10	1.000000e+00	5.546880e-02	5.980777e-01	
126	1.107000e-10	1.000000e+00	5.561665e-02	6.204133e-01	
127	1.115000e-10	1.000000e+00	5.591070e-02	6.446468e-01	
128	1.124219e-10	1.000000e+00	5.624682e-02	6.534862e-01	
129	1.134219e-10	1.000000e+00	5.660808e-02	6.630110e-01	
130	1.144219e-10	1.000000e+00	5.696584e-02	6.745816e-01	
131	1.154219e-10	1.000000e+00	5.732010e-02	6.814046e-01	
132	1.164219e-10	1.000000e+00	5.767082e-02	6.834624e-01	
133	1.174219e-10	1.000000e+00	5.801798e-02	6.834209e-01	
134	1.184219e-10	1.000000e+00	5.836156e-02	6.824824e-01	
135	1.194219e-10	1.000000e+00	5.870154e-02	6.806207e-01	
136	1.204219e-10	1.000000e+00	5.903790e-02	6.783816e-01	
137	1.214219e-10	1.000000e+00	5.937062e-02	6.757290e-01	
138	1.224219e-10	1.000000e+00	5.969968e-02	6.729147e-01	
139	1.234219e-10	1.000000e+00	6.002505e-02	6.699125e-01	
140	1.244219e-10	1.000000e+00	6.034672e-02	6.668407e-01	
141	1.254219e-10	1.000000e+00	6.066467e-02	6.636970e-01	
