time v(gate) v(gfet) v(tripped) v(isense) v(cmp_soft) v(cmp_hard) v(trip_d) v(clr_d) v(fast_en) v(osc_clk) v(cmp_clk) v(vref) v(en_core) v(shp) v(shn) v(fault_n) v(gate_core) v(vdda) v(vdd) v(iovdd) v(iprof) v(osc_en_g) v(icmp) v(vth_soft) v(vth_hard) v(dig_trip) v(cause1) v(cause0) v(sclk_pad) v(sdi_pad) v(soft0) v(soft1) v(soft2) v(soft3) v(soft4) v(soft5) v(soft6) v(soft7) v(hard0) v(hard1) v(hard2) v(hard3) v(hard4) v(hard5) v(hard6) v(hard7) v(sp0) v(sp1) v(sp2) v(sp3) v(sp4) v(sp5) v(sp6) v(sp7) v(sp8) v(sp9) v(sp10) v(sp11) v(sp12) v(sp13) v(sp14) v(sp15) v(inrush_active) v(soft_armed) i(vim) i(vma) i(vmi) i(v12) i(vm_bgr) i(vm_sense) i(vm_tripa) i(vm_tripd) i(vm_osc) i(vm_gatea) i(vm_gated)
0 1.9289771814854095e-09 1.9289771814661197e-09 4.5836610278458293e-08 0.99920000007626397 0 0 0 0 0 0 0 1.04 0 7.622863339201649e-11 2.2428538773350674e-11 3.299999736750761 1.6733316790012405e-07 3.2999999997068996 1.1999999992141288 3.2999999988896325 1 0 0.49959998754813223 0.50037735850945597 0.50037735850945597 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.061153692167672e-09 5.8950178072336712e-10 2.224036066422741e-09 -1.572942665006849e-09 6.5999999994137989e-12 6.5999999994137989e-12 6.6012657931877369e-12 2.3999999984282578e-12 2.4009388600525356e-12 5.6309857706296509e-10 8.5483034967676598e-10
2.0000000000000001e-10 1.9289772626440715e-09 1.9289771817894609e-09 4.583659344526705e-08 0.99920000007626397 0 0 0 0 0 0 0 1.04 0 7.6228633907523034e-11 2.2428539017344352e-11 3.299999736750761 1.6733327202384386e-07 3.2999999997068774 1.1999999992141286 3.299999998889636 1 0 0.49959998754813212 0.50037735850945597 0.50037735850945597 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0611536921676733e-09 5.8954618964435213e-10 2.2240289609953834e-09 -1.5729431090960588e-09 6.5999999994137545e-12 6.5999999994137545e-12 6.5963176606798781e-12 2.3999999984282569e-12 2.3981333073722386e-12 5.6325895641892047e-10 8.5483040917628062e-10
4.0000000000000001e-10 1.9289772123370907e-09 1.9289771819110874e-09 4.5836619422237516e-08 0.99920000007626397 0 0 0 0 0 0 0 1.04 0 7.6228633831543303e-11 2.2428538966570184e-11 3.2999997367507614 1.6733313654871226e-07 3.2999999997068588 1.1999999992141286 3.2999999988896387 1 0 0.49959998754813206 0.50037735850945597 0.50037735850945597 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0611536921676733e-09 5.8958349313797953e-10 2.2240236319248652e-09 -1.5729431090960588e-09 6.5999999994137173e-12 6.5999999994137173e-12 6.5999685932918203e-12 2.3999999984282569e-12 2.3978439138580141e-12 5.6327662176838133e-10 8.5483068906947331e-10
8.0000000000000003e-10 1.9289772001940264e-09 1.9289771820951707e-09 4.5836614429231621e-08 0.99920000007626408 0 0 0 0 0 0 0 1.04 0 7.6228632737383375e-11 2.2428538479314533e-11 3.2999997367507587 1.6733316223819854e-07 3.2999999997068321 1.1999999992141279 3.2999999988896382 1 0 0.49959998754813206 0.50037735850945597 0.50037735850945597 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0611536921676737e-09 5.8963678384316154e-10 2.2240245201032849e-09 -1.5729444413636884e-09 6.599999999413664e-12 6.599999999413664e-12 6.6005274381145658e-12 2.3999999984282557e-12 2.4017896401213473e-12 5.6328316835091619e-10 8.548310839872651e-10
1.0000000000000001e-09 1.9289772348884959e-09 1.9289771822759601e-09 4.583660919745363e-08 0.99920000007626419 0 0 0 0 0 0 0 1.04 0 7.6228633754578179e-11 2.2428538909364974e-11 3.2999997367507552 1.6733317467634533e-07 3.2999999997068246 1.1999999992141281 3.2999999988896422 1 0 0.49959998754813201 0.50037735850945597 0.50037735850945597 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0611536921676733e-09 5.8965188287629644e-10 2.2240165264975076e-09 -1.5729439972744785e-09 6.5999999994136486e-12 6.5999999994136486e-12 6.6018503967217447e-12 2.3999999984282561e-12 2.3996940614004316e-12 5.6328184539230901e-10 8.5483119445279457e-10
1.08e-09 1.9289773493802453e-09 1.9289771825428689e-09 4.5836608357679994e-08 0.99920000007626431 0 0 0 0 0 0 0 1.04 0 7.6228633951762424e-11 2.2428539100636803e-11 3.2999997367507561 1.6733317424762381e-07 3.2999999997068223 1.1999999992141277 3.2999999988896458 1 0 0.49959998754813195 0.50038146379684945 0.50038417382316802 0 0 0 0 0 0.31999999999999978 0 0 0.31999999999999978 0.31999999999999978 0 0 0.31999999999999978 0 0.31999999999999978 0.31999999999999978 0.31999999999999978 0.31999999999999978 0.31999999999999978 0.31999999999999978 0.31999999999999978 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31999999999999978 0 2.0611536921676737e-09 5.8965632376839494e-10 2.22400942107015e-09 -1.5729448854528982e-09 6.5999999994136446e-12 6.5999999994136446e-12 6.6023889009769789e-12 2.3999999984282553e-12 2.401983242822669e-12 5.6328130688805377e-10 8.5483123034293123e-10
1.2400000000000001e-09 1.9289773355024575e-09 1.9289771830490692e-09 4.5836614659995584e-08 0.99920000007626475 0 0 0 0 0 0 0 1.04 0 7.6228633288949514e-11 2.2428538746514227e-11 3.2999997367507583 1.6733316790553686e-07 3.2999999997068192 1.1999999992141284 3.2999999988896498 1 0 0.49959998754813201 0.80060360624924243 0.99879217501864392 0 0 0 0 0 0.96000000000000019 0 0 0.96000000000000019 0.96000000000000019 0 0 0.96000000000000019 0 0.96000000000000019 0.96000000000000019 0.96000000000000019 0.96000000000000019 0.96000000000000019 0.96000000000000019 0.96000000000000019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.96000000000000019 0 2.0611536921676737e-09 5.8966254101733284e-10 2.2240014274643727e-09 -1.5729435531852687e-09 6.5999999994136381e-12 6.5999999994136381e-12 6.6025962119503312e-12 2.3999999984282565e-12 2.4020305843716263e-12 5.6328109957708042e-10 8.548306036579514e-10
1.56e-09 1.9289771464175987e-09 1.9289771833122801e-09 4.5836606798151552e-08 0.99920000007626553 0 0 0 0 0 0 0 1.04 0 7.6228633115466811e-11 2.2428538595799499e-11 3.2999997367507619 1.6733316636733045e-07 3.2999999997068143 1.1999999992141288 3.2999999988896445 1 0 0.49959998754813195 0.80060521274325036 0.9987948420086965 0 0 0 0 0 1.2000000000000002 0 0 1.2000000000000002 1.2000000000000002 0 0 1.2000000000000002 0 1.2000000000000002 1.2000000000000002 1.2000000000000002 1.2000000000000002 1.2000000000000002 1.2000000000000002 1.2000000000000002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2000000000000002 0 2.0611536921676737e-09 5.8967231097994954e-10 2.2240120856054091e-09 -1.572942665006849e-09 6.5999999994136285e-12 6.5999999994136285e-12 6.6024191979871683e-12 2.3999999984282578e-12 2.4012230136071221e-12 5.6328127659104358e-10 8.5483120087316565e-10
2.1999999999999998e-09 1.9289771134578526e-09 1.9289771829887036e-09 4.583661032656496e-08 0.99920000007626597 0 0 0 0 0 0 0 1.04 0 7.6228633596317331e-11 2.2428538863699341e-11 3.2999997367507636 1.6733316893339622e-07 3.2999999997068108 1.1999999992141281 3.2999999988896351 1 0 0.49959998754813201 0.80060377358112755 0.99879245281144713 0 0 0 0 0 1.2000000000000002 0 0 1.2000000000000002 1.2000000000000002 0 0 1.2000000000000002 0 1.2000000000000002 1.2000000000000002 1.2000000000000002 1.2000000000000002 1.2000000000000002 1.2000000000000002 1.2000000000000002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2000000000000002 0 2.0611536921676733e-09 5.8967941640730714e-10 2.2240307373522228e-09 -1.5729439972744785e-09 6.5999999994136212e-12 6.5999999994136212e-12 6.5986358687371089e-12 2.3999999984282561e-12 2.3976843695763298e-12 5.6328150720661484e-10 8.5483141893797904e-10
3.48e-09 1.9289772357558577e-09 1.9289771835317092e-09 4.5836611180670328e-08 0.99920000007626641 0 0 0 0 0 0 0 1.04 0 7.6228633132296447e-11 2.2428538642865436e-11 3.2999997367507641 1.6733316732772759e-07 3.2999999997068086 1.1999999992141286 3.2999999988896276 1 0 0.49959998754813206 0.80060377358112766 0.99879245281144713 0 0 0 0 0 1.2000000000000002 0 0 1.2000000000000002 1.2000000000000002 0 0 1.2000000000000002 0 1.2000000000000002 1.2000000000000002 1.2000000000000002 1.2000000000000002 1.2000000000000002 1.2000000000000002 1.2000000000000002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2000000000000002 0 2.0611536921676737e-09 5.8968385729940564e-10 2.2240458363853577e-09 -1.5729431090960588e-09 6.5999999994136171e-12 6.5999999994136171e-12 6.6022779453894246e-12 2.3999999984282569e-12 2.3995918059479098e-12 5.6328141784364133e-10 8.5483144952315517e-10
