[2026-09-23 06:06:31,327] [INFO]    LVSDB input file passed, bypassing LVS
[2026-09-23 06:06:31,345] [INFO]    (46, 0) -> (pwell pwell_sub)
[2026-09-23 06:06:31,347] [INFO]    (8, 0) -> (metal1_con)
[2026-09-23 06:06:31,348] [INFO]    (10, 0) -> (metal2_con)
[2026-09-23 06:06:31,350] [INFO]    (30, 0) -> (metal3_con)
[2026-09-23 06:06:31,351] [INFO]    (50, 0) -> (metal4_con)
[2026-09-23 06:06:31,353] [INFO]    (134, 0) -> (topmetal2_con)
[2026-09-23 06:06:31,837] [SUBPROCESS]    Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
[2026-09-23 06:06:31,838] [SUBPROCESS]    C1;CTX_L134_0;CTX_L30_0;0.063;
[2026-09-23 06:06:31,839] [SUBPROCESS]    C2;CTX_L134_0;CTX_L30_1;0.009;
[2026-09-23 06:06:31,840] [SUBPROCESS]    C3;CTX_L134_0;CTX_L30_2;0.018;
[2026-09-23 06:06:31,841] [SUBPROCESS]    C4;CTX_L134_0;CTX_L30_3;0.018;
[2026-09-23 06:06:31,842] [SUBPROCESS]    C5;CTX_L134_0;FILL_L10_0;0.001;
[2026-09-23 06:06:31,843] [SUBPROCESS]    C6;CTX_L134_0;FILL_L10_1;0.0;
[2026-09-23 06:06:31,844] [SUBPROCESS]    C7;CTX_L134_0;FILL_L10_12;0.001;
[2026-09-23 06:06:31,845] [SUBPROCESS]    C8;CTX_L134_0;FILL_L10_13;0.004;
[2026-09-23 06:06:31,846] [SUBPROCESS]    C9;CTX_L134_0;FILL_L10_14;0.008;
[2026-09-23 06:06:31,847] [SUBPROCESS]    C10;CTX_L134_0;FILL_L10_15;0.008;
[2026-09-23 06:06:31,848] [SUBPROCESS]    C11;CTX_L134_0;FILL_L10_2;0.002;
[2026-09-23 06:06:31,849] [SUBPROCESS]    C12;CTX_L134_0;FILL_L10_3;0.005;
[2026-09-23 06:06:31,850] [SUBPROCESS]    C13;CTX_L134_0;FILL_L10_4;0.005;
[2026-09-23 06:06:31,851] [SUBPROCESS]    C14;CTX_L134_0;FILL_L10_5;0.004;
[2026-09-23 06:06:31,852] [SUBPROCESS]    C15;CTX_L134_0;FILL_L10_6;0.019;
[2026-09-23 06:06:31,853] [SUBPROCESS]    C16;CTX_L134_0;FILL_L10_7;0.025;
[2026-09-23 06:06:31,854] [SUBPROCESS]    C17;CTX_L134_0;FILL_L10_8;0.031;
[2026-09-23 06:06:31,855] [SUBPROCESS]    C18;CTX_L134_0;FILL_L10_9;0.03;
[2026-09-23 06:06:31,856] [SUBPROCESS]    C19;CTX_L134_0;FILL_L50_0;0.094;
[2026-09-23 06:06:31,857] [SUBPROCESS]    C20;CTX_L134_0;FILL_L50_1;0.094;
[2026-09-23 06:06:31,858] [SUBPROCESS]    C21;CTX_L134_0;FILL_L50_2;0.094;
[2026-09-23 06:06:31,859] [SUBPROCESS]    C22;CTX_L134_0;FILL_L50_3;0.007;
[2026-09-23 06:06:31,860] [SUBPROCESS]    C23;CTX_L134_0;FILL_L50_4;0.045;
[2026-09-23 06:06:31,861] [SUBPROCESS]    C24;CTX_L134_0;FILL_L50_5;0.045;
[2026-09-23 06:06:31,862] [SUBPROCESS]    C25;CTX_L134_0;FILL_L50_6;0.045;
[2026-09-23 06:06:31,863] [SUBPROCESS]    C26;CTX_L134_0;FILL_L50_7;0.002;
[2026-09-23 06:06:31,864] [SUBPROCESS]    C27;CTX_L134_0;N;0.015;
[2026-09-23 06:06:31,865] [SUBPROCESS]    C28;CTX_L134_0;P;0.017;
[2026-09-23 06:06:31,866] [SUBPROCESS]    C29;CTX_L134_0;VSUBS;0.853;
[2026-09-23 06:06:31,867] [SUBPROCESS]    C30;CTX_L30_0;CTX_L30_1;1.267;
[2026-09-23 06:06:31,868] [SUBPROCESS]    C31;CTX_L30_0;CTX_L8_0;0.072;
[2026-09-23 06:06:31,869] [SUBPROCESS]    C32;CTX_L30_0;FILL_L10_0;0.071;
[2026-09-23 06:06:31,870] [SUBPROCESS]    C33;CTX_L30_0;FILL_L10_1;0.439;
[2026-09-23 06:06:31,871] [SUBPROCESS]    C34;CTX_L30_0;FILL_L10_2;0.439;
[2026-09-23 06:06:31,872] [SUBPROCESS]    C35;CTX_L30_0;FILL_L10_3;0.439;
[2026-09-23 06:06:31,873] [SUBPROCESS]    C36;CTX_L30_0;FILL_L10_4;0.368;
[2026-09-23 06:06:31,874] [SUBPROCESS]    C37;CTX_L30_0;FILL_L50_0;0.473;
[2026-09-23 06:06:31,875] [SUBPROCESS]    C38;CTX_L30_0;FILL_L50_1;0.474;
[2026-09-23 06:06:31,876] [SUBPROCESS]    C39;CTX_L30_0;FILL_L50_2;0.474;
[2026-09-23 06:06:31,877] [SUBPROCESS]    C40;CTX_L30_0;FILL_L50_3;0.056;
[2026-09-23 06:06:31,878] [SUBPROCESS]    C41;CTX_L30_0;VSUBS;0.819;
[2026-09-23 06:06:31,879] [SUBPROCESS]    C42;CTX_L30_1;CTX_L30_2;0.28;
[2026-09-23 06:06:31,879] [SUBPROCESS]    C43;CTX_L30_1;CTX_L8_0;0.017;
[2026-09-23 06:06:31,880] [SUBPROCESS]    C44;CTX_L30_1;FILL_L10_0;0.008;
[2026-09-23 06:06:31,881] [SUBPROCESS]    C45;CTX_L30_1;FILL_L10_1;0.083;
[2026-09-23 06:06:31,882] [SUBPROCESS]    C46;CTX_L30_1;FILL_L10_2;0.083;
[2026-09-23 06:06:31,883] [SUBPROCESS]    C47;CTX_L30_1;FILL_L10_3;0.083;
[2026-09-23 06:06:31,884] [SUBPROCESS]    C48;CTX_L30_1;FILL_L10_4;0.075;
[2026-09-23 06:06:31,885] [SUBPROCESS]    C49;CTX_L30_1;FILL_L10_5;0.004;
[2026-09-23 06:06:31,886] [SUBPROCESS]    C50;CTX_L30_1;FILL_L10_6;0.042;
[2026-09-23 06:06:31,887] [SUBPROCESS]    C51;CTX_L30_1;FILL_L10_7;0.042;
[2026-09-23 06:06:31,888] [SUBPROCESS]    C52;CTX_L30_1;FILL_L10_8;0.042;
[2026-09-23 06:06:31,889] [SUBPROCESS]    C53;CTX_L30_1;FILL_L10_9;0.038;
[2026-09-23 06:06:31,890] [SUBPROCESS]    C54;CTX_L30_1;FILL_L50_0;0.281;
[2026-09-23 06:06:31,891] [SUBPROCESS]    C55;CTX_L30_1;FILL_L50_1;0.281;
[2026-09-23 06:06:31,892] [SUBPROCESS]    C56;CTX_L30_1;FILL_L50_2;0.281;
[2026-09-23 06:06:31,893] [SUBPROCESS]    C57;CTX_L30_1;FILL_L50_3;0.019;
[2026-09-23 06:06:31,894] [SUBPROCESS]    C58;CTX_L30_1;FILL_L8_0;0.0;
[2026-09-23 06:06:31,895] [SUBPROCESS]    C59;CTX_L30_1;FILL_L8_1;0.003;
[2026-09-23 06:06:31,896] [SUBPROCESS]    C60;CTX_L30_1;FILL_L8_2;0.003;
[2026-09-23 06:06:31,897] [SUBPROCESS]    C61;CTX_L30_1;FILL_L8_3;0.003;
[2026-09-23 06:06:31,898] [SUBPROCESS]    C62;CTX_L30_1;FILL_L8_4;0.003;
[2026-09-23 06:06:31,899] [SUBPROCESS]    C63;CTX_L30_1;VSUBS;0.31;
[2026-09-23 06:06:31,900] [SUBPROCESS]    C64;CTX_L30_2;CTX_L30_3;4.306;
[2026-09-23 06:06:31,901] [SUBPROCESS]    C65;CTX_L30_2;CTX_L8_0;0.001;
[2026-09-23 06:06:31,902] [SUBPROCESS]    C66;CTX_L30_2;CTX_L8_1;0.001;
[2026-09-23 06:06:31,903] [SUBPROCESS]    C67;CTX_L30_2;FILL_L10_5;0.026;
[2026-09-23 06:06:31,904] [SUBPROCESS]    C68;CTX_L30_2;FILL_L10_6;0.225;
[2026-09-23 06:06:31,905] [SUBPROCESS]    C69;CTX_L30_2;FILL_L10_7;0.225;
