LVSDB input file passed, bypassing LVS
(19, 0) -> (via1_drw)
(29, 0) -> (via2_drw)
(49, 0) -> (via3_drw)
(66, 0) -> (via4_drw)
(46, 0) -> (pwell pwell_sub)
(8, 0) -> (metal1_con)
(10, 0) -> (metal2_con)
(30, 0) -> (metal3_con)
(50, 0) -> (metal4_con)
(126, 0) -> (topmetal1_con)
(125, 0) -> (topvia1_n_cap)
(67, 0) -> (metal5_n_cap)
Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L10_0,CTX_L8_6;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;1.074;
C2;CTX_L10_0,CTX_L8_6;CTX_L8_0;0.033;
C3;CTX_L10_0,CTX_L8_6;CTX_L8_1;0.031;
C4;CTX_L10_0,CTX_L8_6;CTX_L8_2;0.033;
C5;CTX_L10_0,CTX_L8_6;CTX_L8_3;0.031;
C6;CTX_L10_0,CTX_L8_6;CTX_L8_4;0.033;
C7;CTX_L10_0,CTX_L8_6;CTX_L8_5;0.031;
C8;CTX_L10_0,CTX_L8_6;N;0.06;
C9;CTX_L10_0,CTX_L8_6;P;0.099;
C10;CTX_L10_0,CTX_L8_6;VSUBS;2.952;
C11;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L10_2,CTX_L8_8;1.734;
C12;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L10_4,CTX_L8_10;1.076;
C13;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_0;0.002;
C14;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_1;0.002;
C15;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_11;0.003;
C16;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_12;0.003;
C17;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_13;0.003;
C18;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_14;0.003;
C19;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_15;0.003;
C20;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_16;0.003;
C21;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_2;0.003;
C22;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_3;0.003;
C23;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_4;0.003;
C24;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;CTX_L8_5;0.003;
C25;CTX_L10_1,CTX_L10_3,CTX_L126_0,CTX_L30_0,CTX_L30_1,CTX_L50_0,CTX_L50_1,CTX_L67_0,CTX_L67_1,CTX_L8_7,CTX_L8_9;N;0.713;
