 time                   v(xreceiver.sense)     v(padres)              v(gate_core)           v(vdda)                v(vdd)                 i(vdda)                i(vdd)                
 0.000000000000000e+00  5.304003242818051e-19  2.200463375217721e-28  0.000000000000000e+00  6.245872010364234e-31  0.000000000000000e+00  1.249174402072847e-30  0.000000000000000e+00 
 5.000000000000000e-11  5.304003236618200e-19  1.336672778017064e-28 -3.020907855926676e-28  5.768842198171815e-31 -3.998017616423448e-33  1.153768439634363e-30 -7.996035232846896e-33 
 1.000000000000000e-10  5.304003232393479e-19  1.023594259361485e-28 -5.635793556878261e-28  5.345189043311978e-31 -7.370178742907130e-33  1.069037808662396e-30 -1.474035748581426e-32 
 2.000000000000000e-10 -1.692904001292469e-17 -4.336401578866570e-18  2.005642365208525e-17 -5.528486663137018e-20 -1.457315013096744e-22 -1.105697332627404e-19 -2.914630026193488e-22 
 4.000000000000000e-10 -3.239513472414298e-17 -9.068869441932691e-18  5.070096775357056e-17 -4.725018662474509e-20 -4.755483353728853e-22 -9.450037324949019e-20 -9.510966707457707e-22 
 8.000000000000000e-10 -6.563713119424757e-17 -4.699361126275839e-18  7.946602555118751e-17  2.725496875241943e-20 -8.429027570128780e-22  5.450993750483885e-20 -1.685805514025756e-21 
 1.600000000000000e-09 -7.600953099081028e-17  1.063009758514300e-18  1.009463596709458e-16  3.247724605028026e-20 -7.069422028365169e-22  6.495449210056051e-20 -1.413884405673034e-21 
 3.200000000000000e-09 -6.382692043233070e-17  1.921076841451239e-18  9.677610550034846e-17 -2.149580094800003e-20 -1.792018442122196e-22 -4.299160189600006e-20 -3.584036884244393e-22 
 6.400000000000000e-09 -5.308621453175010e-17  2.631409307876312e-20  6.722992235864489e-17 -2.717960311430962e-20 -1.008739033920196e-22 -5.435920622861924e-20 -2.017478067840391e-22 
 1.140000000000000e-08  2.108909135346328e-17  3.258015280228156e-19  2.575282768560417e-17 -1.545858171715052e-21  1.665528730639545e-22 -3.091716343430103e-21  3.331057461279089e-22 
 1.640000000000000e-08  4.472070321243473e-17 -2.834897288931306e-20  1.421559153746405e-17 -9.168084157918191e-22 -1.483371595022256e-23 -1.833616831583638e-21 -2.966743190044513e-23 
 2.140000000000000e-08  4.503071295929153e-17 -2.087040562429711e-19  1.604438202119923e-17 -1.964535535338769e-21 -1.724508189201786e-23 -3.929071070677538e-21 -3.449016378403573e-23 
 2.640000000000000e-08  4.512173511947941e-17 -1.627543616445752e-20  1.850698033990485e-17 -1.764874235756453e-21 -2.938734200546369e-23 -3.529748471512906e-21 -5.877468401092739e-23 
 3.140000000000000e-08  4.513462461429475e-17 -1.256691551353711e-20  1.977910674258575e-17 -1.830343859797957e-21 -1.985582268846208e-23 -3.660687719595914e-21 -3.971164537692415e-23 
 3.640000000000000e-08  4.516432278420362e-17 -1.268239259404451e-20  2.123312835891811e-17 -1.637670766302946e-21 -1.759781901931046e-23 -3.275341532605893e-21 -3.519563803862091e-23 
 4.139999999999999e-08  4.515953067858411e-17 -1.290503333067127e-20  2.158674674325614e-17 -1.702104160958578e-21 -1.373375500320696e-23 -3.404208321917157e-21 -2.746751000641392e-23 
 4.639999999999999e-08  4.515966912850971e-17 -1.281520163422202e-20  2.171559509870798e-17 -1.650030219826406e-21 -1.126217123574035e-23 -3.300060439652812e-21 -2.252434247148070e-23 
 5.139999999999999e-08  4.516251330105631e-17 -1.280333723277124e-20  2.185829056076907e-17 -1.684512421483974e-21 -1.920778176432629e-23 -3.369024842967948e-21 -3.841556352865257e-23 
 5.639999999999999e-08  4.515906064714873e-17 -1.283743318361427e-20  2.179151632652888e-17 -1.644910369914267e-21 -1.184641996824634e-23 -3.289820739828534e-21 -2.369283993649268e-23 
 6.139999999999999e-08  4.515855893603833e-17 -1.281113511162097e-20  2.175229492294678e-17 -1.715477042863758e-21 -1.834914978171096e-23 -3.430954085727516e-21 -3.669829956342192e-23 
 6.640000000000000e-08  4.515992367807712e-17 -1.280360776645357e-20  2.178336728085398e-17 -1.619661347317233e-21 -1.982644923525882e-23 -3.239322694634466e-21 -3.965289847051765e-23 
 7.140000000000000e-08  4.515578892155436e-17 -1.283496357593464e-20  2.165651971653585e-17 -1.732952323060731e-21 -1.313712398981887e-23 -3.465904646121461e-21 -2.627424797963775e-23 
 7.640000000000001e-08  4.516008602362479e-17 -1.278013825206567e-20  2.175570336995053e-17 -1.629801678622554e-21 -1.638416920720997e-23 -3.259603357245108e-21 -3.276833841441994e-23 
 8.140000000000001e-08  4.513552009027136e-17 -1.294144937676454e-20  2.096123416031760e-17 -1.742637229160989e-21 -2.362234095521326e-23 -3.485274458321979e-21 -4.724468191042652e-23 
 8.640000000000002e-08  4.516460867417017e-17 -1.261720056553622e-20  2.166309173070037e-17 -1.617352827467024e-21 -9.277492184116433e-24 -3.234705654934049e-21 -1.855498436823287e-23 
 9.140000000000002e-08  4.514091792417422e-17 -1.297415322733747e-20  2.111167803318457e-17 -1.722416201329069e-21 -3.009184797577111e-23 -3.444832402658137e-21 -6.018369595154222e-23 
 9.640000000000003e-08  4.516650835391041e-17 -1.263540582226838e-20  2.178121346562661e-17 -1.616588864645554e-21 -1.937423966872547e-23 -3.233177729291109e-21 -3.874847933745093e-23 
 1.014000000000000e-07  4.513444631774344e-17 -1.300874305178168e-20  2.093520617903816e-17 -1.741519891748938e-21 -1.306229751059333e-23 -3.483039783497876e-21 -2.612459502118667e-23 
 1.064000000000000e-07  4.516326204843353e-17 -1.260233084165561e-20  2.160954889794639e-17 -1.626765243277971e-21 -1.560427290104502e-23 -3.253530486555943e-21 -3.120854580209003e-23 
 1.114000000000000e-07  4.513855403125699e-17 -1.297332727808359e-20  2.101389760700448e-17 -1.725607115255278e-21 -2.090490150072075e-23 -3.451214230510556e-21 -4.180980300144149e-23 
 1.164000000000000e-07  4.516256706664217e-17 -1.263671731959535e-20  2.161426814818701e-17 -1.613324200652574e-21 -9.043060037225870e-24 -3.226648401305148e-21 -1.808612007445174e-23 
 1.214000000000000e-07  4.514045740348682e-17 -1.295008574544622e-20  2.108072409873294e-17 -1.736335782538907e-21 -1.759459356317112e-23 -3.472671565077815e-21 -3.518918712634225e-23 
 1.264000000000000e-07  4.516194573121791e-17 -1.265103400631828e-20  2.161769919343643e-17 -1.627548600990530e-21 -1.373946617317224e-23 -3.255097201981060e-21 -2.747893234634447e-23 
 1.314000000000001e-07  4.513978682387871e-17 -1.294348631748540e-20  2.105935290207574e-17 -1.709936023066473e-21 -1.654044484876425e-23 -3.419872046132946e-21 -3.308088969752850e-23 
 1.364000000000001e-07  4.514721442916026e-17 -1.272032137634909e-20  2.111174522324626e-17 -1.616082285337695e-21 -1.623506543099171e-23 -3.232164570675390e-21 -3.247013086198342e-23 
 1.414000000000001e-07  4.511714601348174e-17 -1.295857238730393e-20  2.011481262222673e-17 -1.742999805328913e-21 -1.725329088041512e-23 -3.485999610657825e-21 -3.450658176083024e-23 
 1.464000000000001e-07  4.516169919532397e-17 -1.251403936115139e-20  2.126868654364018e-17 -1.623006057822910e-21 -9.436552413582742e-24 -3.246012115645820e-21 -1.887310482716548e-23 
 1.514000000000001e-07  4.513378799850662e-17 -1.300569896113192e-20  2.073467293393185e-17 -1.742178883488612e-21 -2.214193250342082e-23 -3.484357766977224e-21 -4.428386500684164e-23 
 1.564000000000001e-07  4.516189815847017e-17 -1.260103890584209e-20  2.149533366830871e-17 -1.624847939039495e-21 -1.238786195202636e-23 -3.249695878078991e-21 -2.477572390405273e-23 
 1.614000000000001e-07  4.513708987828994e-17 -1.296005121218798e-20  2.092666163717594e-17 -1.717645669417364e-21 -1.098471603848143e-23 -3.435291338834729e-21 -2.196943207696285e-23 
 1.664000000000001e-07  4.516372934892448e-17 -1.261032244405136e-20  2.162571737061312e-17 -1.618627586586789e-21 -2.132385685476989e-23 -3.237255173173578e-21 -4.264771370953979e-23 
 1.714000000000001e-07  4.513499570652144e-17 -1.297547210779880e-20  2.090278839899485e-17 -1.739079883066660e-21 -2.173180482649785e-23 -3.478159766133320e-21 -4.346360965299570e-23 
 1.764000000000001e-07  4.516593196422031e-17 -1.257959182309364e-20  2.169361852913669e-17 -1.693186739879408e-21 -6.023014061422167e-24 -3.386373479758816e-21 -1.204602812284433e-23 
 1.814000000000001e-07  4.512114344781427e-17 -1.306191572556227e-20  2.045977061816267e-17 -1.821027979169110e-21 -8.617913536196566e-24 -3.642055958338220e-21 -1.723582707239313e-23 
 1.864000000000001e-07  4.514791870932305e-17 -1.257187731103363e-20  2.092809709978175e-17 -1.730642902718363e-21 -3.642520664414165e-24 -3.461285805436726e-21 -7.285041328828330e-24 
 1.914000000000001e-07  4.513369434373466e-17 -1.289536020978574e-20  2.061486775122132e-17 -1.844761369899158e-21 -1.298729285670091e-23 -3.689522739798315e-21 -2.597458571340183e-23 
 1.964000000000001e-07  4.516230586749098e-17 -1.261085364450239e-20  2.147344456673706e-17 -1.883421605033119e-21 -6.826103917415797e-24 -3.766843210066238e-21 -1.365220783483159e-23 
 2.014000000000001e-07  4.513681918584369e-17 -1.295467927375071e-20  2.091609375722851e-17 -1.958678383634214e-21 -1.179885442309931e-23 -3.917356767268427e-21 -2.359770884619862e-23 
 2.064000000000001e-07  4.516032347214260e-17 -1.261487918455002e-20  2.151252752261839e-17 -1.832218290812176e-21 -5.406673070194970e-24 -3.664436581624352e-21 -1.081334614038994e-23 
 2.114000000000001e-07  4.513710648937551e-17 -1.293182107736697e-20  2.093987538659035e-17 -1.941988172677085e-21 -7.903414591834771e-24 -3.883976345354170e-21 -1.580682918366954e-23 
 2.164000000000001e-07  4.514789750554561e-17 -1.268137492527535e-20  2.110191931601243e-17 -1.899838086778744e-21 -7.168572099627501e-24 -3.799676173557489e-21 -1.433714419925500e-23 
 2.214000000000001e-07  4.512088158723735e-17 -1.292797916595701e-20  2.024717964667082e-17 -2.027301813257871e-21 -1.190420380483519e-23 -4.054603626515742e-21 -2.380840760967037e-23 
 2.264000000000001e-07  4.514613620050099e-17 -1.259770324360433e-20  2.079843622893103e-17 -1.937278728271173e-21 -5.336469581840235e-24 -3.874557456542345e-21 -1.067293916368047e-23 
 2.314000000000002e-07  4.514936589490634e-17 -1.279435171234091e-20  2.110525426144039e-17 -2.044965536493041e-21 -7.439959899960598e-24 -4.089931072986082e-21 -1.487991979992120e-23 
 2.364000000000002e-07  4.516759906755285e-17 -1.268185618062493e-20  2.183066676413808e-17 -2.008169465065709e-21 -6.929677443164332e-24 -4.016338930131417e-21 -1.385935488632866e-23 
 2.414000000000001e-07  4.513733657885441e-17 -1.295305543278358e-20  2.106516961587124e-17 -2.138115681475008e-21  6.304381438591715e-25 -4.276231362950017e-21  1.260876287718343e-24 
 2.464000000000001e-07  4.512996829659610e-17 -1.275417710812580e-20  2.054289261628712e-17 -2.021335254696510e-21 -2.345747695722910e-24 -4.042670509393021e-21 -4.691495391445820e-24 
 2.514000000000001e-07  4.513312035228455e-17 -1.273612364718483e-20  2.046809224281078e-17 -2.190427369827075e-21 -1.158822577317501e-23 -4.380854739654150e-21 -2.317645154635002e-23 
 2.564000000000002e-07  4.516337913608558e-17 -1.261326765975855e-20  2.146544160042022e-17 -2.122225405511893e-21 -1.188876859170107e-23 -4.244450811023787e-21 -2.377753718340214e-23 
 2.614000000000002e-07  4.513335334183524e-17 -1.296643122999884e-20  2.080353912123743e-17 -2.207288517967809e-21 -1.185911680234693e-23 -4.414577035935617e-21 -2.371823360469387e-23 
 2.664000000000002e-07  4.514450771471633e-17 -1.265532494617129e-20  2.094476323378276e-17 -2.079472352064951e-21 -6.760173389091703e-24 -4.158944704129902e-21 -1.352034677818341e-23 
 2.714000000000002e-07  4.515170089709692e-17 -1.274027150665655e-20  2.124009305082116e-17 -2.155692493221751e-21 -4.316256847013545e-24 -4.311384986443503e-21 -8.632513694027090e-24 
 2.764000000000002e-07  4.516577585693789e-17 -1.269840240837721e-20  2.181984928740157e-17 -2.061553809916477e-21 -4.757455300694734e-24 -4.123107619832955e-21 -9.514910601389467e-24 
 2.814000000000002e-07  4.511715954255217e-17 -1.303020681787733e-20  2.038138394914263e-17 -2.194095842937458e-21 -9.598493016011349e-24 -4.388191685874917e-21 -1.919698603202270e-23 
 2.864000000000002e-07  4.514462138890008e-17 -1.253546650888603e-20  2.080035211268482e-17 -2.085642678229164e-21 -9.823422617071918e-24 -4.171285356458328e-21 -1.964684523414384e-23 
 2.914000000000002e-07  4.513433918470111e-17 -1.285057588636131e-20  2.060287098180036e-17 -2.180878074339824e-21 -8.806727709535465e-24 -4.361756148679649e-21 -1.761345541907093e-23 
 2.964000000000002e-07  4.516413108508823e-17 -1.258508757775204e-20  2.154014831184350e-17 -2.083860844968481e-21 -9.303904275942999e-24 -4.167721689936962e-21 -1.860780855188600e-23 
