 time                   v(fout)                v(vref)                i(vdd)                 i(vdd12)               v(xt2f.cap1)           v(xt2f.cap2)           v(xt2f.ca1)            v(xt2f.tail1)          v(xt2f.cb1)            v(xt2f.ca2)            v(xt2f.tail2)          v(xt2f.cb2)           
 0.000000000000000e+00  2.345824967414815e-08  1.045803478152761e+00 -5.126006185486601e-05 -7.852181052722326e-11  1.231789585349801e-10  1.227057094742244e-10  1.151102307332480e+00  2.956295368060470e-01  1.309045357241921e+00  1.148243832615869e+00  2.981813020995369e-01  1.306723150784582e+00 
 5.000000000000000e-11  2.345824992712764e-08  1.045803478152782e+00 -5.126006185423667e-05 -7.852179107024119e-11  1.231788831091568e-10  1.227057533272763e-10  1.151102307332528e+00  2.956295368060525e-01  1.309045357241913e+00  1.148243832615939e+00  2.981813020995464e-01  1.306723150784654e+00 
 1.000000000000000e-10  2.345825004515153e-08  1.045803478152787e+00 -5.126006185458005e-05 -7.852177388944840e-11  1.231787209125118e-10  1.227057299085094e-10  1.151102307332542e+00  2.956295368060498e-01  1.309045357241875e+00  1.148243832615970e+00  2.981813020995470e-01  1.306723150784707e+00 
 2.000000000000000e-10  2.345825077829748e-08  1.045803478152777e+00 -5.126006185398256e-05 -7.852170875409707e-11  1.231789191046689e-10  1.227055922148335e-10  1.151102307332607e+00  2.956295368060732e-01  1.309045357241831e+00  1.148243832615961e+00  2.981813020995707e-01  1.306723150784823e+00 
 4.000000000000000e-10  2.345825062983125e-08  1.045803478152724e+00 -5.126006185471111e-05 -7.852165540764441e-11  1.231787332724166e-10  1.227056630132353e-10  1.151102307332813e+00  2.956295368060477e-01  1.309045357241817e+00  1.148243832616047e+00  2.981813020995348e-01  1.306723150784955e+00 
 8.000000000000000e-10  2.345824863057048e-08  1.045803478152804e+00 -5.126006185401037e-05 -7.852177783487493e-11  1.231790238385988e-10  1.227059664814234e-10  1.151102307333239e+00  2.956295368060892e-01  1.309045357242009e+00  1.148243832616531e+00  2.981813020995763e-01  1.306723150785313e+00 
 1.600000000000000e-09  2.345825088356132e-08  1.045803478152930e+00 -5.126006185370221e-05 -7.852164959085741e-11  1.231786842664784e-10  1.227066622139575e-10  1.151102307333681e+00  2.956295368061931e-01  1.309045357242009e+00  1.148243832617029e+00  2.981813020996973e-01  1.306723150786127e+00 
 3.200000000000000e-09  2.345824957501962e-08  1.045803478152972e+00 -5.126006185401934e-05 -7.852164679244584e-11  1.231783907729503e-10  1.227049918920906e-10  1.151102307332408e+00  2.956295368062281e-01  1.309045357241113e+00  1.148243832616029e+00  2.981813020997197e-01  1.306723150784828e+00 
 6.400000000000000e-09  2.345824969779913e-08  1.045803478152711e+00 -5.126006185405022e-05 -7.852169796324804e-11  1.231780871963420e-10  1.227049915126198e-10  1.151102307330603e+00  2.956295368059494e-01  1.309045357239009e+00  1.148243832613883e+00  2.981813020994519e-01  1.306723150783640e+00 
 1.140000000000000e-08  2.345825000632547e-08  1.045803478153178e+00 -5.126006185381900e-05 -7.852168400542224e-11  1.231793322399068e-10  1.227056923951142e-10  1.151102307331602e+00  2.956295368064472e-01  1.309045357239508e+00  1.148243832614805e+00  2.981813020999232e-01  1.306723150783876e+00 
