 time                   v(gate)                v(gfet,source)         i(vfet)                i(Lload)               v(dfet,source)         i(vig)                 v(fault_n)             v(tripped)            
 0.000000000000000e+00  5.951158444694740e-08  5.950028194649681e-08  3.169919882139993e-10  3.169837725636171e-10  4.999999998403778e+00 -1.260465412597550e-17  1.163215732657587e-13  0.000000000000000e+00 
 1.000000000000000e-11  5.949758594507351e-08  5.948523945936953e-08  3.226432454539463e-10  3.169839137267400e-10  4.999999998402418e+00  1.095723472369029e-13  1.163212166594929e-13 -4.812905555021911e-16 
 2.000000000000000e-11  5.949897070608409e-08  5.948756833169807e-08  3.222346833808842e-10  3.169841579974894e-10  4.999999998401386e+00  1.521697506806059e-14  1.163210936965583e-13 -2.556309608973342e-16 
 4.000000000000000e-11  5.951047272896250e-08  5.949986642802898e-08  3.208882048966188e-10  3.169848510195181e-10  4.999999998399678e+00 -6.438912516627872e-14  1.163213642209423e-13  1.587109225862464e-16 
 8.000000000000001e-11  5.951648334430428e-08  5.950532890950544e-08  3.177831331413472e-10  3.169867927171888e-10  4.999999998398041e+00 -8.988522337094910e-15  1.163222014365595e-13  1.144841356074975e-16 
 8.015625000000000e-11  5.951713234139858e-08  5.950733645178440e-08  3.140741000606795e-10  3.169868014450163e-10  4.999999998398204e+00 -1.480559872961985e-13  1.163222314250312e-13  1.533070610892439e-16 
 8.019531250000001e-11  5.951632578607592e-08  5.949957046121596e-08  3.327329523017397e-10  3.169868039967030e-10  4.999999998397421e+00  5.642378360615687e-13  1.163222390396583e-13  1.418769554086703e-16 
 8.020507812500001e-11  5.951719846807839e-08  5.952923228864818e-08  2.554259026510408e-10  3.169868042558951e-10  4.999999998400622e+00 -2.382309844664038e-12  1.163222684505888e-13  1.390940650101000e-16 
 8.022460937500000e-11  5.951890168656049e-08  5.953090690686940e-08  2.554685352151864e-10  3.169868047717382e-10  4.999999998400645e+00 -2.379397588335655e-12  1.163223061979948e-13  1.500134984192443e-16 
 8.026367187500001e-11  5.952078888626169e-08  5.951779207961945e-08  2.956994649139233e-10  3.169868062659043e-10  4.999999998399015e+00 -8.439760948804858e-13  1.163223579528969e-13  2.258011120542296e-16 
 8.027343750000001e-11  5.952133587733841e-08  5.952765045093686e-08  2.707025714698830e-10  3.169868065934943e-10  4.999999998400056e+00 -1.796992762507429e-12  1.163223447794357e-13  2.603889894020764e-16 
 8.029296875000000e-11  5.952187309348380e-08  5.951544602162439e-08  3.049080987693742e-10  3.169868074478329e-10  4.999999998398656e+00 -4.929067145260494e-13  1.163222868790162e-13  3.331507406718704e-16 
 8.033203125000001e-11  5.952319484404633e-08  5.952426946867533e-08  2.847571067832178e-10  3.169868090738185e-10  4.999999998399512e+00 -1.260717093488963e-12  1.163223390919747e-13  4.842327207013110e-16 
 8.041015625000001e-11  5.952311124139209e-08  5.950828025482672e-08  3.274180926382542e-10  3.169868132547731e-10  4.999999998397763e+00  3.671870423713081e-13  1.163224314764261e-13  7.024384649084788e-16 
 8.056640625000000e-11  5.952259903364537e-08  5.951201936208446e-08  3.159641437378014e-10  3.169868218136175e-10  4.999999998398245e+00 -6.796472680887565e-14  1.163224483029509e-13  7.868101179073284e-16 
 8.060546875000001e-11  5.952232157625818e-08  5.951078599945898e-08  3.185220975865377e-10  3.169868240362320e-10  4.999999998398139e+00  2.986455618938905e-14  1.163224168616741e-13  7.417996926408932e-16 
 8.061523437500001e-11  5.952266351657731e-08  5.952279713742608e-08  2.871871629395173e-10  3.169868244382550e-10  4.999999998399438e+00 -1.164470883369434e-12  1.163224629110143e-13  7.312928710420319e-16 
 8.061767578125001e-11  5.952334726221842e-08  5.958432929681476e-08  1.238618096977007e-10  3.169868243392051e-10  4.999999998406182e+00 -7.392250696635685e-12  1.163224649598192e-13  7.319034385934724e-16 
 8.061828613281251e-11  5.952354931266347e-08  5.960056552683247e-08  8.083134162006900e-11  3.169868243012871e-10  4.999999998407961e+00 -9.033335497557135e-12  1.163224910221014e-13  7.300244098842577e-16 
 8.061843872070314e-11  5.952309979156940e-08  5.872308815373685e-08  2.434916268612142e-09  3.169868244714216e-10  4.999999998310850e+00  8.072958487770237e-11  1.163224367416571e-13  7.290814766140501e-16 
 8.061847686767580e-11  5.952383176086194e-08  6.427377739366476e-08 -1.246208114480396e-08  3.169868242298138e-10  4.999999998925342e+00 -4.873029855894962e-10  1.163224496773606e-13  7.244241165138190e-16 
