corner	phase_ps	raw_chunk0_sha256	raw_chunk1_sha256	raw_chunk2_sha256	raw_chunk3_sha256	chunk0_rho	chunk1_rho	chunk2_rho	chunk3_rho	rho_mean	theoretical_se_1_over_sqrt_880	chunk_rho_sample_sd	four_chunk_mean_se_estimate	p1_mean
27C	190	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	-0.085844330401	0.133909626562	0.137834579214	0.077196086829	0.065773990551	0.033709993123	0.104807399333	0.052403699666	0.459090909091
-40C	0	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	10	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	20	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	30	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	40	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	50	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	60	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	70	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	80	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	90	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	100	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	110	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	120	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	130	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	140	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.113787878788	0.080175706646	0.136816635360	-0.013973063973	0.022307849811	0.033709993123	0.109998943738	0.054999471869	0.464772727273
-40C	150	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	0.048757056897	0.118054647191	0.194052240378	0.056269592476	0.104283384236	0.033709993123	0.067420551870	0.033710275935	0.443181818182
-40C	160	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	0.282443612725	0.249117612911	0.347338583746	0.361542737154	0.310110636634	0.033709993123	0.053281623364	0.026640811682	0.392045454545
-40C	170	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.043580178687	0.135526691640	0.146525373224	0.021996451155	0.065117084333	0.033709993123	0.091759297976	0.045879648988	0.451136363636
-40C	180	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.122121212121	0.080175706646	0.127177558234	-0.013973063973	0.017814747197	0.033709993123	0.110214414288	0.055107207144	0.465909090909
-40C	190	f15f1abdb1db80dee12f2cc2d17623dfb8603edafc1ccb8bf00b5ee2c35980f6	8d4b140a71bbb73432fdd9102a803da6876d4efa14499c3f1af258970de1b70c	764185612934738bb3f0419694eb2fc0aba398dfd772b4ee20f47e7c184b8bfb	e6cd790644fc7a7587c2b05a99fcedfe5f1d0776f7d02f0c05c3ad4363ad0dbc	-0.122121212121	0.080175706646	0.127177558234	-0.013973063973	0.017814747197	0.033709993123	0.110214414288	0.055107207144	0.465909090909
