corner	phase_ps	raw_chunk0_sha256	raw_chunk1_sha256	raw_chunk2_sha256	raw_chunk3_sha256	chunk0_rho	chunk1_rho	chunk2_rho	chunk3_rho	rho_mean	theoretical_se_1_over_sqrt_880	chunk_rho_sample_sd	four_chunk_mean_se_estimate	p1_mean
27C	0	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	-0.038549964979	0.157134494425	0.182013051754	0.086225348725	0.096705732481	0.033709993123	0.098881943297	0.049440971648	0.454545454545
27C	10	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	0.061068312423	0.242718080042	0.275766986637	0.193537496986	0.193272719022	0.033709993123	0.094389658945	0.047194829472	0.438636363636
27C	20	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	0.301108204346	0.370522466040	0.366282855076	0.297118221357	0.333757936705	0.033709993123	0.040074824583	0.020037412292	0.420454545455
27C	30	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	0.483942168793	0.512271723861	0.585115746323	0.500413223140	0.520435715529	0.033709993123	0.044657348400	0.022328674200	0.412500000000
27C	40	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	0.589027603715	0.540009510597	0.585497835498	0.610606060606	0.581285252604	0.033709993123	0.029670897725	0.014835448863	0.414772727273
27C	50	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	0.582694300941	0.501688311688	0.594901918031	0.611212121212	0.572624162968	0.033709993123	0.048712187276	0.024356093638	0.411363636364
27C	60	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	0.378171828172	0.328856808802	0.520187309993	0.407523039022	0.408684746497	0.033709993123	0.081112491952	0.040556245976	0.410227272727
27C	70	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	0.150446501855	0.218510338171	0.304272524267	0.286914139724	0.240035876004	0.033709993123	0.070269773798	0.035134886899	0.392045454545
27C	80	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	-0.033279401789	0.165384615385	0.156926406926	0.076582506898	0.091403531855	0.033709993123	0.092253174472	0.046126587236	0.440909090909
27C	90	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	-0.072793282368	0.129678010219	0.156070653484	0.022727272727	0.058920663516	0.033709993123	0.105044828114	0.052522414057	0.456818181818
27C	100	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	-0.117903525046	0.118691112809	0.137834579214	0.004462803087	0.035771242516	0.033709993123	0.118164831418	0.059082415709	0.462500000000
27C	110	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	-0.134113865932	0.118691112809	0.120487483531	0.004462803087	0.027381883374	0.033709993123	0.120571126236	0.060285563118	0.462500000000
27C	120	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	-0.134113865932	0.118691112809	0.120487483531	0.004462803087	0.027381883374	0.033709993123	0.120571126236	0.060285563118	0.462500000000
27C	130	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	-0.134113865932	0.118691112809	0.120487483531	0.004462803087	0.027381883374	0.033709993123	0.120571126236	0.060285563118	0.462500000000
27C	140	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	-0.134113865932	0.118691112809	0.120487483531	0.004462803087	0.027381883374	0.033709993123	0.120571126236	0.060285563118	0.462500000000
27C	150	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	-0.134113865932	0.118691112809	0.120487483531	0.004462803087	0.027381883374	0.033709993123	0.120571126236	0.060285563118	0.462500000000
27C	160	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	-0.134113865932	0.118691112809	0.120487483531	0.004462803087	0.027381883374	0.033709993123	0.120571126236	0.060285563118	0.462500000000
27C	170	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	-0.117903525046	0.118691112809	0.137834579214	0.004462803087	0.035771242516	0.033709993123	0.118164831418	0.059082415709	0.462500000000
27C	180	f0bb075835b33b2c5c871665b6185fd26f69213fef17d791346427642c4ec5ce	bb8446e9279fedaa4a1d799404664d6e1847b66ea10818a1b28c3007c97735e7	4a091642e22fcee66da9307790583ed2536e945ea755790d2abf1051e9958d35	62194f34b70f6d23fe4f801d4c66f1ac3f07311844b4246bd27e6321bf20a275	-0.101816124534	0.118691112809	0.137834579214	0.022727272727	0.044359210054	0.033709993123	0.109693581643	0.054846790822	0.462500000000
