time v(gate) v(gfet) v(tripped) v(isense) v(cmp_soft) v(cmp_hard) v(trip_d) v(clr_d) v(fast_en) v(osc_clk) v(cmp_clk) v(vref) v(iptat) v(en_core) v(shp) v(shn) v(fault_n) v(gate_core) v(vdda) v(vdd) v(iovdd) v(iprof) v(osc_en_g) v(xtrip.icmp) v(xtrip.vth_soft) v(xtrip.vth_hard) v(dig_trip) v(cause1) v(cause0) v(sclk_pad) v(sdi_pad) v(soft0) v(soft1) v(soft2) v(soft3) v(soft4) v(soft5) v(soft6) v(soft7) v(hard0) v(hard1) v(hard2) v(hard3) v(hard4) v(hard5) v(hard6) v(hard7) v(sp0) v(sp1) v(sp2) v(sp3) v(sp4) v(sp5) v(sp6) v(sp7) v(sp8) v(sp9) v(sp10) v(sp11) v(sp12) v(sp13) v(sp14) v(sp15) v(inrush_active) v(soft_armed) i(vim) i(vma) i(vmi) i(v12) i(vm_bgr) i(vm_sense) i(vm_tripa) i(vm_tripd) i(vm_osc) i(vm_gatea) i(vm_gated) v(vref_buf) v(vped)
0 1.2457966323381994e-10 1.2457966323257412e-10 4.5833468754929914e-08 0.99843685248669056 0.6169040390494871 1.259649294886516e-07 0 0 0 0 0 1.0393032296708122 0.75624373743205098 0 2.1542489958388267e-07 9.5693316710795602e-08 3.2999999980514962 4.5833468762153213e-08 3.2994820518770052 1.1999018389881577 3.2999999998265666 1 0 0.49921722044271699 0.49998099074144847 0.49998058247477406 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0611536364411738e-09 0.0010358962492906798 3.5016789468045317e-10 -0.00019632202488484296 2.2036910616904165e-05 0.0010138557382448714 3.0308200810180708e-09 0.00019632136738261449 2.399954448497818e-12 5.6300828718655891e-10 6.527024159235415e-10 1.0391999298666295 0.9999270764160435
2.0000000000000001e-10 1.2457966323382063e-10 1.2457966323257412e-10 4.5833468260921738e-08 0.99843685248675096 0.61690403904990443 1.259649293707813e-07 0 0 0 0 0 1.0393032296708546 0.75624373743223661 0 2.1542489958394397e-07 9.5693316710831469e-08 3.2999999980514962 4.5833469560078108e-08 3.2994820518769843 1.1999018389881579 3.2999999998265674 1 0 0.49921722044254879 0.49998099074128582 0.4999805824748299 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0611536364411738e-09 0.0010358962493324242 3.5016611832361377e-10 -0.00019632202488439887 2.2036910616716164e-05 0.0010138557383703888 3.0308219273533841e-09 0.00019632136738295038 2.4005837736488372e-12 5.6301041117574591e-10 6.5270233889875926e-10 1.0391999298666617 0.99992707641455147
4.0000000000000001e-10 1.245796632338188e-10 1.2457966323257412e-10 4.5833468489763358e-08 0.9984368524866849 0.61690403904977087 1.2596492917545955e-07 0 0 0 0 0 1.0393032296708364 0.75624373743244633 0 2.1542489958380855e-07 9.56933167107744e-08 3.2999999980514962 4.5833468271298738e-08 3.2994820518769772 1.1999018389881577 3.2999999998265674 1 0 0.49921722044238975 0.49998099074113417 0.49998058247487687 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0611536364411738e-09 0.001035896249346635 3.5016611832361377e-10 -0.00019632202488484296 2.2036910616495854e-05 0.001013855738328883 3.03082195275082e-09 0.00019632136738300309 2.4005453928919313e-12 5.6301096398253451e-10 6.5270232456888085e-10 1.039199929866488 0.99992707641364775
8.0000000000000003e-10 1.2457966323381978e-10 1.2457966323257412e-10 4.5833469535026685e-08 0.99843685248641489 0.6169040390498618 1.2596492861496964e-07 0 0 0 0 0 1.0393032296707263 0.75624373743263795 0 2.154248995836933e-07 9.5693316710713308e-08 3.2999999980514962 4.5833468092918046e-08 3.299482051876967 1.1999018389881575 3.299999999826567 1 0 0.49921722044208072 0.49998099074084351 0.49998058247497357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0611536364411738e-09 0.0010358962493670631 3.5016700650203347e-10 -0.00019632202488528705 2.2036910616277279e-05 0.0010138557383172074 3.0308219258287248e-09 0.00019632136738327165 2.4002233577416487e-12 5.6301102483274617e-10 6.5270237802843888e-10 1.0391999298658121 0.99992707641237932
1.0000000000000001e-09 1.2457966323382275e-10 1.2457966323257412e-10 4.583346971956753e-08 0.99843685248671143 0.61690403904956381 1.2596492286918991e-07 0 0 0 0 0 1.0393032296707221 0.75624373743262885 0 2.1542489958401282e-07 9.5693316710833282e-08 3.2999999980514962 4.583347127920559e-08 3.299482051876963 1.1999018389881575 3.2999999998265683 1 0 0.49921722044207006 0.49998099074078989 0.4999805824751255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0611536364411738e-09 0.0010358962493750568 3.5016434196677437e-10 -0.00019632202488528705 2.2036910616736113e-05 0.0010138557383369442 3.0308238628033398e-09 0.00019632136738366668 2.3998948444833856e-12 5.6301115999882282e-10 6.5270231152569843e-10 1.039199929865644 0.99992707641341505
1.0015487136826643e-09 1.2457966323291211e-10 1.245796632325741e-10 5.303266240523119e-08 0.9984368563640903 0.61690405228070955 1.3857928216051936e-07 0 0 0 0 0 1.0393033944191652 0.75624374692552077 0 2.1542492887293351e-07 9.5693329772694144e-08 3.2999999980514962 6.0080305557317478e-08 3.2994820683432562 1.1999019188313169 3.2999999998265737 1 0 0.49921722443722849 0.49998110068089491 0.4999807730051703 0 0 0 0 0 0.0061948547306569374 0 0 0.0061948547306569374 0.0061948547306569374 0 0 0.0061948547306569374 0 0.0061948547306569374 0.0061948547306569374 0.0061948547306569374 0.0061948547306569374 0.0061948547306569374 0.0061948547306569374 0.0061948547306569374 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0061948547306569374 0 2.0611536364411734e-09 0.0010358633167886211 3.5015368382573797e-10 -0.00019616233856645238 2.2037596967505735e-05 0.0010138326996762745 -1.0640602132130147e-05 0.00014460464721629575 2.5317344520738722e-12 1.3778633147366447e-09 3.1865707250996851e-09 1.039200256453265 0.99992710353326042
1.0046461410479926e-09 1.245796953540937e-10 1.2457966323356899e-10 7.0005281958270129e-08 0.9984368643388738 0.61690408180261258 1.6611008541555184e-07 0 0 0 0 0 1.0393036134642992 0.75624375848391912 0 2.1542501839962143e-07 9.5693369640366805e-08 3.2999999980514962 9.0165317087898196e-08 3.2994821062949575 1.1999020914093446 3.2999999998265919 1 0 0.49921723141849478 0.49998130574966737 0.49998113242820935 0 0 0 0 0 0.018584564191969986 0 0 0.018584564191969986 0.018584564191969986 0 0 0.018584564191969986 0 0.018584564191969986 0.018584564191969986 0.018584564191969986 0.018584564191969986 0.018584564191969986 0.018584564191969986 0.018584564191969986 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018584564191969986 0 2.0611536364411734e-09 0.0010357874133859468 3.5011726851053027e-10 -0.00019581718251115987 2.2038083614450699e-05 0.0010138387629123405 -1.3964406486610746e-05 0.00013593416939946206 2.3814667956829211e-12 1.8994381968638076e-09 4.368884918675259e-09 1.0392006655482779 0.99992714050007991
1.0108409957786491e-09 1.2457975956103147e-10 1.2457966324152554e-10 1.1421991269787703e-07 0.99843687805725279 0.61690415758329475 2.2935939669020751e-07 0 0 0 0 0 1.039303711760587 0.75624376708407148 0 2.154252610973608e-07 9.5693477661838132e-08 3.2999999980514962 1.5258990593050213e-07 3.2994821855237277 1.1999024965351031 3.29999999982665 1 0 0.4992172404602393 0.49998159600719472 0.49998165706777492 0 0 0 0 0 0.043363983114596077 0 0 0.043363983114596077 0.043363983114596077 0 0 0.043363983114596077 0 0.043363983114596077 0.043363983114596077 0.043363983114596077 0.043363983114596077 0.043363983114596077 0.043363983114596077 0.043363983114596077 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.043363983114596077 0 2.0611536364411734e-09 0.0010356289558455245 3.5000091713754955e-10 -0.00019500693099416821 2.2038091116283187e-05 0.0010138527740364937 -1.1969624307898096e-05 0.0001240848600657866 2.3989051305302322e-12 1.8788463076267596e-09 6.4332098970352899e-09 1.0392009843537551 0.99992718998855534
1.0232307052399621e-09 1.2457985573018549e-10 1.2457966327730324e-10 2.1947878463441274e-07 0.99843690366940474 0.61690435693638623 3.6456664294598014e-07 0 0 0 0 0 1.0393039104224733 0.75624378406422887 0 2.1542575390321952e-07 9.5693696980863642e-08 3.2999999980514967 2.6089938736126009e-07 3.2994823342567905 1.1999034365500052 3.2999999998268024 1 0 0.49921725504852843 0.4999819853172609 0.49998236571276472 0 0 0 0 0 0.092922820959848274 0 0 0.092922820959848274 0.092922820959848274 0 0 0.092922820959848274 0 0.092922820959848274 0.092922820959848274 0.092922820959848274 0.092922820959848274 0.092922820959848274 0.092922820959848274 0.092922820959848274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.092922820959848274 0 2.061153636441173e-09 0.001035331489720015 3.4969627193959241e-10 -0.0001931269011898884 2.2038185185119241e-05 0.0010138539919144693 -1.2866027805873606e-05 0.00011229180118440057 2.3737473710825144e-12 2.0342926305495676e-09 9.4940186299212253e-09 1.0392015463055155 0.99992730386541662
1.0480101241625884e-09 1.2457995142481515e-10 1.2457966339636307e-10 4.1495409484855609e-07 0.99843696113637359 0.61690479355972383 5.9075222769070724e-07 0 0 0 0 0 1.0393042825660888 0.75624381451953848 0 2.1542678044340408e-07 9.5694153901374249e-08 3.2999999980514971 3.8976890823298016e-07 3.2994826543550917 1.1999054690507152 3.2999999998271856 1 0 0.49921728315220038 0.4999824345282306 0.49998314888016621 0 0 0 0 0 0.1920404966503535 0 0 0.1920404966503535 0.1920404966503535 0 0 0.1920404966503535 0 0.1920404966503535 0.1920404966503535 0.1920404966503535 0.1920404966503535 0.1920404966503535 0.1920404966503535 0.1920404966503535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1920404966503535 0 2.0611536364411718e-09 0.0010346912931176178 3.489297739633912e-10 -0.00018906189976997112 2.2038498187382238e-05 0.0010138655197257773 -1.4747914542623272e-05 0.00010582737628479914 2.4058215001340061e-12 2.6631168111657864e-09 1.2632255091857603e-08 1.0392024392840824 0.99992753547926361
