raw_key	baseline_min_v	new_min_v	delta_min_v	baseline_max_v	new_max_v	delta_max_v	baseline_ptp_v	new_ptp_v	delta_ptp_v	max_abs_interp_diff_v	rms_interp_diff_v	baseline_crossings	new_crossings
v(clk_out_div)	-1.575584126494e-01	-1.578497643919e-01	-2.913517425630e-04	1.403177207446e+00	1.403456624690e+00	2.794172438487e-04	1.560735620095e+00	1.561306389082e+00	5.707689864116e-04	1.094262335709e-03	3.359716765506e-04	20	20
v(pbit_out)	3.333513352359e-03	3.333574614307e-03	6.126194851408e-08	3.421687163570e-03	3.421523263904e-03	-1.638996655617e-07	8.817381121096e-05	8.794864959688e-05	-2.251616140758e-07	1.009009762215e-06	2.409447711417e-07	53	65
v(pbit_raw)	7.905002434414e-01	7.905004972440e-01	2.538026045995e-07	7.910659898211e-01	7.910661233621e-01	1.335409696157e-07	5.657463797416e-04	5.656261181066e-04	-1.202616349838e-07	1.619526412755e-06	3.911885081296e-07	21	21
v(x1.net1)	1.439125255859e+00	1.439125343479e+00	8.761959180426e-08	1.439336303799e+00	1.439335223116e+00	-1.080682358934e-06	2.110479393156e-04	2.098796373649e-04	-1.168301950738e-06	6.062545929275e-06	1.250127300800e-06	80	80
v(x1.net2)	1.439125255858e+00	1.439125343477e+00	8.761922276612e-08	1.439336303802e+00	1.439335223121e+00	-1.080681384824e-06	2.110479439885e-04	2.098796433809e-04	-1.168300607590e-06	6.062546762831e-06	1.250127379360e-06	80	80
v(x1.net3)	2.136131065285e+00	2.136154876189e+00	2.381090334325e-05	2.140371259770e+00	2.140405742048e+00	3.448227762748e-05	4.240194485158e-03	4.250865859442e-03	1.067137428423e-05	9.122414853291e-05	1.228438561264e-05	60	60
v(x1.net4)	2.136131065153e+00	2.136154876051e+00	2.381089811854e-05	2.140371260889e+00	2.140405743047e+00	3.448215849788e-05	4.240195736271e-03	4.250866996651e-03	1.067126037935e-05	9.122416426521e-05	1.228438356938e-05	60	60
v(x1.x3.cml_out_n)	6.357630635446e-01	6.357631393588e-01	7.581418626224e-08	6.360813576816e-01	6.360814576087e-01	9.992708549511e-08	3.182941370540e-04	3.183182499532e-04	2.411289923288e-08	6.198493014420e-07	1.208408453161e-07	21	21
v(x1.x3.cml_out_p)	5.990910093050e-01	5.990910127602e-01	3.455190578094e-09	5.993947327501e-01	5.993948337265e-01	1.009763215265e-07	3.037234451402e-04	3.038209662711e-04	9.752113094841e-08	1.277692276869e-06	2.440926403470e-07	21	21
