bondpad_instance,orientation,old_center_x_um,old_center_y_um,new_center_x_um,new_center_y_um,delta_x_um,delta_y_um
IO_BOND_pad01_vdd,N,395.0,106.0,395.0,102.0,0,-4
IO_BOND_pad02_vss,N,507.0,106.0,507.0,102.0,0,-4
IO_BOND_pad03_iovdd,N,619.0,106.0,619.0,102.0,0,-4
IO_BOND_pad04_iovss,N,731.0,106.0,731.0,102.0,0,-4
IO_BOND_pad05_vss,N,843.0,106.0,843.0,102.0,0,-4
IO_BOND_pad06_iovss,N,955.0,106.0,955.0,102.0,0,-4
IO_BOND_pad07_vdda,W,1244.0,395.0,1248.0,395.0,4,0
IO_BOND_pad08_sense_p,W,1244.0,507.0,1248.0,507.0,4,0
IO_BOND_pad09_sense_n,W,1244.0,619.0,1248.0,619.0,4,0
IO_BOND_pad10_gate,W,1244.0,731.0,1248.0,731.0,4,0
IO_BOND_pad11_fault_n,W,1244.0,843.0,1248.0,843.0,4,0
IO_BOND_pad12_en,W,1244.0,955.0,1248.0,955.0,4,0
IO_BOND_pad13_trip_set,FS,395.0,1244.0,395.0,1248.0,0,4
IO_BOND_pad14_sclk,FS,507.0,1244.0,507.0,1248.0,0,4
IO_BOND_pad15_sdi,FS,619.0,1244.0,619.0,1248.0,0,4
IO_BOND_pad16_sdo,FS,731.0,1244.0,731.0,1248.0,0,4
IO_BOND_pad17_temp_out,FS,843.0,1244.0,843.0,1248.0,0,4
IO_BOND_pad18_vref,FS,955.0,1244.0,955.0,1248.0,0,4
IO_BOND_pad19_g_shared,FW,106.0,395.0,102.0,395.0,-4,0
IO_BOND_pad20_d_std,FW,106.0,507.0,102.0,507.0,-4,0
IO_BOND_pad21_d_elt,FW,106.0,619.0,102.0,619.0,-4,0
IO_BOND_pad22_hbt_e,FW,106.0,731.0,102.0,731.0,-4,0
IO_BOND_pad23_hbt_b,FW,106.0,843.0,102.0,843.0,-4,0
IO_BOND_pad24_hbt_c,FW,106.0,955.0,102.0,955.0,-4,0
