artifact	source_sha256	source_bytes	publication_transform
p1_cml_div2_front.spice	64226d8548e664d3a26247817926b1f5bfc5a0cf0552d342861b21c03ef78652	5194	verbatim
source_README.md	245193f9a14fb930b099d9fd7d302d275b4c76660dc6a0fa6a762e2f5bb5af3a	5883	replaced_by_curated_public_README
