quantity,unit,schematic_586,pex_bgr586,delta
V_REF op 27C,V,1.04546022,1.04546022,+1.0e-10
I_PTAT op 27C,A,4.13413101e-06,4.13413102e-06,+1.1e-15
I_VDD op 27C,A,3.1969237e-04,3.1969237e-04,+8.7e-14
V_REF -40C,V,1.04403047,1.04403047,+1.8e-10
V_REF 27C (sweep),V,1.04546022,1.04546022,-2.1e-10
V_REF 125C,V,1.04401335,1.04401335,-8.5e-11
V_REF 25C,V,1.04544958,1.04544958,+9.9e-11
TC box -40..125C 5C grid,ppm/C,8.52982257,8.52982253,-3.5e-08
