 time                   v(vref)                v(isense)              v(gate)                v(vdd)                 v(vdda)                v(osc_clk)             v(cmp_clk)            
 6.004192060000000e-07  1.039303229536384e+00  9.984368335478730e-01  1.245796640247539e-10  1.199999996388266e+00  3.299482051604619e+00  1.096072799958614e+00  0.000000000000000e+00 
 6.005924179999999e-07  1.039303229535782e+00  9.984368335250426e-01  1.245796640242815e-10  1.199999996388619e+00  3.299482051604651e+00  8.882183999665418e-01  0.000000000000000e+00 
 6.009388419999998e-07  1.039303229534351e+00  9.984368334792402e-01  1.245796640233132e-10  1.199999996389331e+00  3.299482051604720e+00  4.725095999823964e-01  0.000000000000000e+00 
 6.013326000000000e-07  1.039303229532917e+00  9.984368334281516e-01  1.245796640222233e-10  1.199999996390148e+00  3.299482051604797e+00  5.284661597016242e-14  0.000000000000000e+00 
 6.013337138633582e-07  1.039303229532894e+00  9.984368334280392e-01  1.245796640225463e-10  1.199999996390150e+00  3.299482051604795e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.013359415900747e-07  1.039303229532880e+00  9.984368334277982e-01  1.245796640229220e-10  1.199999996390156e+00  3.299482051604790e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.013403970435077e-07  1.039303229532859e+00  9.984368334272378e-01  1.245796640246097e-10  1.199999996390167e+00  3.299482051604782e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.013493079503736e-07  1.039303229532807e+00  9.984368334261522e-01  1.245796640230801e-10  1.199999996390185e+00  3.299482051604780e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.013671297641054e-07  1.039303229532787e+00  9.984368334240302e-01  1.245796640188084e-10  1.199999996390220e+00  3.299482051604784e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.014027733915691e-07  1.039303229532692e+00  9.984368334199447e-01  1.245796640206538e-10  1.199999996390293e+00  3.299482051604792e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.014740606464965e-07  1.039303229532505e+00  9.984368334120534e-01  1.245796640222377e-10  1.199999996390441e+00  3.299482051604808e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.016166351563513e-07  1.039303229532194e+00  9.984368333948707e-01  1.245796640214295e-10  1.199999996390740e+00  3.299482051604843e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.019017841760608e-07  1.039303229532107e+00  9.984368333573189e-01  1.245796640205021e-10  1.199999996391331e+00  3.299482051604901e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.024720822154798e-07  1.039303229530772e+00  9.984368332805503e-01  1.245796640192909e-10  1.199999996392508e+00  3.299482051605021e+00  0.000000000000000e+00  0.000000000000000e+00 
