 time            v(gate)         v(gfet)         v(tripped)      v(isense)       v(cmp_soft)     v(cmp_hard)     v(cmp_clk)      v(trip_d)       v(osc_clk)      v(vref)         v(en_core)      v(shp)          v(fault_n)      v(vdda)         v(vdd)          v(iprof)        v(icmp)         v(vth_soft)     v(vth_hard)     v(dig_trip)     v(inrush_active) i(vim)          i(vma)          i(vmi)          i(v12)         
 1.20000000e-06  1.92897727e-09  1.92897728e-09  4.58366104e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89726418e-10  2.22404734e-09 -1.57294413e-09 
 1.30000000e-06  1.92897726e-09  1.92897728e-09  4.58366104e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286333e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89718750e-10  2.22404672e-09 -1.57294400e-09 
 1.40000000e-06  1.92897727e-09  1.92897728e-09  4.58366102e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89722031e-10  2.22404672e-09 -1.57294443e-09 
 1.50000000e-06  1.92897731e-09  1.92897728e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89718496e-10  2.22404584e-09 -1.57294436e-09 
 1.60000000e-06  1.92897729e-09  1.92897729e-09  4.58366104e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89719730e-10  2.22404703e-09 -1.57294429e-09 
 1.70000000e-06  1.92897727e-09  1.92897729e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89720669e-10  2.22404672e-09 -1.57294444e-09 
 1.80000000e-06  1.92897727e-09  1.92897728e-09  4.58366104e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89718786e-10  2.22404644e-09 -1.57294444e-09 
 1.90000000e-06  1.92897727e-09  1.92897727e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89716287e-10  2.22404658e-09 -1.57294407e-09 
 2.00000000e-06  1.92897727e-09  1.92897728e-09  4.58366105e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89715832e-10  2.22404584e-09 -1.57294444e-09 
 2.10000000e-06  1.92897727e-09  1.92897727e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89717012e-10  2.22404687e-09 -1.57294400e-09 
 2.20000000e-06  1.92897729e-09  1.92897727e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89718787e-10  2.22404613e-09 -1.57294430e-09 
 2.30000000e-06  1.92897726e-09  1.92897726e-09  4.58366104e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89717592e-10  2.22404629e-09 -1.57294422e-09 
 2.40000000e-06  1.92897728e-09  1.92897727e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89716687e-10  2.22404703e-09 -1.57294429e-09 
 2.50000000e-06  1.92897727e-09  1.92897727e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89716720e-10  2.22404656e-09 -1.57294408e-09 
 2.60000000e-06  1.92897731e-09  1.92897727e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89714022e-10  2.22404760e-09 -1.57294444e-09 
 2.70000000e-06  1.92897727e-09  1.92897727e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89708095e-10  2.22404609e-09 -1.57294406e-09 
 2.80000000e-06  1.92897727e-09  1.92897727e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89713508e-10  2.22404522e-09 -1.57294413e-09 
 2.90000000e-06  1.92897725e-09  1.92897727e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89717709e-10  2.22404714e-09 -1.57294379e-09 
 3.00000000e-06  1.92897726e-09  1.92897726e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89716156e-10  2.22404551e-09 -1.57294416e-09 
 3.10000000e-06  4.16182300e-01  1.24149218e-01  4.58365849e-08  9.99199988e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  3.92724874e-10  3.28537005e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599983e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  1.03272695e-08  5.80613091e-10  2.92065190e-02 -1.76645167e-09 
 3.20000000e-06  9.84116788e-01  7.00576203e-01  4.58366103e-08  9.99203102e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  8.24560546e-07  3.28579021e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99600531e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.35579632e-05  5.89592375e-10  2.83606258e-02 -1.77006454e-09 
 3.30000000e-06  1.52085454e+00  1.25333074e+00  4.58366104e-08  1.00421442e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  1.26565294e-03  3.28656210e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  5.00514376e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  3.61615310e-02  5.89591487e-10  2.67641961e-02 -1.77006648e-09 
 3.40000000e-06  2.00029866e+00  1.76184570e+00  4.58366102e-08  1.34474056e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  3.39551068e-02  3.28797171e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  6.18387352e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  9.70145920e-01  5.89592119e-10  2.38649379e-02 -1.77006454e-09 
 3.50000000e-06  2.39254137e+00  2.19735763e+00  4.58366104e-08  1.48717261e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  3.49968997e-02  3.29010130e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.34363725e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  9.99911417e-01  5.89591085e-10  1.95437610e-02 -1.77006503e-09 
