 time            v(vref)         v(isense)       v(gate)         v(vdd)          v(vdda)         v(osc_clk)      v(cmp_clk)     
 0.00000000e+00  1.03784794e+00  9.97130986e-01  1.24579663e-10  1.19990099e+00  3.29947866e+00  0.00000000e+00  0.00000000e+00 
 2.00000000e-11  1.03784794e+00  9.97130986e-01  1.24579663e-10  1.19990099e+00  3.29947866e+00  0.00000000e+00  0.00000000e+00 
 4.00000000e-11  1.03784794e+00  9.97130986e-01  1.24579663e-10  1.19990099e+00  3.29947866e+00  0.00000000e+00  0.00000000e+00 
 8.00000000e-11  1.03784794e+00  9.97130986e-01  1.24579663e-10  1.19990099e+00  3.29947866e+00  0.00000000e+00  0.00000000e+00 
 1.60000000e-10  1.03784794e+00  9.97130986e-01  1.24579663e-10  1.19990099e+00  3.29947866e+00  0.00000000e+00  0.00000000e+00 
 3.20000000e-10  1.03784794e+00  9.97130986e-01  1.24579663e-10  1.19990099e+00  3.29947866e+00  0.00000000e+00  0.00000000e+00 
 6.40000000e-10  1.03784794e+00  9.97130986e-01  1.24579663e-10  1.19990099e+00  3.29947866e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-09  1.03784794e+00  9.97130986e-01  1.24579663e-10  1.19990099e+00  3.29947866e+00  0.00000000e+00  0.00000000e+00 
 1.01518078e-09  1.03784817e+00  9.97131006e-01  1.24579756e-10  1.19990194e+00  3.29947884e+00  0.00000000e+00  0.00000000e+00 
 1.04554235e-09  1.03784881e+00  9.97131054e-01  1.24579790e-10  1.19990405e+00  3.29947920e+00  0.00000000e+00  0.00000000e+00 
 1.10626548e-09  1.03785001e+00  9.97131192e-01  1.24579782e-10  1.19990805e+00  3.29948004e+00  0.00000000e+00  0.00000000e+00 
 1.14961694e-09  1.03785013e+00  9.97131305e-01  1.24579702e-10  1.19990942e+00  3.29948058e+00  0.00000000e+00  0.00000000e+00 
 1.18812189e-09  1.03784827e+00  9.97131282e-01  1.24579599e-10  1.19990923e+00  3.29947988e+00  0.00000000e+00  0.00000000e+00 
 1.23932584e-09  1.03783482e+00  9.97130270e-01  1.24579285e-10  1.19990748e+00  3.29947138e+00  0.00000000e+00  0.00000000e+00 
 1.26898369e-09  1.03781845e+00  9.97128856e-01  1.24579085e-10  1.19990654e+00  3.29946091e+00  0.00000000e+00  0.00000000e+00 
 1.29877440e-09  1.03779560e+00  9.97126638e-01  1.24578922e-10  1.19990673e+00  3.29944587e+00  0.00000000e+00  0.00000000e+00 
 1.33001164e-09  1.03776735e+00  9.97123344e-01  1.24578601e-10  1.19990646e+00  3.29942521e+00  0.00000000e+00  0.00000000e+00 
 1.36309168e-09  1.03774249e+00  9.97119025e-01  1.24578511e-10  1.19990611e+00  3.29940105e+00  0.00000000e+00  0.00000000e+00 
 1.40389843e-09  1.03773499e+00  9.97112424e-01  1.24578277e-10  1.19990574e+00  3.29936692e+00  0.00000000e+00  0.00000000e+00 
 1.46905214e-09  1.03778823e+00  9.97097952e-01  1.24577892e-10  1.19990533e+00  3.29929850e+00  0.00000000e+00  0.00000000e+00 
 1.50040708e-09  1.03784052e+00  9.97088946e-01  1.24577631e-10  1.19990521e+00  3.29925901e+00  0.00000000e+00  0.00000000e+00 
 1.52801660e-09  1.03789814e+00  9.97079694e-01  1.24577439e-10  1.19990496e+00  3.29922061e+00  0.00000000e+00  0.00000000e+00 
 1.55949114e-09  1.03797593e+00  9.97067498e-01  1.24577160e-10  1.19990394e+00  3.29917278e+00  0.00000000e+00  0.00000000e+00 
 1.59063705e-09  1.03806645e+00  9.97053557e-01  1.24576960e-10  1.19990258e+00  3.29912109e+00  0.00000000e+00  0.00000000e+00 
 1.60786866e-09  1.03812326e+00  9.97045003e-01  1.24576861e-10  1.19990228e+00  3.29909065e+00  0.00000000e+00  0.00000000e+00 
 1.63156378e-09  1.03821179e+00  9.97032206e-01  1.24576768e-10  1.19990274e+00  3.29904660e+00  0.00000000e+00  0.00000000e+00 
 1.65496083e-09  1.03831490e+00  9.97018371e-01  1.24576639e-10  1.19990385e+00  3.29900072e+00  0.00000000e+00  0.00000000e+00 
 1.67913451e-09  1.03844498e+00  9.97002810e-01  1.24576482e-10  1.19990524e+00  3.29895101e+00  0.00000000e+00  0.00000000e+00 
