 time            v(vref)         v(isense)       v(gate)         v(vdd)          v(vdda)         v(osc_clk)      v(cmp_clk)     
 2.46552620e-09  1.04338325e+00  9.97345891e-01  1.24575753e-10  1.19992270e+00  3.29736120e+00  0.00000000e+00  0.00000000e+00 
 2.50399894e-09  1.04326081e+00  9.97267343e-01  1.24576899e-10  1.19992788e+00  3.29732523e+00  0.00000000e+00  0.00000000e+00 
 2.54157725e-09  1.04305946e+00  9.97192090e-01  1.24577944e-10  1.19993290e+00  3.29730352e+00  0.00000000e+00  0.00000000e+00 
 2.57818876e-09  1.04278544e+00  9.97120730e-01  1.24578832e-10  1.19993757e+00  3.29729341e+00  0.00000000e+00  0.00000000e+00 
 2.62535930e-09  1.04232236e+00  9.97032454e-01  1.24579783e-10  1.19994317e+00  3.29729282e+00  0.00000000e+00  0.00000000e+00 
 2.67164498e-09  1.04177143e+00  9.96950887e-01  1.24580458e-10  1.19994821e+00  3.29730226e+00  0.00000000e+00  0.00000000e+00 
 2.73440310e-09  1.04090137e+00  9.96850001e-01  1.24581038e-10  1.19995435e+00  3.29732526e+00  0.00000000e+00  0.00000000e+00 
 2.79153866e-09  1.04003114e+00  9.96769543e-01  1.24581329e-10  1.19995932e+00  3.29735317e+00  0.00000000e+00  0.00000000e+00 
 2.85759046e-09  1.03902840e+00  9.96692718e-01  1.24581616e-10  1.19996440e+00  3.29739169e+00  0.00000000e+00  0.00000000e+00 
 2.91789304e-09  1.03819244e+00  9.96639316e-01  1.24581847e-10  1.19996848e+00  3.29743249e+00  0.00000000e+00  0.00000000e+00 
 2.99760497e-09  1.03726295e+00  9.96593468e-01  1.24582140e-10  1.19997318e+00  3.29749410e+00  0.00000000e+00  0.00000000e+00 
 3.06822159e-09  1.03662652e+00  9.96575230e-01  1.24582336e-10  1.19997675e+00  3.29755492e+00  0.00000000e+00  0.00000000e+00 
 3.14475284e-09  1.03613958e+00  9.96576974e-01  1.24582564e-10  1.19998009e+00  3.29762639e+00  0.00000000e+00  0.00000000e+00 
 3.21510686e-09  1.03585536e+00  9.96595885e-01  1.24582728e-10  1.19998274e+00  3.29769686e+00  0.00000000e+00  0.00000000e+00 
 3.30286957e-09  1.03566567e+00  9.96638814e-01  1.24582947e-10  1.19998556e+00  3.29779072e+00  0.00000000e+00  0.00000000e+00 
 3.38050079e-09  1.03562256e+00  9.96691879e-01  1.24583092e-10  1.19998768e+00  3.29787824e+00  0.00000000e+00  0.00000000e+00 
 3.46923385e-09  1.03570031e+00  9.96766478e-01  1.24583161e-10  1.19998974e+00  3.29798118e+00  0.00000000e+00  0.00000000e+00 
 3.54953396e-09  1.03585998e+00  9.96843773e-01  1.24583172e-10  1.19999130e+00  3.29807483e+00  0.00000000e+00  0.00000000e+00 
 3.64298410e-09  1.03610750e+00  9.96941464e-01  1.24583075e-10  1.19999284e+00  3.29818177e+00  0.00000000e+00  0.00000000e+00 
 3.74781387e-09  1.03643245e+00  9.97056911e-01  1.24582920e-10  1.19999425e+00  3.29829652e+00  0.00000000e+00  0.00000000e+00 
 3.85326362e-09  1.03677082e+00  9.97175321e-01  1.24582700e-10  1.19999540e+00  3.29840451e+00  0.00000000e+00  0.00000000e+00 
 3.97491607e-09  1.03709519e+00  9.97310094e-01  1.24582393e-10  1.19999646e+00  3.29851842e+00  0.00000000e+00  0.00000000e+00 
 4.08787832e-09  1.03729909e+00  9.97431231e-01  1.24582105e-10  1.19999723e+00  3.29861351e+00  0.00000000e+00  0.00000000e+00 
 4.21673699e-09  1.03743332e+00  9.97563848e-01  1.24581817e-10  1.19999792e+00  3.29870968e+00  0.00000000e+00  0.00000000e+00 
 4.36811409e-09  1.03750273e+00  9.97711832e-01  1.24581506e-10  1.19999853e+00  3.29880736e+00  0.00000000e+00  0.00000000e+00 
 4.51246253e-09  1.03751874e+00  9.97844852e-01  1.24581218e-10  1.19999895e+00  3.29888694e+00  0.00000000e+00  0.00000000e+00 
 4.67342780e-09  1.03750056e+00  9.97983341e-01  1.24580964e-10  1.19999930e+00  3.29896219e+00  0.00000000e+00  0.00000000e+00 
 4.83293201e-09  1.03744793e+00  9.98109969e-01  1.24580741e-10  1.19999954e+00  3.29902442e+00  0.00000000e+00  0.00000000e+00 
 4.98087582e-09  1.03737138e+00  9.98218158e-01  1.24580583e-10  1.19999969e+00  3.29907255e+00  0.00000000e+00  0.00000000e+00 
 5.11900120e-09  1.03728627e+00  9.98311650e-01  1.24580424e-10  1.19999980e+00  3.29911026e+00  0.00000000e+00  0.00000000e+00 
 5.28494075e-09  1.03721201e+00  9.98415367e-01  1.24580299e-10  1.19999989e+00  3.29914790e+00  0.00000000e+00  0.00000000e+00 
 5.47170462e-09  1.03727279e+00  9.98521268e-01  1.24580169e-10  1.19999995e+00  3.29918245e+00  0.00000000e+00  0.00000000e+00 
 5.70032792e-09  1.03748060e+00  9.98630587e-01  1.24580075e-10  1.19999998e+00  3.29921735e+00  0.00000000e+00  0.00000000e+00 
 5.96890673e-09  1.03769729e+00  9.98726710e-01  1.24580026e-10  1.20000001e+00  3.29925227e+00  0.00000000e+00  0.00000000e+00 
 6.16188649e-09  1.03787543e+00  9.98776822e-01  1.24580014e-10  1.20000001e+00  3.29927483e+00  0.00000000e+00  0.00000000e+00 
 6.37803645e-09  1.03816525e+00  9.98816132e-01  1.24579988e-10  1.20000001e+00  3.29929887e+00  0.00000000e+00  0.00000000e+00 
 6.66119984e-09  1.03866884e+00  9.98839528e-01  1.24579988e-10  1.20000001e+00  3.29932963e+00  0.00000000e+00  0.00000000e+00 
