 time            v(gate)         v(gfet)         v(tripped)      v(isense)       v(cmp_soft)     v(cmp_hard)     v(trip_d)       v(osc_clk)      v(vref)         v(en_core)      v(shp)          v(fault_n)      v(vdda)         v(vdd)          v(iprof)        v(xtrip.icmp)   v(xtrip.vth_soft) v(xtrip.vth_hard) v(dig_trip)     i(vim)          i(vma)          i(vmi)          i(v12)         
 2.60000000e-07  1.24579664e-10  1.24579664e-10  4.58400304e-08  9.97144226e-01  1.10070296e-07  1.19999992e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15130987e-07  3.30000000e+00  3.29947867e+00  1.19999999e+00  1.00000000e+00  4.98613181e-01  7.98860786e-01  9.96623555e-01  0.00000000e+00  2.06115364e-09  1.04266617e-03  3.50183340e-10 -1.03078954e-08 
 2.80000000e-07  1.24579664e-10  1.24579664e-10  4.58400315e-08  9.97137802e-01  1.10070286e-07  1.19999991e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15130410e-07  3.30000000e+00  3.29947867e+00  1.20000000e+00  1.00000000e+00  4.98601540e-01  7.98868513e-01  9.96623403e-01  0.00000000e+00  2.06115364e-09  1.04266810e-03  3.50180699e-10 -9.85310495e-09 
 3.00000000e-07  1.24579664e-10  1.24579664e-10  4.58400420e-08  9.97134330e-01  1.10070275e-07  1.19999990e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15130054e-07  3.30000000e+00  3.29947867e+00  1.20000000e+00  1.00000000e+00  4.98593558e-01  7.98871761e-01  9.96623327e-01  0.00000000e+00  2.06115364e-09  1.04266980e-03  3.50185146e-10 -9.47197989e-09 
 3.20000000e-07  1.24579664e-10  1.24579664e-10  4.58400552e-08  9.97132526e-01  1.10070266e-07  1.19999990e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129834e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98588121e-01  7.98872857e-01  9.96623291e-01  0.00000000e+00  2.06115364e-09  1.04267119e-03  3.50184781e-10 -9.14702787e-09 
 3.40000000e-07  1.24579664e-10  1.24579664e-10  4.58400674e-08  9.97131625e-01  1.10070262e-07  1.19999989e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129698e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98584376e-01  7.98872957e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267225e-03  3.50183663e-10 -8.86797872e-09 
 3.60000000e-07  1.24579664e-10  1.24579664e-10  4.58400772e-08  9.97131198e-01  1.10070259e-07  1.19999988e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129612e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98581744e-01  7.98872613e-01  9.96623269e-01  0.00000000e+00  2.06115364e-09  1.04267303e-03  3.50181271e-10 -8.62592328e-09 
 3.80000000e-07  1.24579664e-10  1.24579664e-10  4.58400848e-08  9.97131009e-01  1.10070255e-07  1.19999988e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129558e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98579828e-01  7.98872097e-01  9.96623268e-01  0.00000000e+00  2.06115364e-09  1.04267360e-03  3.50182633e-10 -8.41343473e-09 
 4.00000000e-07  1.24579664e-10  1.24579664e-10  4.58400902e-08  9.97130934e-01  1.10070253e-07  1.19999987e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129524e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98578376e-01  7.98871535e-01  9.96623268e-01  0.00000000e+00  2.06115364e-09  1.04267400e-03  3.50181682e-10 -8.22599583e-09 
 4.20000000e-07  1.24579664e-10  1.24579664e-10  4.58400947e-08  9.97130911e-01  1.10070247e-07  1.19999987e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129502e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98577227e-01  7.98870983e-01  9.96623269e-01  0.00000000e+00  2.06115364e-09  1.04267429e-03  3.50180253e-10 -8.05921497e-09 
 4.40000000e-07  1.24579664e-10  1.24579664e-10  4.58400973e-08  9.97130908e-01  1.10070246e-07  1.19999987e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129487e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98576284e-01  7.98870465e-01  9.96623270e-01  0.00000000e+00  2.06115364e-09  1.04267449e-03  3.50183084e-10 -7.91007056e-09 
