artifact	source_sha256	source_bytes	publication_transform
p1_cml_div2_front_isothermal.spice	8cefff9bf4564330d8b2d91656be2917179f42ef416a936a8d402533fb896fdd	5370	verbatim
tb_p1_cml_div2_front_dc_op_isothermal.cir	ce3d915fc93b91f929a3d47dffcfbed81fabeef6a567acfd57f69993065e1eeb	1709	paths_sanitized
evidence/tb_p1_cml_div2_front_dc_op_isothermal.log	9d85986ef876af34ee817d6f2e31863629cc5271ec42208777eb491532f5dfc6	804	verbatim
raw_tb_p1_cml_div2_front_dc_op_isothermal.raw	a34ab7e1c1c8f33383ed88c033349f742d34c1e9450dcd1d94ca3a48c8970e16	11428	verbatim
openada-result.json	47bb6f3f0719317a12db2406db60f4080aea2024c720bc3c6655fd9f6db43a51	7661	paths_sanitized
preflight.json	0f74657ce25f2bd8a14fb41b29c206928f372a0950fc1e22de74bb5e383b17c7	2244	paths_sanitized
evidence/tb_p1_cml_div2_front_dc_op_isothermal.openada-control.sp	8bc6937e6c45cfc1e993feb9778347fe99abc382b6871d29c53d8167b2c91c6e	190	source_path_sanitized
source_README.md	739a71954f6358c026c607d91000c18377cfb7c0e362e5ea5bc093048e50758a	5676	replaced_by_curated_public_README
