Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;$3;$4;0.121;
C2;$3;$5;0.52;
C3;$3;in;0.032;
C4;$3;out;0.07;
C5;$3;vdda;0.07;
C6;$3;vss;0.339;
C7;$3;VSUBS;0.394;
C8;$4;$5;0.234;
C9;$4;in;0.389;
C10;$4;out;0.004;
C11;$4;vdd;0.21;
C12;$4;vdda;0.024;
C13;$4;vss;0.431;
C14;$4;VSUBS;1.268;
C15;$5;in;0.101;
C16;$5;out;0.293;
C17;$5;vdd;0.0;
C18;$5;vdda;0.48;
C19;$5;vss;0.676;
C20;$5;VSUBS;1.772;
C21;in;vdd;0.033;
C22;in;vdda;0.001;
C23;in;vss;0.344;
C24;out;vdda;0.239;
C25;out;vss;0.099;
C26;vdd;vdda;0.018;
C27;vdda;vss;0.012;
C28;VSUBS;in;1.844;
C29;VSUBS;out;0.624;
C30;VSUBS;vdd;0.332;
C31;VSUBS;vdda;1.037;
C32;VSUBS;vss;1.336;
