 time                   v(vref)                i(vload)               i(vdd)                 v(vbe)                 v(dvbe)                v(pbias)               v(pcasc)               v(xbgr.c2)             v(xbgr.vbe3)           v(xbgr.vd1)            v(xbgr.vd2)           
 2.000000000000000e-06  1.746115257556592e-03 -4.839011590920381e-06  4.819019276539046e-06  1.239653838507117e-02  4.254935533220132e-06  1.277573541459195e-01  1.309598828427029e-01  1.386010645815693e-02  1.750195976110302e-03  5.946104111800297e-02  2.480857819322316e-02 
 2.000609763721655e-06  1.745841126524662e-03 -4.821187666670495e-06  4.819007729457406e-06  1.239317746099597e-02  1.173887960000786e-06  1.277933514239165e-01  1.309192675037598e-01  1.385674240320823e-02  1.749150301397396e-03  5.947112099059183e-02  2.481272765682909e-02 
 2.001829291164966e-06  1.745329390140435e-03 -4.821716591379312e-06  4.822306876930177e-06  1.238836957172126e-02 -1.700510830748511e-06  1.278610783442693e-01  1.308402282045272e-01  1.385179443192340e-02  1.747433079223842e-03  5.947885589341098e-02  2.481624848138284e-02 
 2.004268346051586e-06  1.744340303065912e-03 -4.823892877560638e-06  4.826061606303967e-06  1.238230182034278e-02 -1.453752483960099e-06  1.279766090585970e-01  1.306887165728597e-01  1.384518606385318e-02  1.744567391813225e-03  5.946343399690755e-02  2.481147409603669e-02 
 2.009146455824827e-06  1.742354013218737e-03 -4.827365431294763e-06  4.830066193180815e-06  1.237098027199978e-02 -1.386265675010301e-06  1.281580769933290e-01  1.304101808682331e-01  1.383293391153553e-02  1.741181095001365e-03  5.942910259376866e-02  2.480014689053293e-02 
 2.016495906110064e-06  1.739808373824646e-03 -4.832029029158884e-06  4.833969734062405e-06  1.235701285154031e-02 -1.020757726481603e-06  1.283636364112662e-01  1.300664272990203e-01  1.381782224617032e-02  1.738906886432735e-03  5.938739616363057e-02  2.478620193811817e-02 
 2.026875797549202e-06  1.737194103164904e-03 -4.836416555101053e-06  4.837762318970932e-06  1.234257759714888e-02 -7.240346533724789e-07  1.285716820102862e-01  1.297152087581583e-01  1.380233185689670e-02  1.736471077106381e-03  5.934360337873610e-02  2.477150746432086e-02 
 2.046069635433446e-06  1.734304960159762e-03 -4.841662714796665e-06  4.842068360875324e-06  1.232628521533335e-02 -3.395061365619540e-07  1.287977622554211e-01  1.293294078546989e-01  1.378521256329494e-02  1.733919952633353e-03  5.929615395651969e-02  2.475555463853850e-02 
 2.084457311201934e-06  1.732059100280359e-03 -4.845342945917422e-06  4.845305722525970e-06  1.231259571948537e-02 -9.501205338792196e-08  1.289609367633896e-01  1.290377679997944e-01  1.377191662059733e-02  1.731806504082531e-03  5.925879418575710e-02  2.474284171372963e-02 
 2.128667031603265e-06  1.731541511946496e-03 -4.846341505626911e-06  4.846098274599961e-06  1.230814832789082e-02 -1.829676091577009e-08  1.289828354638781e-01  1.289809244962630e-01  1.376890010357917e-02  1.731429448041583e-03  5.925088154744661e-02  2.473997146834143e-02 
 2.195507475807429e-06  1.731335714070175e-03 -4.846385024856465e-06  4.846328854007152e-06  1.230518512130691e-02 -2.575963411313876e-08  1.289767376563647e-01  1.289683928540825e-01  1.376781298120804e-02  1.731203258817672e-03  5.924749207485714e-02  2.473857284600347e-02 
 2.291304857666399e-06  1.731202648081200e-03 -4.846683090683920e-06  4.846539161270919e-06  1.230291723769487e-02  2.809857828907998e-09  1.289680000654039e-01  1.289639098362469e-01  1.376731201122062e-02  1.731183035288711e-03  5.924594869979578e-02  2.473783433280481e-02 
 2.482899621384338e-06  1.731086279439166e-03 -4.846551134117590e-06  4.846598073828733e-06  1.230119574741556e-02 -1.033110540841028e-08  1.289620706389003e-01  1.289602382173659e-01  1.376735903399915e-02  1.731036524876564e-03  5.924395696317369e-02  2.473697811327171e-02 
 2.866089148820215e-06  1.731088137926627e-03 -4.846590355846479e-06  4.846515577506419e-06  1.230178804302205e-02  1.328764214874534e-08  1.289640101019422e-01  1.289636544421707e-01  1.376908085023916e-02  1.731124622747313e-03  5.924435027513915e-02  2.473710985820359e-02 
 3.452631835018990e-06  1.731181197376869e-03 -4.846071640558920e-06  4.846137852620413e-06  1.230433178272917e-02 -7.344600922592014e-09  1.289732403318461e-01  1.289725380607278e-01  1.377234165390242e-02  1.731147078178020e-03  5.924539113371837e-02  2.473760142092583e-02 
 4.402726039213673e-06  1.731329448978227e-03 -4.845729194721473e-06  4.845653421266602e-06  1.230836011699126e-02  1.309751460352772e-08  1.289875053118069e-01  1.289870680039361e-01  1.377760723781277e-02  1.731365106219081e-03  5.924792011517780e-02  2.473867935761876e-02 
 6.302914447603039e-06  1.731623560895303e-03 -4.844480142782007e-06  4.844546576448771e-06  1.231642420790947e-02 -7.288558691356092e-09  1.290164448666015e-01  1.290157681328148e-01  1.378811768208278e-02  1.731589637018805e-03  5.925194012881508e-02  2.474047945658505e-02 
 1.010329126438177e-05  1.732215278585358e-03 -4.842545587709239e-06  4.842469741602808e-06  1.233255879908319e-02  1.307253609592798e-08  1.290740082553608e-01  1.290735610133229e-01  1.380915682453532e-02  1.732250869310593e-03  5.926103227907031e-02  2.474444221586030e-02 
 1.770404489793924e-05  1.733395031440240e-03 -4.838115320769794e-06  4.838181782272995e-06  1.236478676867637e-02 -7.282025954602317e-09  1.291894263145081e-01  1.291887543929029e-01  1.385117431496652e-02  1.733361136314477e-03  5.927816154029125e-02  2.475200358334497e-02 
 3.290555216505417e-05  1.735758772338028e-03 -4.829824201844964e-06  4.829748338176412e-06  1.242917221865521e-02  1.305919817813274e-08  1.294200073742841e-01  1.294195584146757e-01  1.393510965948975e-02  1.735794350051362e-03  5.931347923735759e-02  2.476749148683900e-02 
 6.330856669928403e-05  1.740483706389648e-03 -4.812706038867139e-06  4.812772499131932e-06  1.255755891034328e-02 -7.295746933663050e-09  1.298815112391830e-01  1.298808413343061e-01  1.410243742238155e-02  1.740449818381870e-03  5.938306612042063e-02  2.479810372596115e-02 
 1.241145957677437e-04  1.749938785202743e-03 -4.779248813026312e-06  4.779172934023874e-06  1.281290603287958e-02  1.302543395345209e-08  1.308041532048398e-01  1.308037057744751e-01  1.443507978585497e-02  1.749974360326666e-03  5.952327127196590e-02  2.485967328579289e-02 
 2.000000000000000e-04  1.761742925765771e-03 -4.737312475513907e-06  4.737378915850843e-06  1.312891624227160e-02 -7.342461602681500e-09  1.319561441620305e-01  1.319554775245730e-01  1.484646362905769e-02  1.761709041318646e-03  5.969748169525089e-02  2.493623658573352e-02 
 2.121612058136920e-04  1.763636576329002e-03 -4.730738981790862e-06  4.730734252236716e-06  1.317925819788440e-02  2.823649965325456e-09  1.321407602738714e-01  1.321402039618497e-01  1.491196563362334e-02  1.763637420629660e-03  5.972563936710625e-02  2.494858820493219e-02 
 2.364836174410758e-04  1.767422784064386e-03 -4.717424075917161e-06  4.717419345378628e-06  1.327978674554732e-02  2.816434294436838e-09  1.325100790750177e-01  1.325095236956194e-01  1.504275222764844e-02  1.767423631130370e-03  5.978160095606302e-02  2.497316816606503e-02 
 2.851284406958436e-04  1.774995884159187e-03 -4.690928619766888e-06  4.690923880246465e-06  1.347996179464013e-02  2.798964442519222e-09  1.332486552197387e-01  1.332481004526477e-01  1.530308714773910e-02  1.774996728929692e-03  5.989350771903874e-02  2.502231465801270e-02 
 3.824180872053791e-04  1.790150696685743e-03 -4.638267919560824e-06  4.638263165340012e-06  1.387687354265224e-02  2.768382751109236e-09  1.347262054580189e-01  1.347256530303313e-01  1.581893090370199e-02  1.790151545370688e-03  6.011734833014268e-02  2.512060160313862e-02 
 5.769973802244502e-04  1.820489724727370e-03 -4.534374269427619e-06  4.534369482148491e-06  1.465740781499196e-02  2.706171228533366e-09  1.376824491541131e-01  1.376818999915264e-01  1.683199741347025e-02  1.820490572410781e-03  6.056507418003707e-02  2.531712024661986e-02 
 7.769973802244502e-04  1.851711880477116e-03 -4.429513659327935e-06  4.429508837527920e-06  1.544199393283113e-02  2.648326078371212e-09  1.407226107943228e-01  1.407220655735769e-01  1.784854970335036e-02  1.851712732994092e-03  6.102532534341807e-02  2.551903150082780e-02 
 9.769973802244503e-04  1.882968929639570e-03 -4.326540263528222e-06  4.326535402754884e-06  1.620962649618390e-02  2.591278979941038e-09  1.437643228162589e-01  1.437637804995118e-01  1.884145359753252e-02  1.882969781134907e-03  6.148561602703125e-02  2.572086059574840e-02 
 1.176997380224450e-03  1.914258185367152e-03 -4.225389346120303e-06  4.225384444213761e-06  1.696124829022932e-02  2.539912245238650e-09  1.468076013867591e-01  1.468070625837677e-01  1.981204738271179e-02  1.914259041680801e-03  6.194594367001242e-02  2.592260773827452e-02 
 1.376997380224450e-03  1.945577723769373e-03 -4.125999312275558e-06  4.125994363002369e-06  1.769774566294567e-02  2.488914895851368e-09  1.498525049542593e-01  1.498519686667290e-01  2.076156727693126e-02  1.945578579129301e-03  6.240631013997480e-02  2.612427414663203e-02 
 1.576997380224451e-03  1.976926260054626e-03 -4.028312089662272e-06  4.028307088847746e-06  1.841994602171077e-02  2.443166337755882e-09  1.528991233498663e-01  1.528985902167590e-01  2.169115143146412e-02  1.976927120337219e-03  6.286672269838467e-02  2.632586771699549e-02 
 1.776997380224451e-03  2.008303083875643e-03 -3.932273425197011e-06  3.932268364397052e-06  1.912864058397240e-02  2.397474962706285e-09  1.559475738900673e-01  1.559470429456205e-01  2.260185326653073e-02  2.008303943365227e-03  6.332719608594248e-02  2.652739655122598e-02 
 1.976997380224451e-03  2.039707875294982e-03 -3.837832997280873e-06  3.837827869869617e-06  1.982457598330119e-02  2.356708814237939e-09  1.589979918673413e-01  1.589974637773044e-01  2.349465349544054e-02  2.039708739848519e-03  6.378774837532243e-02  2.672887165398892e-02 
 2.176997380224451e-03  2.071140742228838e-03 -3.744944230548621e-06  3.744939025451475e-06  2.050845222674258e-02  2.315679236750659e-09  1.620505396461817e-01  1.620500134690070e-01  2.437046560081712e-02  2.071141606115759e-03  6.424840265802891e-02  2.693030914877232e-02 
 2.376997380224451e-03  2.102601946808263e-03 -3.653564452376793e-06  3.653559159979914e-06  2.118093525502955e-02  2.279309585769483e-09  1.651053878506446e-01  1.651048642715217e-01  2.523013837301643e-02  2.102602815760786e-03  6.470918461456036e-02  2.713172625159649e-02 
 2.576997380224451e-03  2.134091787514184e-03 -3.563654644585797e-06  3.563649250645355e-06  2.184265675861275e-02  2.242415387008327e-09  1.681627215827183e-01  1.681621996827078e-01  2.607445836149680e-02  2.134092655599046e-03  6.517012091145646e-02  2.733313604535074e-02 
 2.776997380224451e-03  2.165610443298018e-03 -3.475179144811402e-06  3.475173636329416e-06  2.249420385696261e-02  2.209919255499179e-09  1.712227391800948e-01  1.712222196604173e-01  2.690417099886230e-02  2.165611315868443e-03  6.563124294677958e-02  2.753455198565242e-02 
 2.976997380224451e-03  2.197157574692929e-03 -3.388105611228110e-06  3.388099970411192e-06  2.313611575994349e-02  2.176597323980378e-09  1.742856456777195e-01  1.742851276417962e-01  2.771996765829948e-02  2.197158445211352e-03  6.609258467356074e-02  2.773599765980717e-02 
 3.176997380224451e-03  2.228731576119941e-03 -3.302405142671095e-06  3.302399352921748e-06  2.376886037660796e-02  2.147252425693136e-09  1.773516286509089e-01  1.773511128192988e-01  2.852247472687805e-02  2.228732448902987e-03  6.655416910243292e-02  2.793748263778116e-02 
 3.376997380224451e-03  2.260328846773181e-03 -3.218052118643008e-06  3.218046159089969e-06  2.439282799014280e-02  2.116684953953595e-09  1.804208553715290e-01  1.804203408721930e-01  2.931227904642818e-02  2.260329713646265e-03  6.701601459540395e-02  2.813901416971937e-02 
 3.576997380224451e-03  2.291942306113613e-03 -3.135024372116713e-06  3.135018224191738e-06  2.500828761792191e-02  2.089461660177922e-09  1.834934439994222e-01  1.834929315787305e-01  3.008990008192353e-02  2.291943168711556e-03  6.747812809161330e-02  2.834060023536689e-02 
 3.776997380224452e-03  2.323558924437029e-03 -3.053303949770961e-06  3.053297593069376e-06  2.561530337835985e-02  2.060005104666839e-09  1.865694104134480e-01  1.865688992423963e-01  3.085577427909060e-02  2.323559770316020e-03  6.794048564744490e-02  2.854223014005447e-02 
 3.976997380224451e-03  2.355155722374555e-03 -2.972878467603799e-06  2.972871888853532e-06  2.621364381678314e-02  2.032465165914210e-09  1.896485704502205e-01  1.896480613367956e-01  3.161023569507366e-02  2.355156546266462e-03  6.840300745673694e-02  2.874387272069100e-02 
 4.176997380224451e-03  2.386693754084618e-03 -2.893743121664626e-06  2.893736315087409e-06  2.680259760951106e-02  2.000403661561209e-09  1.927304070805614e-01  1.927298992871768e-01  3.235346768976429e-02  2.386694532700860e-03  6.886552268787924e-02  2.894545561986948e-02 
 4.376997380224451e-03  2.418109023795959e-03 -2.815904687937184e-06  2.815897670994493e-06  2.738071862091397e-02  1.966771689702249e-09  1.958138074321578e-01  1.958133019097322e-01  3.308543415461353e-02  2.418109735416680e-03  6.932770942735350e-02  2.914682650659314e-02 
 4.576997380224450e-03  2.449302055164864e-03 -2.739386673838814e-06  2.739379496396740e-06  2.794553512721402e-02  1.923722845630501e-09  1.988967202194108e-01  1.988962164524770e-01  3.380578122393522e-02  2.449302654080234e-03  6.978901270997249e-02  2.934773542674218e-02 
 4.776997380224450e-03  2.480132812269006e-03 -2.664234189857399e-06  2.664226952701814e-06  2.849340051208610e-02  1.873483695275735e-09  2.019757899849637e-01  2.019752892161940e-01  3.451379106299145e-02  2.480133252921797e-03  7.024857512850387e-02  2.954779632961337e-02 
 4.976997380224450e-03  2.510437660791976e-03 -2.590512758311171e-06  2.590505598879392e-06  2.902001507436789e-02  1.810631716045165e-09  2.050463197831762e-01  2.050458218244842e-01  3.520852261116556e-02  2.510437888060434e-03  7.070527556058898e-02  2.974649899555266e-02 
 5.176997380224449e-03  2.540084407575268e-03 -2.518293250682459e-06  2.518286295921682e-06  2.952202351329286e-02  1.744809223172915e-09  2.081030447700916e-01  2.081025510673102e-01  3.588921656007434e-02  2.540084406185315e-03  7.115798977981234e-02  2.994333397925098e-02 
 5.376997380224449e-03  2.569047169097161e-03 -2.447625315176207e-06  2.447618604385300e-06  2.999916379522314e-02  1.680696300637969e-09  2.111416838047629e-01  2.111411940973166e-01  3.655589080102939e-02  2.569046964374902e-03  7.160602314745189e-02  3.013798292844867e-02 
 5.576997380224448e-03  2.597438406179646e-03 -2.378520707768118e-06  2.378514183145162e-06  3.045518358303463e-02  1.632306946034706e-09  2.141600319214076e-01  2.141595473598998e-01  3.720961371500571e-02  2.597438081354608e-03  7.204936587964786e-02  3.033042755754215e-02 
 5.776997380224448e-03  2.625464225639357e-03 -2.310964065244400e-06  2.310957625356915e-06  3.089654778863989e-02  1.598312693975653e-09  2.171574651162355e-01  2.171569852087762e-01  3.785216502648997e-02  2.625463871289551e-03  7.248850924276001e-02  3.052087386418980e-02 
 5.976997380224448e-03  2.653347945882836e-03 -2.244939389003099e-06  2.244932953778000e-06  3.133031795021622e-02  1.582780095213654e-09  2.201333937869899e-01  2.201329197279482e-01  3.848545633314142e-02  2.653347658805404e-03  7.292402895335624e-02  3.070956477022826e-02 
 6.176997380224447e-03  2.681275601020761e-03 -2.180448314001839e-06  2.180441833824024e-06  3.176274945459098e-02  1.577763486980877e-09  2.230860941802280e-01  2.230856257752617e-01  3.911113465548181e-02  2.681275448872817e-03  7.335628162729757e-02  3.089664432056229e-02 
 6.376997380224447e-03  2.709364280131421e-03 -2.117513277154908e-06  2.117506724558979e-06  3.219847016070360e-02  1.583556771845067e-09  2.260123992233903e-01  2.260119380345333e-01  3.973039532355455e-02  2.709364312477926e-03  7.378528702602494e-02  3.108210141456087e-02 
 6.576997380224447e-03  2.737638330515658e-03 -2.056174585621975e-06  2.056167935489628e-06  3.263977290067220e-02  1.588946667266219e-09  2.289077737263626e-01  2.289073199216709e-01  4.034380418133919e-02  2.737638547197156e-03  7.421067637891321e-02  3.126574123982938e-02 
 6.776997380224446e-03  2.766021793884682e-03 -1.996487956789455e-06  1.996481185099273e-06  3.308629604944215e-02  1.592745862143795e-09  2.317663619839285e-01  2.317659174872604e-01  4.095121442884934e-02  2.766022169838101e-03  7.463166821539267e-02  3.144718926644221e-02 
 6.976997380224446e-03  2.794360681872232e-03 -1.938523196737478e-06  1.938516273463064e-06  3.353557968457800e-02  1.586307931116863e-09  2.345809754427140e-01  2.345805408315684e-01  4.155190660707361e-02  2.794361160938855e-03  7.504711380020258e-02  3.162590420803207e-02 
 7.176997380224446e-03  2.822465989120071e-03 -1.882363918474355e-06  1.882356812132172e-06  3.398428644616928e-02  1.574057894159642e-09  2.373430051067466e-01  2.373425827868482e-01  4.214488423201340e-02  2.822466526585673e-03  7.545558941377066e-02  3.180121585954950e-02 
 7.376997380224445e-03  2.850152350878242e-03 -1.828108064357482e-06  1.828100736153815e-06  3.442933875411459e-02  1.552582026503327e-09  2.400422838025177e-01  2.400418749279488e-01  4.272915146394666e-02  2.850152903988837e-03  7.585548515130972e-02  3.197235697945982e-02 
 7.576997380224445e-03  2.877253650158063e-03 -1.775870105068557e-06  1.775862512782179e-06  3.486849354508324e-02  1.528891114286113e-09  2.426668159891679e-01  2.426664236577187e-01  4.330382733413505e-02  2.877254202262598e-03  7.624502632149541e-02  3.213848480972144e-02 
 7.776997380224445e-03  2.903616789437132e-03 -1.725783978876748e-06  1.725776070710542e-06  3.530025922090164e-02  1.499160772043945e-09  2.452024474476205e-01  2.452020736223388e-01  4.386811697036173e-02  2.903617322871224e-03  7.662221657021864e-02  3.229864738572043e-02 
 7.976997380224445e-03  2.929085531786743e-03 -1.678007124355213e-06  1.677998842102014e-06  3.572353427670262e-02  1.468721064323966e-09  2.476324316892397e-01  2.476320804171771e-01  4.442122286714280e-02  2.929086044293110e-03  7.698475584211988e-02  3.245174328341716e-02 
 8.176997380224446e-03  2.953485284443421e-03 -1.632725475517164e-06  1.632716747923059e-06  3.613727205453865e-02  1.432109608556319e-09  2.499369151616840e-01  2.499365895386775e-01  4.496222488955771e-02  2.953485763508929e-03  7.732994291604388e-02  3.259647612244920e-02 
