 time                   v(vref)                i(vload)               i(vdd)                 v(vbe)                 v(dvbe)                v(pbias)               v(pcasc)               v(xbgr.c2)             v(xbgr.vbe3)           v(xbgr.vd1)            v(xbgr.vd2)           
 2.000000000000000e-08  2.142481187788974e-03 -4.089990377626962e-06  2.194181065827848e-06  1.447302610121630e-02  5.480845024816268e-04  5.376271980924934e-02  1.905492928688256e-01  1.633626600072039e-02  2.546314589261345e-03  6.353034467460765e-02  2.581589666847942e-02 
 2.000532430178152e-08  2.142461541665889e-03 -2.898199744204587e-06  2.075154543839900e-06  1.446757142029489e-02  5.414211164294052e-04  5.378689034150567e-02  1.905413600553277e-01  1.633042694737251e-02  2.545198337759411e-03  6.354719509422997e-02  2.582270471145468e-02 
 2.001597290534455e-08  2.142314376905889e-03 -2.482256435151699e-06  2.099994350785573e-06  1.445835985244935e-02  5.293946132308334e-04  5.382653396473404e-02  1.905123430072296e-01  1.632104276868484e-02  2.542599970789415e-03  6.358081369998445e-02  2.583620755128198e-02 
 2.003727011247061e-08  2.141860318462292e-03 -2.566028206967519e-06  2.046653764444284e-06  1.444564115164313e-02  5.099651303956336e-04  5.388558646045446e-02  1.904553291762668e-01  1.630931771627677e-02  2.537709191828166e-03  6.364792903242851e-02  2.586299075206730e-02 
 2.007986452672273e-08  2.140963907154772e-03 -2.452458652203300e-06  2.046690188964908e-06  1.442120128577824e-02  4.729602804350407e-04  5.400987035190313e-02  1.903549717058167e-01  1.628656542806711e-02  2.529935141738316e-03  6.378192624897183e-02  2.591634450581479e-02 
 2.014983010681267e-08  2.139627536066191e-03 -2.542994975697683e-06  2.083432818151156e-06  1.438434822990550e-02  4.175744467681852e-04  5.421328873098739e-02  1.901898459946484e-01  1.625222123075654e-02  2.519888846037576e-03  6.399867201365793e-02  2.600203630970306e-02 
 2.028976126699254e-08  2.137302659608917e-03 -2.435577576183533e-06  2.085072364062411e-06  1.432086760431178e-02  3.239946190351683e-04  5.462007890516126e-02  1.898800350264818e-01  1.619277540002799e-02  2.505459455430879e-03  6.440504179099654e-02  2.616144115920052e-02 
 2.056962358735227e-08  2.133576309248301e-03 -2.504633976006973e-06  2.143690027670771e-06  1.422310941485016e-02  1.881004179185946e-04  5.542941815628117e-02  1.892908283110202e-01  1.609994683575089e-02  2.484607143435419e-03  6.506644011154845e-02  2.642035124031335e-02 
 2.112934822807174e-08  2.128020738402834e-03 -2.390697303150780e-06  2.180803924907812e-06  1.409927242441647e-02  4.228625472294741e-05  5.702183956240920e-02  1.881894400953839e-01  1.597838169081816e-02  2.447146354580110e-03  6.586109600585387e-02  2.673666920282628e-02 
 2.211758041196401e-08  2.119990810559381e-03 -2.453811682302895e-06  2.274709453081565e-06  1.398368583063006e-02 -3.666192208640116e-05  5.971231811872492e-02  1.863226667441832e-01  1.585676314829976e-02  2.372418862907512e-03  6.632306607439835e-02  2.693760567330235e-02 
