metric	V5	V6
XRSINK_SEF2_M_collector_node_range_V	NOT_APPLICABLE	8.391118176e-01;1.510233341e+00
XRSINK_SEF2_M_drop_range_V	NOT_APPLICABLE	5.803495183e-02;2.741286168e-01
XRSINK_SEF2_M_drop_mean_V	NOT_APPLICABLE	1.696602941e-01
XRSINK_SEF2_M_branch_current_A	NOT_SAVED	NOT_SAVED
XRSINK_SEF1_S_collector_node_range_V	NOT_APPLICABLE	8.384856334e-01;1.511240714e+00
XRSINK_SEF1_S_drop_range_V	NOT_APPLICABLE	5.831959482e-02;2.736730298e-01
XRSINK_SEF1_S_drop_mean_V	NOT_APPLICABLE	1.698655484e-01
XRSINK_SEF1_S_branch_current_A	NOT_SAVED	NOT_SAVED
XRSINK_SEF2_S_collector_node_range_V	NOT_APPLICABLE	8.012973935e-01;1.511098393e+00
XRSINK_SEF2_S_drop_range_V	NOT_APPLICABLE	5.833989218e-02;2.763338554e-01
XRSINK_SEF2_S_drop_mean_V	NOT_APPLICABLE	1.697033404e-01
XRSINK_SEF2_S_branch_current_A	NOT_SAVED	NOT_SAVED
