 v-sweep                v(b)                   v(c)                   v(e)                   i(vm_b)                i(vm_c)                i(vm_e)                i(vb)                  i(vc)                  i(ve)                  i(vdd)                 i(vdda)               
 3.000000000000000e-01  2.999999999999949e-01  9.999999999999580e-01  3.543852743041265e-14  1.405126015541214e-16  4.657732532997722e-16 -5.072436578369484e-16  1.164621960845861e-10 -5.243383647071035e-12  2.546991011290253e-10  0.000000000000000e+00 -3.945231491598884e-10 
 3.010000000000000e-01  3.009999999999948e-01  9.999999999999570e-01  3.660167422097788e-14  1.457167719820518e-16  4.770489558936215e-16 -5.238921721920140e-16  1.161333463147771e-10 -5.243394522432015e-12  2.546991177775399e-10  0.000000000000000e+00 -3.942039808569904e-10 
 3.020000000000000e-01  3.019999999999944e-01  9.999999999999567e-01  3.786137158178953e-14  1.552577510999242e-16  4.813857645835634e-16 -5.419226475925610e-16  1.158054255474092e-10 -5.243397524858842e-12  2.546991358080153e-10  0.000000000000000e+00 -3.938856174657852e-10 
 3.030000000000000e-01  3.029999999999942e-01  9.999999999999558e-01  3.914848997972580e-14  1.613292832658431e-16  4.909267437014358e-16 -5.603456095940280e-16  1.154781517862688e-10 -5.243408400219823e-12  2.546991542309770e-10  0.000000000000000e+00 -3.935680520473790e-10 
 3.040000000000000e-01  3.039999999999939e-01  9.999999999999539e-01  4.048913011870098e-14  1.682681771697503e-16  5.117434254131575e-16 -5.795346464204625e-16  1.151514932223090e-10 -5.243428749881410e-12  2.546991734200142e-10  0.000000000000000e+00 -3.932510903127424e-10 
 3.050000000000000e-01  3.049999999999937e-01  9.999999999999525e-01  4.188572178893195e-14  1.769417945496343e-16  5.273559366969487e-16 -5.995245364830119e-16  1.148254658619484e-10 -5.243444829412819e-12  2.546991934099042e-10  0.000000000000000e+00 -3.929346281784669e-10 
 3.060000000000000e-01  3.059999999999934e-01  9.999999999999517e-01  4.334081052303674e-14  1.804112415015879e-16  5.360295540768327e-16 -6.203517148530482e-16  1.145000578144732e-10 -5.243453036010074e-12  2.546992142370823e-10  0.000000000000000e+00 -3.926186587056586e-10 
 3.070000000000000e-01  3.069999999999933e-01  9.999999999999506e-01  4.485706326149425e-14  1.873501354054952e-16  5.490399801466587e-16 -6.420543543538202e-16  1.141752775465538e-10 -5.243465646094531e-12  2.546992359397220e-10  0.000000000000000e+00 -3.923037370058298e-10 
 3.080000000000000e-01  3.079999999999929e-01  9.999999999999488e-01  4.643727429948562e-14  1.968911145233676e-16  5.681219383824035e-16 -6.646724506796066e-16  1.138511155007780e-10 -5.243485995756117e-12  2.546992585578184e-10  0.000000000000000e+00 -3.919891900062718e-10 
 3.090000000000000e-01  3.089999999999927e-01  9.999999999999472e-01  4.808437152918642e-14  2.020952849512980e-16  5.872038966181483e-16 -6.882479117437570e-16  1.135275764805550e-10 -5.243503810011002e-12  2.546992821332792e-10  0.000000000000000e+00 -3.916753577127858e-10 
 3.100000000000000e-01  3.099999999999923e-01  9.999999999999452e-01  4.980142299230199e-14  2.125036258071589e-16  6.088879400678583e-16 -7.128246514673601e-16  1.132046549146324e-10 -5.243525894396065e-12  2.546993067100191e-10  0.000000000000000e+00 -3.913619903251915e-10 
 3.110000000000000e-01  3.109999999999922e-01  9.999999999999435e-01  5.159164375837775e-14  2.185751579730777e-16  6.279698983036032e-16 -7.384486882308242e-16  1.128823592206443e-10 -5.243545443374425e-12  2.546993323340560e-10  0.000000000000000e+00 -3.910496082605315e-10 
 3.120000000000000e-01  3.119999999999920e-01  9.999999999999423e-01  5.345840314519064e-14  2.237793284010081e-16  6.418476861114175e-16 -7.651682482217909e-16  1.125606762946405e-10 -5.243558854142108e-12  2.546993590536156e-10  0.000000000000000e+00 -3.907374829349459e-10 
 3.130000000000000e-01  3.129999999999913e-01  9.999999999999406e-01  5.540523229834974e-14  2.402592014227878e-16  6.600622826091739e-16 -7.930338739245277e-16  1.122396072633604e-10 -5.243576668396993e-12  2.546993869192416e-10  0.000000000000000e+00 -3.904262666044618e-10 
 3.140000000000000e-01  3.139999999999911e-01  9.999999999999383e-01  5.743583214810947e-14  2.480654570646834e-16  6.852157730108375e-16 -8.220985380084918e-16  1.119191618452852e-10 -5.243602222229008e-12  2.546994159839056e-10  0.000000000000000e+00 -3.901154110964606e-10 
