 time                   v(fout)                v(vref)                i(vdd)                 i(vdd12)               v(xt2f.cap1)           v(xt2f.cap2)           v(xt2f.ca1)            v(xt2f.tail1)          v(xt2f.cb1)            v(xt2f.ca2)            v(xt2f.tail2)          v(xt2f.cb2)           
 0.000000000000000e+00  7.878376476758066e-09  1.056794974209245e+00 -4.693837934461234e-05 -4.238996407037766e-11  3.397321224966957e-11  3.356101172980233e-11  1.143473267610198e+00  2.604580555775530e-01  1.279824980038111e+00  1.139876964353366e+00  2.624722240090882e-01  1.279576923944758e+00 
 5.000000000000000e-11  7.878373455562320e-09  1.056794974209242e+00 -4.693837934508097e-05 -4.239008626132459e-11  3.397289177406448e-11  3.356104436507895e-11  1.143473267610168e+00  2.604580555775429e-01  1.279824980038066e+00  1.139876964353387e+00  2.624722240090866e-01  1.279576923944725e+00 
 1.000000000000000e-10  7.878374819232055e-09  1.056794974209233e+00 -4.693837934498720e-05 -4.239008629076133e-11  3.397281956619980e-11  3.356116600758638e-11  1.143473267610210e+00  2.604580555775337e-01  1.279824980038111e+00  1.139876964353457e+00  2.624722240090793e-01  1.279576923944754e+00 
 2.000000000000000e-10  7.878378250212999e-09  1.056794974209240e+00 -4.693837934487588e-05 -4.239000842355181e-11  3.397288310044710e-11  3.356104547596266e-11  1.143473267610328e+00  2.604580555775349e-01  1.279824980038172e+00  1.139876964353590e+00  2.624722240090807e-01  1.279576923944774e+00 
 4.000000000000000e-10  7.878376535803388e-09  1.056794974209250e+00 -4.693837934552894e-05 -4.239003820193831e-11  3.397324999446227e-11  3.356085384656386e-11  1.143473267610318e+00  2.604580555775357e-01  1.279824980038259e+00  1.139876964353664e+00  2.624722240090815e-01  1.279576923944755e+00 
 8.000000000000000e-10  7.878375408555223e-09  1.056794974209343e+00 -4.693837934474299e-05 -4.239012316606500e-11  3.397365873868130e-11  3.356126236851615e-11  1.143473267610413e+00  2.604580555775918e-01  1.279824980038478e+00  1.139876964353856e+00  2.624722240091787e-01  1.279576923944861e+00 
 1.600000000000000e-09  7.878377289676282e-09  1.056794974209374e+00 -4.693837934526800e-05 -4.238999336797443e-11  3.397332946648152e-11  3.356111438759863e-11  1.143473267610708e+00  2.604580555776870e-01  1.279824980038626e+00  1.139876964354136e+00  2.624722240092301e-01  1.279576923945016e+00 
 3.200000000000000e-09  7.878376113742218e-09  1.056794974209105e+00 -4.693837934534620e-05 -4.239010775071042e-11  3.397286998160082e-11  3.356112120033757e-11  1.143473267610523e+00  2.604580555774438e-01  1.279824980038445e+00  1.139876964353862e+00  2.624722240089771e-01  1.279576923944783e+00 
 6.400000000000000e-09  7.878376524856996e-09  1.056794974208183e+00 -4.693837934511503e-05 -4.239009552806879e-11  3.397259632897248e-11  3.356069926007976e-11  1.143473267610449e+00  2.604580555765416e-01  1.279824980038293e+00  1.139876964353839e+00  2.624722240080916e-01  1.279576923944762e+00 
 1.140000000000000e-08  7.878376370476482e-09  1.056794974206719e+00 -4.693837934517362e-05 -4.239003676304111e-11  3.397229155974180e-11  3.356040354685385e-11  1.143473267607559e+00  2.604580555750565e-01  1.279824980034214e+00  1.139876964350768e+00  2.624722240066167e-01  1.279576923941972e+00 
