crossing_index	interpolated_time_ns
1	2.107635719092526
2	2.307634219373877
3	2.507634946185315
4	2.707633533380515
5	2.907634210887440
6	3.107632879518096
7	3.307633511071728
8	3.507632256057764
9	3.707632844796410
10	3.907631661376805
