device_instance	c_node	b_node	e_node	sample_count_t_ge_2ns	vce_min_V	vce_max_V	vbe_min_V	vbe_max_V	vcb_min_V	vcb_max_V	t_at_vce_max_ns	vbe_at_vce_max_V	vcb_at_vce_max_V	sample_count_vce_ge_1p4V	duration_ps_vce_ge_1p4V	vbe_min_at_vce_ge_1p4V	vbe_max_at_vce_ge_1p4V	vcb_min_at_vce_ge_1p4V	vcb_max_at_vce_ge_1p4V	sample_count_vce_ge_1p6V	duration_ps_vce_ge_1p6V	vbe_min_at_vce_ge_1p6V	vbe_max_at_vce_ge_1p6V	vcb_min_at_vce_ge_1p6V	vcb_max_at_vce_ge_1p6V
XQSEF1_M	ef_p_m	c_p1_comp_m	e_scomp_ef1_m	1141	9.56299702646467353e-01	1.67963395166465057e+00	8.26673832462865632e-01	8.29995471983506095e-01	1.28059610515902644e-01	8.51581286230352341e-01	3.8009800000e+00	8.28052665434298230e-01	8.51581286230352341e-01	575	1.0088736487e+03	8.27153460406452212e-01	8.29995471983506095e-01	6.16689383408761116e-01	8.51581286230352341e-01	490	8.7430864078e+02	8.27153460406452212e-01	8.29006719617299881e-01	7.72166509247274369e-01	8.51581286230352341e-01
XQSEF2_M	ef_n_m	c_p1_comp_m	e_scomp_ef2_m	1141	9.56413871197799970e-01	1.67964124755642463e+00	8.26678373314887915e-01	8.29998935004846228e-01	1.28174501432872789e-01	8.51589175185928915e-01	3.6009800000e+00	8.28052072370495607e-01	8.51589175185928915e-01	576	1.0088743459e+03	8.27157791764082440e-01	8.29998935004846228e-01	6.16709528985388000e-01	8.51589175185928915e-01	491	8.7438965180e+02	8.27157791764082440e-01	8.29010266443206967e-01	7.72165911576816577e-01	8.51589175185928915e-01
XQSEF1_S	DIV2_P	c_p1_comp_s	e_scomp_ef1_s	1141	9.56138448263484264e-01	1.68019800902126493e+00	8.26678912197290505e-01	8.30018055623557349e-01	1.27916553167791491e-01	8.52177644660174094e-01	2.3029800000e+00	8.28020364361090722e-01	8.52177644660174094e-01	575	1.0089932317e+03	8.27160983092692925e-01	8.30018055623557349e-01	6.18704784885678150e-01	8.52177644660174094e-01	490	8.7543876172e+02	8.27160983092692925e-01	8.29036935220217375e-01	7.71854869066933569e-01	8.52177644660174094e-01
XQSEF2_S	DIV2_N	c_p1_comp_s	e_scomp_ef2_s	1141	9.56124927113333967e-01	1.68026466701757160e+00	8.26688175729587638e-01	8.30020934206594951e-01	1.27895620714755354e-01	8.52240848156617825e-01	2.1029800000e+00	8.28023818860953886e-01	8.52240848156617825e-01	576	1.0090089264e+03	8.27164833986779757e-01	8.30020934206594951e-01	6.18838738393905463e-01	8.52240848156617825e-01	493	8.7591870994e+02	8.27164833986779757e-01	8.29039955929505523e-01	7.71900427975802161e-01	8.52240848156617825e-01
