signal	positive_vector	negative_vector	window_start_ns	window_end_ns	min_diff_V	max_diff_V	zero_crossing_count	mean_adjacent_crossing_ps	mean_two_crossing_period_ps	inferred_full_cycle_frequency_GHz
master_collector	v(xdiv2.c_p_m)	v(xdiv2.c_n_m)	2.000000000000000	4.000000000000000	-6.88266734231952800e-01	6.88173775384866200e-01	10	2.00000222336932780e+02	4.00000420242727600e+02	2.499997373485712
master_follower	v(xdiv2.ef_p_m)	v(xdiv2.ef_n_m)	2.000000000000000	4.000000000000000	-6.55083252290394100e-01	6.54948112795766300e-01	10	2.00000185391577470e+02	4.00000411904015100e+02	2.499997425602557
slave_collector	v(xdiv2.c_p_s)	v(xdiv2.c_n_s)	2.000000000000000	4.000000000000000	-6.91364255750748200e-01	6.91396152205581100e-01	10	1.99999726645928920e+02	3.99999447498396300e+02	2.500003453139793
output_terminal	v(div2_p)	v(div2_n)	2.000000000000000	4.000000000000000	-6.55084549211890100e-01	6.55065543599853300e-01	10	1.99999549142697670e+02	3.99999320963351640e+02	2.500004243986257
