role	private_artifact	private_bytes	private_sha256	public_artifact	public_bytes	public_sha256	publication_transform
candidate_v5	p1_cml_div2_front_integrated_sinks.spice	5454	689d4beedfce278f0c13cf0e79a25b87ba8a12d25b9459e51dfbfde041cd3db7	p1_cml_div2_front_integrated_sinks.spice	5454	689d4beedfce278f0c13cf0e79a25b87ba8a12d25b9459e51dfbfde041cd3db7	verbatim
deck	tb_p1_cml_div2_front_tran_v5.cir	1648	46e7f223c140769ddbb1f503200caf463bccb395c6f117c39873a600170076fa	tb_p1_cml_div2_front_tran_v5.public.cir	1552	1d1f14d6aa7be5e7ecd3a338e0e92cf9a3707485d6e588ba762fce61c69736ce	paths_only
native_log	evidence/tb_p1_cml_div2_front_tran_v5.log	6087	4df00a12c025c1f2d0335a2a27d6e11f15bb0ddf951910f564c7197bdb811d93	evidence/tb_p1_cml_div2_front_tran_v5.log	6087	4df00a12c025c1f2d0335a2a27d6e11f15bb0ddf951910f564c7197bdb811d93	verbatim
native_raw	raw_tb_p1_cml_div2_front_tran_v5.raw	7857477	e8dd0e089f8da6d9db0a268276581eb2c23b3075463d295d011198f1b1155904	raw_tb_p1_cml_div2_front_tran_v5.raw	7857477	e8dd0e089f8da6d9db0a268276581eb2c23b3075463d295d011198f1b1155904	verbatim
openada_result	openada-result.json	10936	350b56bf922a1638972e75083247a21f7edb000f0d49b9c5668e5aaa34ff86ef	openada-result.public.json	9719	842420d9f98a7a3ba9e2c9da5f148ed63d9b2394ea21a56f290aaba0007b5a8d	paths_only
preflight	preflight.json	2252	6087698b2fc92c0be46bcddb311908566213376cd80dfce8baf20c4e719ea819	preflight.public.json	2155	66f2452822c9450f1149e8d58b91ab9907ba363934c66ad26910e23a00ba4e2e	paths_only
control	evidence/tb_p1_cml_div2_front_tran_v5.openada-control.sp	189	1068a7568e8197f74ef0497603b0a172abde14243b895c37b6274939db335314	evidence/tb_p1_cml_div2_front_tran_v5.openada-control.public.sp	89	03d1d3d94413d5e8cf0911a010d0b181acd5f988c589a2073d226b074ca3c961	paths_only
candidate_diff	V3-V5-DIFF.patch	689	4276b63fd84ab4a2f90bde2e40381b8c72d179d9f31f9321d9e5a2e65a3f2499	V3-V5-DIFF.patch	689	4276b63fd84ab4a2f90bde2e40381b8c72d179d9f31f9321d9e5a2e65a3f2499	verbatim_from_prior_publication
raw_summary	RAW-SUMMARY.tsv	383	24ecaa235e0b50546e1381c3b80262908e8e8ef0f2edec6659e399d46c68effd	RAW-SUMMARY.tsv	383	24ecaa235e0b50546e1381c3b80262908e8e8ef0f2edec6659e399d46c68effd	advisor_derived_from_raw
crossing_summary	CROSSING-SUMMARY.tsv	992	52d8750137ce34f151de245b82eadbd4f256cfc0fe6e1a8e5961bdf6fbe1d786	CROSSING-SUMMARY.tsv	992	52d8750137ce34f151de245b82eadbd4f256cfc0fe6e1a8e5961bdf6fbe1d786	advisor_derived_from_raw
output_crossings	OUTPUT-CROSSINGS.tsv	237	5a8790f78624cf55cbdf54a15db043cbaf5f4900c007460c6c4730c0f19217aa	OUTPUT-CROSSINGS.tsv	237	5a8790f78624cf55cbdf54a15db043cbaf5f4900c007460c6c4730c0f19217aa	advisor_derived_from_raw
boundary_occupancy	BOUNDARY-OCCUPANCY.tsv	11998	249812e21b039751534b1230be42a157a96042903293428ce8bb3fa68825f3eb	BOUNDARY-OCCUPANCY.tsv	11998	249812e21b039751534b1230be42a157a96042903293428ce8bb3fa68825f3eb	verbatim_verified_design_engineer_artifact
hbt_bound_authority	p1_cml_div2_pdk_model_boundary_authority_map_v4.tsv	3272	a029e83ba26066096ea58ea99ac4dda75afdbf34ebae5540f2f4150f57d97430	HBT-BOUND-AUTHORITY.public.tsv	3188	810528b195181abaac18409fe4998247a1c1c7975022e5494183d2bd08e51685	paths_only_iso_8859_1_literals_preserved
base_candidate_v3	../custom-cml-div2-op-nobleed-v1/p1_cml_div2_front_nobleed.spice	4890	d5900dae655f376e6c2aeeebe18d7753f3c36c73283ca859586e57f25dcedd52	../custom-cml-div2-op-nobleed-v1/p1_cml_div2_front_nobleed.spice	4890	d5900dae655f376e6c2aeeebe18d7753f3c36c73283ca859586e57f25dcedd52	retained_external_reference
hbt_model	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	20057	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	20057	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	retained_external_reference
