device	parameter	parameter_description	bound_kind	value_V	measurement_code	measurement_definition	minimum_device_note	pdf_page	printed_page	source_revision	source_sha256	authority_class
NPN13G2	NPN13G2_BVCEO	Breakdown Voltage Emitter – Collector	minimum	1.4	A.p	Extrapolation from the J C=(0.3 – 0.75)mA/µm² part of the V CE(IC) characteristic, JC related to the emitter area AE	Important Note: For process control monitoring minimum devices are used.	20 (bound) / 23 (code A.p)	20 (bound) / 23 (code A.p)	Rev. 1.2	974d505886ee62932a50c52c22fbc290db4a70d8a7ce129c0ca8d7934aee160e	PROCESS_CONTROL_BREAKDOWN_METRIC
NPN13G2	NPN13G2_BVCEO	Breakdown Voltage Emitter – Collector	target	1.6	A.p	Extrapolation from the J C=(0.3 – 0.75)mA/µm² part of the V CE(IC) characteristic, JC related to the emitter area AE	Important Note: For process control monitoring minimum devices are used.	20 (bound) / 23 (code A.p)	20 (bound) / 23 (code A.p)	Rev. 1.2	974d505886ee62932a50c52c22fbc290db4a70d8a7ce129c0ca8d7934aee160e	PROCESS_CONTROL_BREAKDOWN_METRIC
